,Unnamed: 0,Total!!Estimate!!Population 16 years and over,Total!!Estimate!!Population 20 to 64 years,Employment/Population Ratio!!Estimate!!Population 16 years and over,Employment/Population Ratio!!Estimate!!Population 20 to 64 years,Unemployment rate!!Estimate!!Population 16 years and over,Unemployment rate!!Estimate!!Population 20 to 64 years,NCESDist,year,School District Type
0,1,82334,62228,48.6,60.4,8.7,7.7,600014,2016,Unified
1,2,63598,47083,63.1,76.1,3.5,3.4,600016,2016,Unified
2,3,63453,46795,45.9,58.1,13.1,13.1,600017,2016,Unified
3,4,62993,48061,61.5,73.9,4.0,3.5,600020,2016,Unified
4,5,100634,80312,58.9,69.9,8.2,7.1,600027,2016,Unified
5,6,120506,92970,58.7,70.6,7.8,7.1,600028,2016,Unified
6,7,84976,66062,57.9,70.8,8.6,8.0,600029,2016,Unified
7,8,-999999999,-999999999,-999999999.0,-999999999.0,-999999999.0,-999999999.0,600032,2016,Unified
8,9,-999999999,-999999999,-999999999.0,-999999999.0,-999999999.0,-999999999.0,600036,2016,Unified
9,10,62240,47597,61.6,75.4,5.3,4.6,600047,2016,Unified
10,11,98402,70965,56.3,73.3,4.9,4.5,600153,2016,Unified
11,12,60453,44492,55.6,71.4,8.2,7.7,600158,2016,Unified
12,13,135133,105473,53.5,64.6,8.2,7.8,601332,2016,Unified
13,14,73578,53547,63.2,76.4,4.0,3.4,601414,2016,Unified
14,15,84152,62412,54.4,68.3,6.3,6.5,601620,2016,Unified
15,16,63244,49705,63.1,74.1,3.5,3.6,601770,2016,Unified
16,17,87885,70711,60.7,71.0,6.6,6.2,602430,2016,Unified
17,18,91087,70484,59.1,71.5,6.4,6.0,602850,2016,Unified
18,19,56367,45050,61.5,72.0,6.9,5.6,603600,2016,Unified
19,20,58339,46358,61.9,74.1,4.9,4.3,603690,2016,Unified
20,21,63126,49141,56.2,67.9,7.0,6.5,604440,2016,Unified
21,22,106709,76616,60.4,73.7,4.6,3.8,604740,2016,Unified
22,23,87626,63485,58.4,74.4,7.3,6.3,606450,2016,Unified
23,24,283529,212178,64.1,77.1,4.4,4.0,607440,2016,Unified
24,25,59274,44452,61.9,76.1,5.1,4.6,607500,2016,Unified
25,26,61319,49564,60.2,70.4,9.3,9.1,607970,2016,Unified
26,27,92286,69494,57.5,70.9,8.6,7.8,608370,2016,Unified
27,28,155255,121643,53.5,63.8,6.1,5.4,608460,2016,Unified
28,29,159107,119885,61.7,74.5,6.0,6.0,609030,2016,Unified
29,30,68438,52056,55.5,69.5,10.8,10.0,609070,2016,Unified
30,31,91392,70531,58.5,70.7,8.3,8.0,609390,2016,Unified
31,32,120722,92366,53.9,65.2,10.1,9.1,609620,2016,Unified
32,33,114727,81673,60.7,74.6,4.8,4.7,609640,2016,Unified
33,34,221646,176423,60.8,71.7,6.0,5.5,609850,2016,Unified
34,35,65755,49766,63.3,79.1,4.9,4.5,610050,2016,Unified
35,36,70047,49947,49.2,61.7,6.0,5.2,610620,2016,Unified
36,37,156428,97205,48.5,68.7,7.2,6.6,611110,2016,Unified
37,38,95735,74507,64.3,77.2,5.7,5.4,611460,2016,Unified
38,39,259386,196546,57.7,71.2,6.9,6.7,612330,2016,Unified
39,40,110540,83710,59.7,72.3,6.3,6.0,613360,2016,Unified
40,41,101611,77591,60.4,73.2,3.7,3.2,613890,2016,Unified
41,42,140553,114260,61.4,71.3,7.7,7.0,613920,2016,Unified
42,43,181200,144556,64.3,76.2,3.2,3.2,614400,2016,Unified
43,44,291647,223516,51.0,61.3,10.8,10.8,614550,2016,Unified
44,45,223189,171000,59.8,72.0,5.5,5.5,614880,2016,Unified
45,46,48827,37807,66.9,78.4,5.6,4.9,615180,2016,Unified
46,47,184853,136224,57.8,72.7,9.2,8.7,615240,2016,Unified
47,48,94737,71864,58.2,72.1,5.4,5.0,616325,2016,Unified
