,Unnamed: 0,Geography,NAME,Estimate!!Total!!Population 16 years and over,Estimate!!Total!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone,Estimate!!Total!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone,Estimate!!Total!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone,Estimate!!Total!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Asian alone,Estimate!!Total!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,Estimate!!Total!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Some other race alone,Estimate!!Total!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races,Estimate!!Total!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Hispanic or Latino origin (of any race),"Estimate!!Total!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone, not Hispanic or Latino",Estimate!!Total!!Population 20 to 64 years,Estimate!!Employment/Population Ratio!!Population 16 years and over,Estimate!!Employment/Population Ratio!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone,Estimate!!Employment/Population Ratio!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone,Estimate!!Employment/Population Ratio!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone,Estimate!!Employment/Population Ratio!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Asian alone,Estimate!!Employment/Population Ratio!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,Estimate!!Employment/Population Ratio!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Some other race alone,Estimate!!Employment/Population Ratio!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races,Estimate!!Employment/Population Ratio!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Hispanic or Latino origin (of any race),"Estimate!!Employment/Population Ratio!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone, not Hispanic or Latino",Estimate!!Employment/Population Ratio!!Population 20 to 64 years,Estimate!!Unemployment rate!!Population 16 years and over,Estimate!!Unemployment rate!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone,Estimate!!Unemployment rate!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone,Estimate!!Unemployment rate!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone,Estimate!!Unemployment rate!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Asian alone,Estimate!!Unemployment rate!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,Estimate!!Unemployment rate!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Some other race alone,Estimate!!Unemployment rate!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races,Estimate!!Unemployment rate!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Hispanic or Latino origin (of any race),"Estimate!!Unemployment rate!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone, not Hispanic or Latino",Estimate!!Unemployment rate!!Population 20 to 64 years,STATE,SCHOOL DISTRICT (UNIFIED),District,NCESDist,year,SCHOOL DISTRICT (ELEMENTARY),SCHOOL DISTRICT (SECONDARY)
10,11,9700000US0615240,"Glendale Unified School District, California",183572,132655,-999999999,-999999999,34833,-999999999,-999999999,-999999999,32118,108187,134936,61.0,59.6,-999999999.0,-999999999.0,64.0,-999999999.0,-999999999.0,-999999999.0,67.9,57.4,77.1,5.2,5.5,-999999999.0,-999999999.0,4.6,-999999999.0,-999999999.0,-999999999.0,5.3,5.5,4.9,6,15240.0,Glendale Unified School District,615240,2019,,
11,12,9700000US0616325,"Hacienda La Puente Unified School District, California",94530,38671,-999999999,-999999999,27468,-999999999,24049,-999999999,57039,7987,70102,59.8,60.6,-999999999.0,-999999999.0,56.3,-999999999.0,62.0,-999999999.0,63.8,43.6,73.6,5.9,5.5,-999999999.0,-999999999.0,6.3,-999999999.0,6.5,-999999999.0,5.8,2.8,5.4,6,16325.0,Hacienda La Puente Unified School District,616325,2019,,
12,13,9700000US0616740,"Hayward Unified School District, California",150212,48915,16532,-999999999,43958,-999999999,27325,-999999999,53964,26962,117632,66.0,63.3,59.9,-999999999.0,66.7,-999999999.0,73.4,-999999999.0,69.0,60.9,77.6,3.6,1.9,8.8,-999999999.0,3.1,-999999999.0,1.9,-999999999.0,3.0,2.7,3.2,6,16740.0,Hayward Unified School District,616740,2019,,
13,14,9700000US0616920,"Hemet Unified School District, California",116053,88444,6007,-999999999,-999999999,-999999999,-999999999,-999999999,48967,55322,78776,43.6,43.5,32.7,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,50.8,38.8,60.3,9.1,8.3,16.3,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,8.5,8.9,7.7,6,16920.0,Hemet Unified School District,616920,2019,,
14,15,9700000US0618390,"Inglewood Unified School District, California",89861,28141,38323,-999999999,-999999999,-999999999,-999999999,-999999999,38657,-999999999,69805,63.6,64.5,59.6,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,67.6,-999999999.0,75.9,5.0,4.0,6.5,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,3.3,-999999999.0,4.8,6,18390.0,Inglewood Unified School District,618390,2019,,
15,16,9700000US0619260,"Jurupa Unified School District, California",79747,43467,-999999999,-999999999,-999999999,-999999999,26576,-999999999,54165,19481,60349,57.7,57.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,60.9,-999999999.0,59.2,56.0,71.3,8.6,7.6,-999999999.0,-999999999.0,-999999999.0,-999999999.0,10.0,-999999999.0,10.0,6.3,6.4,6,19260.0,Jurupa Unified School District,619260,2019,,
16,17,9700000US0606450,"Burbank Unified School District, California",86657,63001,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,18524,49525,64444,61.9,60.1,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,71.6,56.9,76.3,6.3,7.5,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,3.7,8.9,6.0,6,6450.0,Burbank Unified School District,606450,2019,,
17,18,9700000US0607440,"Capistrano Unified School District, California",290024,230828,-999999999,-999999999,27401,-999999999,-999999999,-999999999,43986,202541,208516,61.7,61.0,-999999999.0,-999999999.0,64.1,-999999999.0,-999999999.0,-999999999.0,66.6,60.0,76.4,4.3,4.3,-999999999.0,-999999999.0,3.4,-999999999.0,-999999999.0,-999999999.0,3.4,4.6,4.0,6,7440.0,Capistrano Unified School District,607440,2019,,
18,19,9700000US0607500,"Carlsbad Unified School District, California",64520,53192,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,44466,45672,58.7,59.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,58.5,76.8,7.9,7.5,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,6.3,7.4,6,7500.0,Carlsbad Unified School District,607500,2019,,
19,20,9700000US0600047,"Tracy Unified School District, California",66559,41395,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,28178,22308,53630,62.0,62.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,62.4,58.7,71.4,6.4,5.4,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,5.3,7.8,5.9,6,47.0,Tracy Unified School District,600047,2019,,
20,21,9700000US0628650,"Orange Unified School District, California",181747,128756,-999999999,-999999999,29455,-999999999,-999999999,-999999999,65301,77292,135170,62.8,63.3,-999999999.0,-999999999.0,62.0,-999999999.0,-999999999.0,-999999999.0,66.4,61.0,76.3,3.2,2.9,-999999999.0,-999999999.0,3.2,-999999999.0,-999999999.0,-999999999.0,3.9,2.6,3.0,6,28650.0,Orange Unified School District,628650,2019,,
21,22,9700000US0621000,"Las Virgenes Unified School District, California",53269,44832,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,42159,36680,59.4,56.5,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,55.6,75.0,6.1,6.9,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,7.2,4.9,6,21000.0,Las Virgenes Unified School District,621000,2019,,
22,23,9700000US0622110,"Livermore Valley Joint Unified School District, California",72276,53930,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,43353,52393,65.5,67.1,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,64.2,81.2,2.8,2.4,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,2.7,2.3,6,22110.0,Livermore Valley Joint Unified School District,622110,2019,,
23,24,9700000US0622230,"Lodi Unified School District, California",134109,71875,-999999999,-999999999,25099,-999999999,-999999999,22239,41033,56182,95779,57.5,56.0,-999999999.0,-999999999.0,60.3,-999999999.0,-999999999.0,65.4,64.2,54.5,74.1,5.5,5.2,-999999999.0,-999999999.0,3.0,-999999999.0,-999999999.0,6.6,7.0,4.1,4.5,6,22230.0,Lodi Unified School District,622230,2019,,
24,25,9700000US0622500,"Long Beach Unified School District, California",418514,227960,47514,-999999999,57582,-999999999,65372,13977,164410,137677,327615,63.9,64.8,59.1,-999999999.0,58.1,-999999999.0,67.5,72.4,67.0,63.5,76.5,5.0,3.4,8.1,-999999999.0,5.8,-999999999.0,7.5,5.0,5.5,3.1,4.7,6,22500.0,Long Beach Unified School District,622500,2019,,
