,Unnamed: 0,Geography,NAME,Estimate!!Total!!Population 16 years and over,Estimate!!Total!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone,Estimate!!Total!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone,Estimate!!Total!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone,Estimate!!Total!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Asian alone,Estimate!!Total!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,Estimate!!Total!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Some other race alone,Estimate!!Total!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races,Estimate!!Total!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Hispanic or Latino origin (of any race),"Estimate!!Total!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone, not Hispanic or Latino",Estimate!!Total!!Population 20 to 64 years,Estimate!!Employment/Population Ratio!!Population 16 years and over,Estimate!!Employment/Population Ratio!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone,Estimate!!Employment/Population Ratio!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone,Estimate!!Employment/Population Ratio!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone,Estimate!!Employment/Population Ratio!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Asian alone,Estimate!!Employment/Population Ratio!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,Estimate!!Employment/Population Ratio!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Some other race alone,Estimate!!Employment/Population Ratio!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races,Estimate!!Employment/Population Ratio!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Hispanic or Latino origin (of any race),"Estimate!!Employment/Population Ratio!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone, not Hispanic or Latino",Estimate!!Employment/Population Ratio!!Population 20 to 64 years,Estimate!!Unemployment rate!!Population 16 years and over,Estimate!!Unemployment rate!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone,Estimate!!Unemployment rate!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone,Estimate!!Unemployment rate!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone,Estimate!!Unemployment rate!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Asian alone,Estimate!!Unemployment rate!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,Estimate!!Unemployment rate!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Some other race alone,Estimate!!Unemployment rate!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races,Estimate!!Unemployment rate!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Hispanic or Latino origin (of any race),"Estimate!!Unemployment rate!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone, not Hispanic or Latino",Estimate!!Unemployment rate!!Population 20 to 64 years,STATE,SCHOOL DISTRICT (UNIFIED),District,NCESDist,year,SCHOOL DISTRICT (ELEMENTARY),SCHOOL DISTRICT (SECONDARY)
35,36,9700000US0631320,"Pomona Unified School District, California",135758,62196,-999999999,-999999999,21128,-999999999,37935,-999999999,85727,19560,100226,60.2,60.2,-999999999.0,-999999999.0,57.9,-999999999.0,65.6,-999999999.0,63.4,55.9,74.8,4.8,4.7,-999999999.0,-999999999.0,5.3,-999999999.0,3.6,-999999999.0,4.5,4.0,3.7,6,31320.0,Pomona Unified School District,631320,2019,,
36,37,9700000US0631530,"Poway Unified School District, California",158642,96458,-999999999,-999999999,41824,-999999999,-999999999,-999999999,-999999999,88658,120511,64.0,62.4,-999999999.0,-999999999.0,64.3,-999999999.0,-999999999.0,-999999999.0,-999999999.0,61.8,77.1,6.1,4.5,-999999999.0,-999999999.0,6.8,-999999999.0,-999999999.0,-999999999.0,-999999999.0,4.8,5.8,6,31530.0,Poway Unified School District,631530,2019,,
37,38,9700000US0604290,"Beaumont Unified School District, California",51789,32599,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,18652,21181,33951,50.6,51.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,58.3,48.4,67.5,8.6,6.2,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,8.5,5.2,9.3,6,4290.0,Beaumont Unified School District,604290,2019,,
38,39,9700000US0604440,"Bellflower Unified School District, California",64737,22770,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,31990,11802,48964,62.1,59.6,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,66.3,49.2,77.6,4.5,4.2,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,4.9,4.8,3.3,6,4440.0,Bellflower Unified School District,604440,2019,,
39,40,9700000US0613360,"Fairfield-Suisun Unified School District, California",110494,57322,19540,-999999999,18180,-999999999,-999999999,-999999999,27803,38019,83173,64.8,65.3,59.3,-999999999.0,64.4,-999999999.0,-999999999.0,-999999999.0,68.1,63.6,78.3,3.3,2.0,7.6,-999999999.0,0.9,-999999999.0,-999999999.0,-999999999.0,3.4,1.8,3.1,6,13360.0,Fairfield-Suisun Unified School District,613360,2019,,
40,41,9700000US0600013,"Rocklin Unified School District, California",51882,41511,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,37576,36253,58.6,60.8,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,60.0,75.1,4.4,3.9,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,3.9,4.1,6,13.0,Rocklin Unified School District,600013,2019,,
41,42,9700000US0624500,"Milpitas Unified School District, California",70877,12334,-999999999,-999999999,45716,-999999999,-999999999,-999999999,-999999999,-999999999,55926,67.0,62.3,-999999999.0,-999999999.0,68.8,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,79.8,4.5,5.8,-999999999.0,-999999999.0,5.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,4.8,6,24500.0,Milpitas Unified School District,624500,2019,,
42,43,9700000US0625470,"Montebello Unified School District, California",128252,76164,-999999999,-999999999,14317,-999999999,30945,-999999999,104903,-999999999,95554,58.7,58.6,-999999999.0,-999999999.0,54.3,-999999999.0,64.4,-999999999.0,61.3,-999999999.0,72.8,5.7,5.7,-999999999.0,-999999999.0,6.3,-999999999.0,4.4,-999999999.0,4.8,-999999999.0,5.5,6,25470.0,Montebello Unified School District,625470,2019,,
43,44,9700000US0625530,"Monterey Peninsula Unified School District, California",77250,47325,-999999999,-999999999,9923,-999999999,-999999999,-999999999,18577,39919,55086,59.1,62.4,-999999999.0,-999999999.0,51.1,-999999999.0,-999999999.0,-999999999.0,61.2,62.9,72.9,4.1,3.7,-999999999.0,-999999999.0,5.6,-999999999.0,-999999999.0,-999999999.0,2.6,4.1,3.8,6,25530.0,Monterey Peninsula Unified School District,625530,2019,,
44,45,9700000US0625800,"Moreno Valley Unified School District, California",138856,48457,23726,-999999999,8277,-999999999,54850,-999999999,80400,23961,111338,58.9,57.9,49.1,-999999999.0,54.4,-999999999.0,64.5,-999999999.0,62.7,58.0,69.9,5.2,6.6,7.2,-999999999.0,1.2,-999999999.0,4.0,-999999999.0,4.5,7.1,4.5,6,25800.0,Moreno Valley Unified School District,625800,2019,,
45,46,9700000US0625830,"Morgan Hill Unified School District, California",53160,39227,-999999999,-999999999,8347,-999999999,-999999999,-999999999,-999999999,25790,39264,62.8,62.3,-999999999.0,-999999999.0,61.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,60.2,77.9,4.2,3.9,-999999999.0,-999999999.0,6.8,-999999999.0,-999999999.0,-999999999.0,-999999999.0,3.0,3.4,6,25830.0,Morgan Hill Unified School District,625830,2019,,
46,47,9700000US0625860,"Morongo Unified School District, California",54718,42360,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,12066,34002,40476,40.8,39.2,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,30.6,41.7,49.0,11.0,11.5,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,27.2,8.5,9.4,6,25860.0,Morongo Unified School District,625860,2019,,
47,48,9700000US0626370,"Mount Diablo Unified School District, California",216354,136144,-999999999,-999999999,35369,-999999999,22161,-999999999,53211,110336,162186,65.3,63.6,-999999999.0,-999999999.0,64.8,-999999999.0,72.7,-999999999.0,70.0,62.8,80.1,3.2,2.7,-999999999.0,-999999999.0,2.7,-999999999.0,5.4,-999999999.0,3.7,2.8,3.1,6,26370.0,Mount Diablo Unified School District,626370,2019,,
48,49,9700000US0626640,"Napa Valley Unified School District, California",96795,69693,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,30867,51292,68118,60.5,60.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,68.5,56.8,78.0,3.2,3.5,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,3.4,3.4,3.0,6,26640.0,Napa Valley Unified School District,626640,2019,,
49,50,9700000US0626910,"New Haven Unified School District, California",64728,14248,-999999999,-999999999,33838,-999999999,-999999999,-999999999,-999999999,10650,48501,63.3,52.2,-999999999.0,-999999999.0,67.1,-999999999.0,-999999999.0,-999999999.0,-999999999.0,51.1,78.6,2.4,1.4,-999999999.0,-999999999.0,2.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,2.0,2.5,6,26910.0,New Haven Unified School District,626910,2019,,
50,51,9700000US0609620,"Compton Unified School District, California",116144,34717,32712,-999999999,-999999999,-999999999,42413,-999999999,76026,-999999999,89464,56.8,60.7,49.1,-999999999.0,-999999999.0,-999999999.0,62.8,-999999999.0,62.2,-999999999.0,68.9,8.8,7.7,9.2,-999999999.0,-999999999.0,-999999999.0,9.2,-999999999.0,8.8,-999999999.0,8.4,6,9620.0,Compton Unified School District,609620,2019,,
51,52,9700000US0609640,"Conejo Valley Unified School District, California",106560,89277,-999999999,-999999999,9636,-999999999,-999999999,-999999999,-999999999,75958,73071,62.0,60.8,-999999999.0,-999999999.0,62.2,-999999999.0,-999999999.0,-999999999.0,-999999999.0,59.3,78.3,3.2,3.0,-999999999.0,-999999999.0,3.7,-999999999.0,-999999999.0,-999999999.0,-999999999.0,3.3,3.3,6,9640.0,Conejo Valley Unified School District,609640,2019,,
52,53,9700000US0609850,"Corona-Norco Unified School District, California",228325,130395,-999999999,-999999999,31645,-999999999,43577,-999999999,102512,77687,183412,63.1,60.8,-999999999.0,-999999999.0,60.5,-999999999.0,67.6,-999999999.0,65.0,59.4,74.0,3.9,3.8,-999999999.0,-999999999.0,4.1,-999999999.0,4.6,-999999999.0,4.8,3.1,3.7,6,9850.0,Corona-Norco Unified School District,609850,2019,,
53,54,9700000US0610050,"Covina-Valley Unified School District, California",57184,38279,-999999999,-999999999,-999999999,-999999999,6169,-999999999,31793,14884,42055,62.6,60.2,-999999999.0,-999999999.0,-999999999.0,-999999999.0,70.6,-999999999.0,64.6,56.3,79.2,3.3,1.8,-999999999.0,-999999999.0,-999999999.0,-999999999.0,12.7,-999999999.0,3.7,2.8,3.1,6,10050.0,Covina-Valley Unified School District,610050,2019,,
54,55,9700000US0613890,"Folsom-Cordova Unified School District, California",106178,70493,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,16335,60370,83258,64.2,63.8,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,62.8,64.8,75.5,3.1,2.8,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,3.3,2.7,3.0,6,13890.0,Folsom-Cordova Unified School District,613890,2019,,
55,56,9700000US0613920,"Fontana Unified School District, California",136335,46552,-999999999,-999999999,-999999999,-999999999,69372,-999999999,102743,16245,107115,60.1,58.7,-999999999.0,-999999999.0,-999999999.0,-999999999.0,60.6,-999999999.0,60.2,55.4,70.4,5.8,3.8,-999999999.0,-999999999.0,-999999999.0,-999999999.0,7.3,-999999999.0,6.4,3.0,5.7,6,13920.0,Fontana Unified School District,613920,2019,,
56,57,9700000US0614400,"Fremont Unified School District, California",192852,47886,-999999999,-999999999,117196,-999999999,-999999999,6406,22407,39788,152334,65.5,61.6,-999999999.0,-999999999.0,66.7,-999999999.0,-999999999.0,44.8,71.8,59.4,78.3,2.7,2.3,-999999999.0,-999999999.0,2.3,-999999999.0,-999999999.0,14.7,4.1,1.6,2.7,6,14400.0,Fremont Unified School District,614400,2019,,
57,58,9700000US0607970,"Central Unified School District, California",66152,36424,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,32789,16643,50531,59.3,60.7,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,65.9,55.3,72.8,9.2,5.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,7.6,1.8,6.4,6,7970.0,Central Unified School District,607970,2019,,
58,59,9700000US0608370,"Chico Unified School District, California",104602,88342,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,17632,78495,74184,59.3,58.7,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,67.9,57.2,73.2,6.4,6.3,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,8.8,5.9,5.8,6,8370.0,Chico Unified School District,608370,2019,,
59,60,9700000US0608460,"Chino Valley Unified School District, California",166654,97818,-999999999,-999999999,40036,-999999999,-999999999,-999999999,72390,45039,131368,61.2,63.3,-999999999.0,-999999999.0,58.7,-999999999.0,-999999999.0,-999999999.0,61.3,63.2,71.9,2.4,2.3,-999999999.0,-999999999.0,2.3,-999999999.0,-999999999.0,-999999999.0,1.4,3.7,2.3,6,8460.0,Chino Valley Unified School District,608460,2019,,
60,61,9700000US0609030,"Clovis Unified School District, California",169620,118100,-999999999,-999999999,21903,-999999999,-999999999,-999999999,45683,90778,124425,61.6,61.5,-999999999.0,-999999999.0,60.6,-999999999.0,-999999999.0,-999999999.0,67.6,59.8,76.1,5.2,4.3,-999999999.0,-999999999.0,4.3,-999999999.0,-999999999.0,-999999999.0,5.3,4.8,5.1,6,9030.0,Clovis Unified School District,609030,2019,,
61,62,9700000US0609070,"Coachella Valley Unified School District, California",-999999999,46477,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,50561,16847,-999999999,-999999999.0,49.1,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,58.9,34.2,-999999999.0,-999999999.0,8.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,9.8,7.8,-999999999.0,6,9070.0,Coachella Valley Unified School District,609070,2019,,
62,63,9700000US0609390,"Colton Joint Unified School District, California",91151,51688,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,61342,16977,71931,57.9,57.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,59.9,50.8,69.7,4.0,4.8,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,3.6,4.8,2.8,6,9390.0,Colton Joint Unified School District,609390,2019,,
63,64,9700000US0636840,"Simi Valley Unified School District, California",107429,80595,-999999999,-999999999,13765,-999999999,-999999999,-999999999,23138,66051,80426,64.4,63.8,-999999999.0,-999999999.0,64.4,-999999999.0,-999999999.0,-999999999.0,68.0,63.4,78.1,3.3,3.4,-999999999.0,-999999999.0,2.7,-999999999.0,-999999999.0,-999999999.0,3.7,3.3,3.1,6,36840.0,Simi Valley Unified School District,636840,2019,,
64,65,9700000US0637530,"South San Francisco Unified School District, California",75398,24625,-999999999,-999999999,38421,-999999999,-999999999,-999999999,18487,14523,56546,68.0,65.1,-999999999.0,-999999999.0,71.3,-999999999.0,-999999999.0,-999999999.0,71.8,63.3,82.9,2.7,2.5,-999999999.0,-999999999.0,1.5,-999999999.0,-999999999.0,-999999999.0,3.9,0.8,2.6,6,37530.0,South San Francisco Unified School District,637530,2019,,
65,66,9700000US0638010,"Stockton Unified School District, California",155674,85952,14324,-999999999,25958,-999999999,16929,11742,82124,29867,119564,53.8,52.7,44.8,-999999999.0,57.9,-999999999.0,54.3,63.3,56.2,48.5,65.1,9.2,9.0,15.2,-999999999.0,3.4,-999999999.0,11.1,12.7,11.1,5.0,8.2,6,38010.0,Stockton Unified School District,638010,2019,,
66,67,9700000US0639420,"Torrance Unified School District, California",116254,51947,-999999999,-999999999,42623,-999999999,-999999999,-999999999,21237,42701,87823,64.7,62.3,-999999999.0,-999999999.0,65.3,-999999999.0,-999999999.0,-999999999.0,74.0,59.5,78.5,2.5,2.6,-999999999.0,-999999999.0,1.3,-999999999.0,-999999999.0,-999999999.0,4.3,2.0,2.4,6,39420.0,Torrance Unified School District,639420,2019,,
67,68,9700000US0610620,"Davis Joint Unified School District, California",72844,44414,-999999999,-999999999,20651,-999999999,-999999999,-999999999,-999999999,35339,52716,49.9,53.4,-999999999.0,-999999999.0,41.5,-999999999.0,-999999999.0,-999999999.0,-999999999.0,53.4,61.7,6.3,3.8,-999999999.0,-999999999.0,13.1,-999999999.0,-999999999.0,-999999999.0,-999999999.0,4.6,5.8,6,10620.0,Davis Joint Unified School District,610620,2019,,
68,69,9700000US0611110,"Desert Sands Unified School District, California",160947,123930,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,63437,84863,96234,49.6,46.1,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,62.9,39.9,72.7,4.7,4.5,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,4.4,4.1,5.0,6,11110.0,Desert Sands Unified School District,611110,2019,,
69,70,9700000US0611460,"Downey Unified School District, California",94466,59107,-999999999,-999999999,6456,-999999999,22773,-999999999,72398,11104,72103,63.3,62.3,-999999999.0,-999999999.0,63.3,-999999999.0,65.5,-999999999.0,63.5,60.3,75.6,4.0,2.9,-999999999.0,-999999999.0,8.5,-999999999.0,4.2,-999999999.0,3.0,4.7,3.7,6,11460.0,Downey Unified School District,611460,2019,,
70,71,9700000US0612330,"Elk Grove Unified School District, California",271136,108784,30405,-999999999,86761,-999999999,-999999999,-999999999,49525,84557,205736,58.7,55.9,56.2,-999999999.0,61.4,-999999999.0,-999999999.0,-999999999.0,64.3,55.0,72.2,6.2,5.3,11.0,-999999999.0,5.6,-999999999.0,-999999999.0,-999999999.0,2.5,5.6,5.5,6,12330.0,Elk Grove Unified School District,612330,2019,,
71,72,9700000US0600017,"Apple Valley Unified School District, California",62429,50779,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,21351,34316,43467,46.4,46.3,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,50.2,44.3,62.1,10.6,10.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,8.1,11.0,9.6,6,17.0,Apple Valley Unified School District,600017,2019,,
72,73,9700000US0640150,"Tustin Unified School District, California",107732,65906,-999999999,-999999999,24843,-999999999,-999999999,-999999999,35660,44042,83740,66.0,66.3,-999999999.0,-999999999.0,65.5,-999999999.0,-999999999.0,-999999999.0,69.7,64.2,77.5,3.4,3.8,-999999999.0,-999999999.0,1.6,-999999999.0,-999999999.0,-999999999.0,3.4,3.6,3.6,6,40150.0,Tustin Unified School District,640150,2019,,
73,74,9700000US0640590,"Vacaville Unified School District, California",64631,44256,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,14781,33539,48773,60.6,59.4,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,70.1,55.6,74.0,3.5,3.7,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,4.4,3.1,3.4,6,40590.0,Vacaville Unified School District,640590,2019,,
74,75,9700000US0640740,"Vallejo City Unified School District, California",103302,37819,21427,-999999999,26044,-999999999,-999999999,-999999999,26670,26500,77539,60.0,60.6,56.8,-999999999.0,58.4,-999999999.0,-999999999.0,-999999999.0,66.4,59.5,72.7,5.9,6.4,4.7,-999999999.0,3.4,-999999999.0,-999999999.0,-999999999.0,11.0,3.4,5.9,6,40740.0,Vallejo City Unified School District,640740,2019,,
75,76,9700000US0640980,"Ventura Unified School District, California",98619,84761,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,32613,58592,71348,61.2,61.4,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,66.6,58.8,75.3,4.0,3.6,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,3.9,3.4,3.7,6,40980.0,Ventura Unified School District,640980,2019,,
76,77,9700000US0641160,"Visalia Unified School District, California",120475,68024,-999999999,-999999999,-999999999,-999999999,37051,-999999999,64999,44168,93639,58.2,57.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,61.7,-999999999.0,63.3,53.5,69.3,3.5,4.5,-999999999.0,-999999999.0,-999999999.0,-999999999.0,2.5,-999999999.0,3.2,4.2,2.9,6,41160.0,Visalia Unified School District,641160,2019,,
77,78,9700000US0641190,"Vista Unified School District, California",129796,110693,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,57778,59666,100208,63.5,63.1,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,69.0,58.6,76.1,4.1,3.6,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,4.1,3.1,4.0,6,41190.0,Vista Unified School District,641190,2019,,
78,79,9700000US0600020,"Pleasanton Unified School District, California",65445,38044,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,34429,47727,63.0,61.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,61.0,77.4,2.6,2.4,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,2.6,2.6,6,20.0,Pleasanton Unified School District,600020,2019,,
79,80,9700000US0600027,"Lake Elsinore Unified School District, California",104154,61260,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,44049,42323,81163,57.4,54.7,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,59.8,53.7,70.2,4.6,5.3,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,3.7,5.2,4.2,6,27.0,Lake Elsinore Unified School District,600027,2019,,
80,81,9700000US0600028,"Temecula Valley Unified School District, California",125632,86440,-999999999,-999999999,16994,-999999999,-999999999,-999999999,29599,67175,95920,59.7,58.9,-999999999.0,-999999999.0,66.3,-999999999.0,-999999999.0,-999999999.0,62.4,58.2,71.6,4.1,2.8,-999999999.0,-999999999.0,4.5,-999999999.0,-999999999.0,-999999999.0,4.7,1.9,3.3,6,28.0,Temecula Valley Unified School District,600028,2019,,
81,82,9700000US0600029,"Murrieta Valley Unified School District, California",92851,70192,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,26740,52043,68946,58.6,56.2,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,63.0,54.3,71.3,5.6,6.1,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,8.0,4.5,5.6,6,29.0,Murrieta Valley Unified School District,600029,2019,,
82,83,9700000US0600032,"Redondo Beach Unified School District, California",-999999999,36862,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,32846,-999999999,-999999999.0,71.6,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,72.0,-999999999.0,-999999999.0,4.3,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,3.9,-999999999.0,6,32.0,Redondo Beach Unified School District,600032,2019,,
83,84,9700000US0600036,"Natomas Unified School District, California",68055,27088,-999999999,-999999999,15158,-999999999,-999999999,-999999999,16876,20484,53500,69.3,67.7,-999999999.0,-999999999.0,65.9,-999999999.0,-999999999.0,-999999999.0,69.7,68.4,81.9,3.9,2.4,-999999999.0,-999999999.0,3.3,-999999999.0,-999999999.0,-999999999.0,5.6,2.0,3.4,6,36.0,Natomas Unified School District,600036,2019,,
84,85,9700000US0623080,"Lucia Mar Unified School District, California",-999999999,57598,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,45198,-999999999,-999999999.0,53.3,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,49.5,-999999999.0,-999999999.0,2.2,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,1.2,-999999999.0,6,23080.0,Lucia Mar Unified School District,623080,2019,,
85,86,9700000US0623160,"Lynwood Unified School District, California",50077,35965,-999999999,-999999999,-999999999,-999999999,7953,-999999999,43129,-999999999,39942,57.4,58.7,-999999999.0,-999999999.0,-999999999.0,-999999999.0,59.2,-999999999.0,59.6,-999999999.0,68.5,8.9,8.4,-999999999.0,-999999999.0,-999999999.0,-999999999.0,9.0,-999999999.0,7.7,-999999999.0,8.1,6,23160.0,Lynwood Unified School District,623160,2019,,
86,87,9700000US0623340,"Madera Unified School District, California",65057,41958,-999999999,-999999999,-999999999,-999999999,18075,-999999999,48497,12173,49502,57.9,56.7,-999999999.0,-999999999.0,-999999999.0,-999999999.0,60.4,-999999999.0,60.7,46.3,70.5,7.8,8.2,-999999999.0,-999999999.0,-999999999.0,-999999999.0,8.4,-999999999.0,8.5,7.4,6.4,6,23340.0,Madera Unified School District,623340,2019,,
87,88,9700000US0623610,"Manteca Unified School District, California",111689,66228,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,38186,37743,85009,52.7,51.9,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,50.6,54.8,64.6,4.3,3.4,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,4.7,3.0,3.8,6,23610.0,Manteca Unified School District,623610,2019,,
88,89,9700000US0600153,"Alhambra Unified School District, California",97286,20122,-999999999,-999999999,59783,-999999999,-999999999,-999999999,25549,8061,71304,59.9,60.0,-999999999.0,-999999999.0,58.4,-999999999.0,-999999999.0,-999999999.0,66.4,54.6,75.1,4.1,5.7,-999999999.0,-999999999.0,3.2,-999999999.0,-999999999.0,-999999999.0,5.7,3.6,3.9,6,153.0,Alhambra Unified School District,600153,2019,,
89,90,9700000US0601620,"ABC Unified School District, California",85646,20673,-999999999,-999999999,38277,-999999999,-999999999,-999999999,27155,11757,62074,59.7,55.4,-999999999.0,-999999999.0,56.7,-999999999.0,-999999999.0,-999999999.0,67.4,51.6,74.8,4.2,4.0,-999999999.0,-999999999.0,4.7,-999999999.0,-999999999.0,-999999999.0,4.4,3.9,4.2,6,1620.0,ABC Unified School District,601620,2019,,
