,Unnamed: 0,Unnamed: 0.1,Total!!Estimate!!Population 16 years and over,Total!!Estimate!!Population 20 to 64 years,Employment/Population Ratio!!Estimate!!Population 16 years and over,Employment/Population Ratio!!Estimate!!Population 20 to 64 years,Unemployment rate!!Estimate!!Population 16 years and over,Unemployment rate!!Estimate!!Population 20 to 64 years,NCESDist,year,School District Type,Estimate!!Total!!Population 16 years and over,Estimate!!Employment/Population Ratio!!Population 16 years and over,Estimate!!Unemployment rate!!Population 16 years and over,Estimate!!Total!!Population 20 to 64 years,Estimate!!Employment/Population Ratio!!Population 20 to 64 years,Estimate!!Unemployment rate!!Population 20 to 64 years
51,51,52,52022.0,37302.0,58.7,71.2,5.1,5.1,621000,2015,Unified,,,,,,
52,52,53,73297.0,58733.0,69.0,80.8,2.1,2.1,622110,2015,Unified,,,,,,
53,53,54,130111.0,95711.0,55.8,69.8,8.6,7.1,622230,2015,Unified,,,,,,
54,54,55,415182.0,327984.0,59.7,71.3,5.9,5.6,622500,2015,Unified,,,,,,
55,55,56,3812660.0,3020582.0,60.6,71.8,7.4,7.0,622710,2015,Unified,,,,,,
56,56,57,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,623080,2015,Unified,,,,,,
57,57,58,51561.0,41838.0,59.2,69.0,9.3,8.1,623160,2015,Unified,,,,,,
58,58,59,63141.0,48482.0,61.3,72.7,5.6,5.4,623340,2015,Unified,,,,,,
59,59,60,97902.0,76769.0,51.6,62.6,12.4,11.7,623610,2015,Unified,,,,,,
60,60,61,62154.0,49162.0,59.5,70.6,5.1,5.3,624500,2015,Unified,,,,,,
61,61,62,134547.0,104354.0,56.6,69.6,8.3,7.6,625470,2015,Unified,,,,,,
62,62,63,73556.0,54411.0,54.4,67.1,5.4,4.9,625530,2015,Unified,,,,,,
63,63,64,132958.0,105380.0,57.1,68.0,10.1,8.7,625800,2015,Unified,,,,,,
64,64,65,51775.0,38892.0,60.1,73.7,4.7,3.9,625830,2015,Unified,,,,,,
65,65,66,54244.0,40565.0,37.4,46.0,11.1,10.7,625860,2015,Unified,,,,,,
66,66,67,218842.0,169485.0,62.2,74.6,6.8,6.4,626370,2015,Unified,,,,,,
67,67,68,96454.0,71294.0,62.2,76.6,4.7,4.5,626640,2015,Unified,,,,,,
68,68,69,66681.0,50857.0,59.5,72.8,4.5,4.5,626910,2015,Unified,,,,,,
69,69,70,168049.0,127204.0,63.9,77.2,5.0,4.9,627240,2015,Unified,,,,,,
70,70,71,101074.0,75781.0,55.9,69.4,6.4,5.5,627690,2015,Unified,,,,,,
71,71,72,342395.0,275859.0,63.5,74.0,7.0,6.5,628050,2015,Unified,,,,,,
72,72,73,110376.0,85641.0,58.0,69.0,7.2,7.2,628250,2015,Unified,,,,,,
73,73,74,178990.0,137376.0,61.4,73.1,6.6,6.1,628650,2015,Unified,,,,,,
74,74,75,88015.0,67267.0,57.1,68.0,7.0,6.8,629490,2015,Unified,,,,,,
75,75,76,140854.0,94372.0,47.1,62.3,9.2,8.4,629550,2015,Unified,,,,,,
76,76,77,70824.0,49475.0,56.4,73.3,3.1,2.5,629610,2015,Unified,,,,,,
77,77,78,60044.0,47621.0,61.4,73.3,5.6,4.6,629850,2015,Unified,,,,,,
78,78,79,176499.0,133429.0,63.2,76.6,6.3,5.9,629940,2015,Unified,,,,,,
79,79,80,136253.0,104677.0,64.5,78.1,5.0,4.8,630660,2015,Unified,,,,,,
80,80,81,133502.0,102256.0,55.2,67.2,10.1,8.8,631320,2015,Unified,,,,,,
81,81,82,149201.0,111825.0,61.8,77.0,4.4,3.9,631530,2015,Unified,,,,,,
82,82,83,100468.0,74977.0,55.2,68.3,6.7,6.5,632070,2015,Unified,,,,,,
83,83,84,94560.0,73722.0,55.9,66.6,10.3,9.9,632370,2015,Unified,,,,,,
84,84,85,207525.0,158424.0,61.0,74.0,6.3,5.8,632550,2015,Unified,,,,,,
85,85,86,204819.0,160505.0,58.0,70.4,7.8,7.0,633150,2015,Unified,,,,,,
86,86,87,94816.0,71157.0,57.5,70.6,6.8,6.4,633750,2015,Unified,,,,,,
87,87,88,262547.0,198406.0,55.6,69.3,8.3,7.5,633840,2015,Unified,,,,,,
88,88,89,178359.0,129800.0,63.3,78.6,4.1,3.9,633860,2015,Unified,,,,,,
89,89,90,203973.0,162972.0,52.1,61.3,11.4,9.8,634170,2015,Unified,,,,,,
90,90,91,897205.0,719053.0,60.9,70.9,6.8,6.3,634320,2015,Unified,,,,,,
91,91,92,760939.0,608133.0,66.5,78.5,5.1,4.9,634410,2015,Unified,,,,,,
92,92,93,220652.0,174675.0,64.9,76.5,5.4,5.0,634590,2015,Unified,,,,,,
93,93,94,272754.0,195378.0,54.5,69.1,9.7,9.0,634620,2015,Unified,,,,,,
94,94,95,57490.0,43090.0,64.2,78.1,6.1,5.7,634680,2015,Unified,,,,,,
95,95,96,69197.0,54170.0,62.5,75.0,6.0,5.8,634710,2015,Unified,,,,,,
96,96,97,85272.0,57878.0,50.9,63.5,5.6,5.2,634800,2015,Unified,,,,,,
97,97,98,97577.0,75164.0,64.2,76.8,3.3,2.8,634880,2015,Unified,,,,,,
98,98,99,111402.0,82611.0,61.2,75.6,3.7,3.8,635130,2015,Unified,,,,,,
99,99,100,199088.0,164665.0,62.0,71.6,5.8,5.6,635310,2015,Unified,,,,,,
100,100,101,136269.0,110953.0,66.9,78.6,4.1,3.8,635430,2015,Unified,,,,,,
101,101,102,96285.0,73144.0,64.1,76.6,6.5,5.8,635700,2015,Unified,,,,,,
102,102,103,104267.0,81106.0,64.8,76.2,5.4,4.9,636840,2015,Unified,,,,,,
103,103,104,68667.0,51951.0,64.9,80.4,4.6,4.0,637530,2015,Unified,,,,,,
104,104,105,155924.0,120345.0,47.9,57.5,14.7,14.0,638010,2015,Unified,,,,,,
105,105,106,122352.0,90060.0,60.0,75.5,5.3,4.4,639420,2015,Unified,,,,,,
106,106,107,105199.0,84306.0,66.4,76.8,4.4,4.0,640150,2015,Unified,,,,,,
107,107,108,64864.0,48138.0,58.6,72.1,7.2,6.4,640590,2015,Unified,,,,,,
108,108,109,102119.0,77495.0,53.7,64.9,10.3,9.7,640740,2015,Unified,,,,,,
