,Unnamed: 0,Unnamed: 0.1,Total!!Estimate!!Population 16 years and over,Total!!Estimate!!Population 20 to 64 years,Employment/Population Ratio!!Estimate!!Population 16 years and over,Employment/Population Ratio!!Estimate!!Population 20 to 64 years,Unemployment rate!!Estimate!!Population 16 years and over,Unemployment rate!!Estimate!!Population 20 to 64 years,NCESDist,year,School District Type,Estimate!!Total!!Population 16 years and over,Estimate!!Employment/Population Ratio!!Population 16 years and over,Estimate!!Unemployment rate!!Population 16 years and over,Estimate!!Total!!Population 20 to 64 years,Estimate!!Employment/Population Ratio!!Population 20 to 64 years,Estimate!!Unemployment rate!!Population 20 to 64 years
42,42,43,181200.0,144556.0,64.3,76.2,3.2,3.2,614400,2016,Unified,,,,,,
43,43,44,291647.0,223516.0,51.0,61.3,10.8,10.8,614550,2016,Unified,,,,,,
44,44,45,223189.0,171000.0,59.8,72.0,5.5,5.5,614880,2016,Unified,,,,,,
45,45,46,48827.0,37807.0,66.9,78.4,5.6,4.9,615180,2016,Unified,,,,,,
46,46,47,184853.0,136224.0,57.8,72.7,9.2,8.7,615240,2016,Unified,,,,,,
47,47,48,94737.0,71864.0,58.2,72.1,5.4,5.0,616325,2016,Unified,,,,,,
48,48,49,147294.0,115459.0,63.0,75.3,3.9,4.0,616740,2016,Unified,,,,,,
49,49,50,108666.0,71798.0,41.3,55.9,13.6,12.5,616920,2016,Unified,,,,,,
50,50,51,94086.0,73446.0,59.6,71.6,8.8,7.1,618390,2016,Unified,,,,,,
51,51,52,80149.0,64172.0,57.6,68.7,8.6,8.1,619260,2016,Unified,,,,,,
52,52,53,53372.0,36980.0,63.0,78.8,2.7,2.1,621000,2016,Unified,,,,,,
53,53,54,77959.0,61438.0,68.4,81.6,3.5,3.1,622110,2016,Unified,,,,,,
54,54,55,130833.0,96014.0,56.2,69.7,7.9,7.3,622230,2016,Unified,,,,,,
55,55,56,409425.0,325094.0,62.1,73.6,6.6,6.2,622500,2016,Unified,,,,,,
56,56,57,3840920.0,3024387.0,61.0,72.5,6.9,6.4,622710,2016,Unified,,,,,,
57,57,58,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,623080,2016,Unified,,,,,,
58,58,59,51397.0,41345.0,59.2,71.8,7.9,6.2,623160,2016,Unified,,,,,,
59,59,60,65575.0,50732.0,52.6,64.3,12.6,11.6,623340,2016,Unified,,,,,,
60,60,61,100477.0,79178.0,54.4,65.3,10.1,9.7,623610,2016,Unified,,,,,,
61,61,62,60932.0,49388.0,63.6,76.0,3.0,3.1,624500,2016,Unified,,,,,,
62,62,63,131472.0,98281.0,55.6,70.1,8.0,7.3,625470,2016,Unified,,,,,,
63,63,64,70994.0,52900.0,56.4,68.8,3.9,3.3,625530,2016,Unified,,,,,,
64,64,65,132313.0,108544.0,58.4,67.6,10.0,9.2,625800,2016,Unified,,,,,,
65,65,66,52103.0,38197.0,64.3,78.0,3.7,3.8,625830,2016,Unified,,,,,,
66,66,67,55966.0,42344.0,40.9,49.9,11.1,9.9,625860,2016,Unified,,,,,,
67,67,68,217519.0,165185.0,62.2,75.8,5.5,5.1,626370,2016,Unified,,,,,,
68,68,69,98493.0,70514.0,63.6,79.3,4.7,4.7,626640,2016,Unified,,,,,,
69,69,70,67141.0,53327.0,62.1,74.4,4.8,4.9,626910,2016,Unified,,,,,,
70,70,71,164625.0,126187.0,65.9,78.2,3.1,2.9,627240,2016,Unified,,,,,,
71,71,72,100237.0,75490.0,55.8,68.9,6.7,5.9,627690,2016,Unified,,,,,,
72,72,73,346209.0,276396.0,64.4,76.1,6.3,5.9,628050,2016,Unified,,,,,,
73,73,74,112434.0,86482.0,56.5,68.3,5.2,4.9,628250,2016,Unified,,,,,,
74,74,75,180915.0,137228.0,63.6,75.0,4.9,4.7,628650,2016,Unified,,,,,,
75,75,76,96071.0,73179.0,62.0,74.1,6.6,5.8,629490,2016,Unified,,,,,,
76,76,77,141103.0,91385.0,49.1,66.9,8.5,8.6,629550,2016,Unified,,,,,,
77,77,78,71982.0,48024.0,54.8,71.3,4.4,4.0,629610,2016,Unified,,,,,,
78,78,79,58794.0,46193.0,59.9,72.3,6.9,5.5,629850,2016,Unified,,,,,,
79,79,80,176299.0,133896.0,61.1,74.3,4.7,4.5,629940,2016,Unified,,,,,,
80,80,81,127616.0,94078.0,63.4,77.4,4.7,4.7,630660,2016,Unified,,,,,,
81,81,82,131721.0,104562.0,61.2,71.6,8.3,7.3,631320,2016,Unified,,,,,,
82,82,83,156916.0,119512.0,62.2,76.0,5.2,5.0,631530,2016,Unified,,,,,,
83,83,84,103943.0,77200.0,54.1,65.6,6.5,6.4,632070,2016,Unified,,,,,,
84,84,85,91027.0,70429.0,56.3,67.9,10.9,10.0,632370,2016,Unified,,,,,,
85,85,86,204805.0,158794.0,60.6,73.2,7.4,7.1,632550,2016,Unified,,,,,,
86,86,87,209298.0,159425.0,55.6,67.0,8.8,7.9,633150,2016,Unified,,,,,,
87,87,88,90610.0,68953.0,58.0,71.1,4.8,4.9,633750,2016,Unified,,,,,,
88,88,89,274142.0,209849.0,57.1,69.6,8.0,7.9,633840,2016,Unified,,,,,,
89,89,90,185227.0,134615.0,64.8,80.7,3.6,3.2,633860,2016,Unified,,,,,,
90,90,91,188168.0,149504.0,51.3,60.3,11.4,10.4,634170,2016,Unified,,,,,,
91,91,92,913140.0,722804.0,60.8,71.7,5.8,5.4,634320,2016,Unified,,,,,,
92,92,93,763084.0,609870.0,67.0,79.4,4.5,4.4,634410,2016,Unified,,,,,,
93,93,94,220286.0,174843.0,64.5,75.4,5.0,4.9,634590,2016,Unified,,,,,,
94,94,95,275367.0,202595.0,57.2,70.9,6.6,6.8,634620,2016,Unified,,,,,,
95,95,96,60763.0,45826.0,61.1,73.9,3.7,3.9,634680,2016,Unified,,,,,,
96,96,97,66364.0,51296.0,57.4,71.1,3.8,3.4,634710,2016,Unified,,,,,,
97,97,98,86620.0,59503.0,52.7,67.4,5.0,3.4,634800,2016,Unified,,,,,,
98,98,99,98683.0,75310.0,62.7,75.7,6.3,6.2,634880,2016,Unified,,,,,,
99,99,100,114947.0,84259.0,62.9,77.6,3.1,3.2,635130,2016,Unified,,,,,,
100,100,101,203467.0,165953.0,63.8,74.2,5.8,5.2,635310,2016,Unified,,,,,,
101,101,102,136476.0,111351.0,66.3,76.1,4.6,4.4,635430,2016,Unified,,,,,,
102,102,103,96195.0,71723.0,63.4,76.8,5.8,6.0,635700,2016,Unified,,,,,,
103,103,104,104813.0,79196.0,67.0,81.9,3.8,3.5,636840,2016,Unified,,,,,,
104,104,105,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,637530,2016,Unified,,,,,,
105,105,106,160180.0,123391.0,51.5,62.6,12.1,11.5,638010,2016,Unified,,,,,,
106,106,107,119717.0,91008.0,61.7,75.2,4.9,4.8,639420,2016,Unified,,,,,,
107,107,108,108180.0,84467.0,66.5,78.5,4.9,3.9,640150,2016,Unified,,,,,,
108,108,109,65562.0,48504.0,61.3,76.0,3.6,3.7,640590,2016,Unified,,,,,,
109,109,110,101111.0,76769.0,57.3,69.2,10.6,10.4,640740,2016,Unified,,,,,,
110,110,111,100434.0,75026.0,60.0,73.6,4.9,5.0,640980,2016,Unified,,,,,,
111,111,112,105964.0,79810.0,54.8,65.8,5.1,4.4,641160,2016,Unified,,,,,,
112,112,113,120959.0,93169.0,60.3,72.3,3.5,2.8,641190,2016,Unified,,,,,,
113,113,114,50254.0,39693.0,58.8,69.8,6.3,5.6,643080,2016,Unified,,,,,,
114,114,115,57114.0,42073.0,53.6,67.2,8.6,8.5,643470,2016,Unified,,,,,,
115,115,116,190354.0,146391.0,59.4,70.5,5.8,5.4,684500,2016,Unified,,,,,,
116,116,117,61066.0,46370.0,54.0,66.1,5.9,5.1,691135,2016,Unified,,,,,,
117,0,1,94609.0,72877.0,61.2,74.1,6.8,6.6,602310,2016,Elementary,,,,,,
118,1,2,161824.0,131073.0,63.9,74.4,5.5,5.2,602610,2016,Elementary,,,,,,
119,2,3,135056.0,104300.0,51.2,60.8,13.1,12.6,603630,2016,Elementary,,,,,,
120,3,4,68849.0,53950.0,62.2,74.4,6.8,6.6,604800,2016,Elementary,,,,,,
121,4,5,78600.0,61660.0,64.2,76.7,3.9,3.6,605580,2016,Elementary,,,,,,
122,5,6,93404.0,73507.0,60.2,71.7,7.0,7.2,606390,2016,Elementary,,,,,,
123,6,7,135574.0,103385.0,55.8,67.0,8.8,8.8,606810,2016,Elementary,,,,,,
124,7,8,84547.0,67719.0,65.5,78.0,3.8,3.9,607200,2016,Elementary,,,,,,
125,8,9,241767.0,185621.0,57.2,69.9,9.6,8.5,608610,2016,Elementary,,,,,,
126,9,10,113102.0,85730.0,60.0,73.4,3.7,3.7,610290,2016,Elementary,,,,,,
127,10,11,56885.0,44785.0,58.8,70.0,6.6,6.1,611850,2016,Elementary,,,,,,
128,11,12,70873.0,52959.0,54.5,68.7,5.4,5.3,612090,2016,Elementary,,,,,,
129,12,13,59827.0,43325.0,64.0,77.3,3.0,2.8,612750,2016,Elementary,,,,,,
130,13,14,132981.0,104710.0,63.9,74.7,6.0,5.8,612880,2016,Elementary,,,,,,
131,14,15,75447.0,61290.0,61.3,70.0,4.9,4.7,612960,2016,Elementary,,,,,,
132,15,16,80886.0,58157.0,60.9,77.2,5.0,4.5,613140,2016,Elementary,,,,,,
133,16,17,55142.0,39488.0,40.5,49.1,2.1,2.2,613500,2016,Elementary,,,,,,
134,17,18,76071.0,60335.0,61.9,72.2,7.1,7.1,614370,2016,Elementary,,,,,,
135,18,19,97765.0,74442.0,60.9,73.4,6.7,6.3,614730,2016,Elementary,,,,,,
136,19,20,68733.0,47060.0,57.1,72.0,9.5,6.0,615510,2016,Elementary,,,,,,
137,20,21,57771.0,48383.0,65.8,75.8,5.7,5.7,616680,2016,Elementary,,,,,,
138,21,22,71164.0,51979.0,63.1,79.2,2.4,2.2,618030,2016,Elementary,,,,,,
139,22,23,78390.0,60117.0,65.6,78.3,6.0,6.4,618870,2016,Elementary,,,,,,
140,23,24,110199.0,85135.0,58.6,71.7,8.0,8.2,620250,2016,Elementary,,,,,,
141,24,25,92528.0,72556.0,48.1,56.5,6.2,6.2,620880,2016,Elementary,,,,,,
142,25,26,47539.0,38437.0,59.4,70.4,6.1,6.4,623430,2016,Elementary,,,,,,
143,26,27,69912.0,47524.0,51.3,68.2,7.5,5.1,624540,2016,Elementary,,,,,,
144,27,28,66490.0,50611.0,50.2,61.6,14.9,12.7,624600,2016,Elementary,,,,,,
145,28,29,86082.0,66370.0,51.1,62.5,12.2,12.1,625130,2016,Elementary,,,,,,
146,29,30,55667.0,45838.0,68.3,79.3,3.7,3.6,626280,2016,Elementary,,,,,,
147,30,31,60408.0,43952.0,60.4,74.1,7.8,7.8,627180,2016,Elementary,,,,,,
148,31,32,86808.0,70407.0,68.7,79.4,5.1,5.0,627810,2016,Elementary,,,,,,
149,32,33,95250.0,74986.0,51.1,61.4,9.3,8.5,629580,2016,Elementary,,,,,,
150,33,34,82822.0,62155.0,63.5,77.4,5.3,5.3,628140,2016,Elementary,,,,,,
151,34,35,133468.0,108055.0,58.0,67.4,10.1,9.3,628470,2016,Elementary,,,,,,
152,35,36,96238.0,74235.0,62.6,76.1,6.5,6.0,629220,2016,Elementary,,,,,,
153,36,37,65078.0,44229.0,60.3,78.1,3.7,3.0,630990,2016,Elementary,,,,,,
154,37,38,85170.0,69133.0,68.8,79.0,2.4,2.0,632130,2016,Elementary,,,,,,
155,38,39,75263.0,55151.0,58.1,73.3,5.1,4.6,633600,2016,Elementary,,,,,,
156,39,40,57700.0,45468.0,62.1,72.9,4.5,4.4,633930,2016,Elementary,,,,,,
157,40,41,112664.0,85951.0,67.7,82.1,2.2,2.0,634920,2016,Elementary,,,,,,
158,41,42,59126.0,41080.0,56.8,71.5,8.7,6.0,635590,2016,Elementary,,,,,,
159,42,43,61410.0,47525.0,63.3,72.8,6.3,7.0,635810,2016,Elementary,,,,,,
160,43,44,85551.0,68880.0,66.8,77.1,5.5,5.1,635970,2016,Elementary,,,,,,
161,44,45,68587.0,52245.0,52.4,64.5,13.9,13.1,637380,2016,Elementary,,,,,,
162,45,46,49169.0,38665.0,64.1,76.0,6.2,5.8,638220,2016,Elementary,,,,,,
163,46,47,76665.0,63552.0,69.5,80.0,3.9,3.8,638460,2016,Elementary,,,,,,
164,47,48,60926.0,45997.0,58.1,72.3,8.3,7.7,638670,2016,Elementary,,,,,,
165,48,49,73616.0,56454.0,47.2,57.8,16.2,15.6,641040,2016,Elementary,,,,,,
166,49,50,53786.0,42318.0,51.7,62.3,6.8,5.9,642120,2016,Elementary,,,,,,
167,50,51,67232.0,50362.0,57.1,71.5,5.5,5.7,642150,2016,Elementary,,,,,,
168,51,52,53140.0,40146.0,60.3,74.1,5.5,5.5,642450,2016,Elementary,,,,,,
169,0,1,100100.0,65530.0,59.5,78.9,3.4,2.0,601650,2016,Secondary,,,,,,
170,1,2,319085.0,248541.0,61.4,74.0,5.3,5.0,602630,2016,Secondary,,,,,,
171,2,3,287277.0,224249.0,49.5,59.5,7.9,7.4,602820,2016,Secondary,,,,,,
172,3,4,87007.0,57115.0,56.3,72.6,8.9,5.9,606019,2016,Secondary,,,,,,
173,4,5,69912.0,47524.0,51.3,68.2,7.5,5.1,606034,2016,Secondary,,,,,,
174,5,6,180987.0,144432.0,65.6,77.8,3.1,3.1,607230,2016,Secondary,,,,,,
175,6,7,119432.0,97565.0,65.0,75.7,5.6,5.7,607920,2016,Secondary,,,,,,
176,7,8,325335.0,260795.0,60.4,70.3,8.0,7.3,608160,2016,Secondary,,,,,,
177,8,9,51366.0,41758.0,41.0,47.6,16.1,16.0,610860,2016,Secondary,,,,,,
178,9,10,440448.0,344261.0,63.6,75.8,6.2,6.0,611820,2016,Secondary,,,,,,
179,10,11,115181.0,79678.0,52.1,67.9,5.3,5.2,612070,2016,Secondary,,,,,,
180,11,12,136261.0,102987.0,55.4,69.0,6.6,6.3,612120,2016,Secondary,,,,,,
181,12,13,135411.0,106438.0,63.6,74.5,5.9,5.7,612910,2016,Secondary,,,,,,
182,13,14,57342.0,40993.0,40.9,49.9,2.2,2.2,613530,2016,Secondary,,,,,,
183,14,15,189767.0,149282.0,63.8,76.2,3.8,3.7,614430,2016,Secondary,,,,,,
184,15,16,207526.0,158861.0,60.3,72.7,7.0,6.4,614760,2016,Secondary,,,,,,
185,16,17,384432.0,293732.0,58.0,70.1,7.4,7.4,616230,2016,Secondary,,,,,,
186,17,18,54727.0,41566.0,56.4,67.9,6.9,7.1,616500,2016,Secondary,,,,,,
187,18,19,269197.0,198561.0,60.7,76.0,4.7,4.4,618060,2016,Secondary,,,,,,
188,19,20,126478.0,96716.0,66.6,80.0,5.0,5.2,618930,2016,Secondary,,,,,,
189,20,21,462944.0,361985.0,55.1,65.7,10.4,9.9,619540,2016,Secondary,,,,,,
190,21,22,93297.0,69858.0,58.2,71.6,7.0,5.7,621600,2016,Secondary,,,,,,
191,22,23,130438.0,98805.0,50.7,62.3,14.3,12.7,624660,2016,Secondary,,,,,,
192,23,24,207535.0,159023.0,55.3,67.4,9.9,9.6,625150,2016,Secondary,,,,,,
193,24,25,91555.0,71612.0,64.4,77.8,3.8,3.7,626310,2016,Secondary,,,,,,
194,25,26,70796.0,43872.0,45.4,62.4,5.8,6.0,626880,2016,Secondary,,,,,,
195,26,27,256886.0,194096.0,61.6,75.3,5.2,4.7,629270,2016,Secondary,,,,,,
196,27,28,63936.0,44602.0,59.4,75.0,3.9,3.6,630250,2016,Secondary,,,,,,
197,28,29,79028.0,54876.0,54.6,70.8,5.0,5.1,630750,2016,Secondary,,,,,,
198,29,30,145536.0,104631.0,58.8,75.2,5.0,4.1,633630,2016,Secondary,,,,,,
199,30,31,134139.0,105340.0,62.3,73.4,3.5,3.4,633980,2016,Secondary,,,,,,
200,31,32,140164.0,100848.0,62.5,76.8,3.4,3.3,634380,2016,Secondary,,,,,,
201,32,33,116290.0,89563.0,63.6,76.5,4.6,4.4,635670,2016,Secondary,,,,,,
202,33,34,198179.0,150643.0,66.7,81.4,2.7,2.5,634980,2016,Secondary,,,,,,
203,34,35,60249.0,43290.0,56.6,69.0,5.8,6.4,635110,2016,Secondary,,,,,,
204,35,36,82371.0,58377.0,57.0,70.2,6.7,4.8,635600,2016,Secondary,,,,,,
205,36,37,177246.0,130747.0,62.7,75.4,5.6,5.5,635830,2016,Secondary,,,,,,
206,37,38,205226.0,158417.0,67.2,79.7,3.2,3.1,636390,2016,Secondary,,,,,,
207,38,39,85090.0,58273.0,50.4,64.8,6.0,5.5,636600,2016,Secondary,,,,,,
208,39,40,119572.0,93484.0,46.4,56.0,13.4,12.6,636972,2016,Secondary,,,,,,
209,40,41,391423.0,302625.0,54.8,66.6,10.0,9.0,638640,2016,Secondary,,,,,,
210,41,42,97603.0,65278.0,62.5,76.4,4.3,4.2,638790,2016,Secondary,,,,,,
211,42,43,61209.0,46971.0,54.5,65.0,7.4,7.2,639930,2016,Secondary,,,,,,
212,43,44,175273.0,134590.0,58.5,71.3,5.3,5.0,642480,2016,Secondary,,,,,,
213,44,45,217047.0,169739.0,62.6,73.8,6.2,5.9,642510,2016,Secondary,,,,,,
0,0,1,67426.0,52971.0,52.9,64.6,16.7,15.7,609070,2017,Unified,,,,,,
1,1,2,89037.0,71964.0,57.7,67.8,5.5,5.4,609390,2017,Unified,,,,,,
2,2,3,114688.0,92881.0,53.9,63.2,8.1,7.6,609620,2017,Unified,,,,,,
3,3,4,111769.0,77249.0,61.8,78.5,3.1,2.3,609640,2017,Unified,,,,,,
4,4,5,221791.0,173109.0,61.9,74.2,5.0,4.6,609850,2017,Unified,,,,,,
5,5,6,66030.0,49623.0,59.9,74.2,7.3,6.5,610050,2017,Unified,,,,,,
6,6,7,70765.0,50296.0,50.8,62.3,9.1,9.6,610620,2017,Unified,,,,,,
7,7,8,162618.0,102451.0,48.9,66.8,7.2,7.2,611110,2017,Unified,,,,,,
8,8,9,97028.0,75937.0,61.1,73.5,6.4,6.0,611460,2017,Unified,,,,,,
9,9,10,265529.0,201790.0,57.5,70.2,6.7,6.4,612330,2017,Unified,,,,,,
10,10,11,109247.0,83333.0,60.0,72.2,5.7,4.1,613360,2017,Unified,,,,,,
11,11,12,103934.0,81256.0,60.3,71.9,5.6,5.3,613890,2017,Unified,,,,,,
12,12,13,138080.0,112668.0,60.4,70.3,8.3,6.8,613920,2017,Unified,,,,,,
13,13,14,184698.0,147085.0,63.9,76.0,4.2,4.2,614400,2017,Unified,,,,,,
14,14,15,299841.0,231004.0,52.7,63.6,10.5,9.4,614550,2017,Unified,,,,,,
15,15,16,228393.0,173822.0,60.6,74.9,4.0,3.8,614880,2017,Unified,,,,,,
16,16,17,51275.0,38284.0,63.7,77.1,4.7,4.5,615180,2017,Unified,,,,,,
17,17,18,191511.0,142162.0,56.5,69.9,5.2,5.3,615240,2017,Unified,,,,,,
18,18,19,100908.0,76812.0,60.6,73.7,6.5,6.0,616325,2017,Unified,,,,,,
19,19,20,147486.0,117373.0,67.0,80.2,3.4,3.2,616740,2017,Unified,,,,,,
20,20,21,117234.0,79339.0,45.8,61.1,11.2,11.2,616920,2017,Unified,,,,,,
21,21,22,90464.0,67518.0,58.6,71.9,7.5,7.0,618390,2017,Unified,,,,,,
22,22,23,78248.0,61139.0,59.1,69.9,7.1,5.6,619260,2017,Unified,,,,,,
23,23,24,55670.0,39949.0,62.0,72.8,4.6,5.1,621000,2017,Unified,,,,,,
24,24,25,78126.0,60636.0,67.8,80.5,2.2,2.2,622110,2017,Unified,,,,,,
25,25,26,129047.0,96755.0,56.9,69.4,7.4,6.4,622230,2017,Unified,,,,,,
26,26,27,415722.0,328709.0,61.5,72.7,6.2,5.6,622500,2017,Unified,,,,,,
27,27,28,3872722.0,3045809.0,62.1,73.7,6.4,6.1,622710,2017,Unified,,,,,,
28,28,29,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,623080,2017,Unified,,,,,,
29,29,30,50480.0,41624.0,54.3,63.5,9.2,8.9,623160,2017,Unified,,,,,,
30,30,31,67627.0,52309.0,52.9,65.4,9.5,8.6,623340,2017,Unified,,,,,,
31,31,32,107162.0,81186.0,53.0,65.3,6.7,6.2,623610,2017,Unified,,,,,,
32,32,33,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,624090,2017,Unified,,,,,,
33,33,34,60373.0,48533.0,67.8,79.0,2.6,2.6,624500,2017,Unified,,,,,,
34,34,35,127892.0,95991.0,58.6,73.1,5.7,5.3,625470,2017,Unified,,,,,,
35,35,36,78949.0,59221.0,59.0,70.9,5.8,5.2,625530,2017,Unified,,,,,,
36,36,37,136119.0,108539.0,58.6,68.5,9.0,8.1,625800,2017,Unified,,,,,,
37,37,38,51030.0,40336.0,66.5,76.7,4.0,3.8,625830,2017,Unified,,,,,,
38,38,39,57258.0,42469.0,39.9,49.5,14.3,13.7,625860,2017,Unified,,,,,,
39,39,40,214482.0,163197.0,62.6,76.1,4.4,4.2,626370,2017,Unified,,,,,,
40,40,41,99594.0,72191.0,63.6,79.1,4.3,4.4,626640,2017,Unified,,,,,,
41,41,42,67366.0,53173.0,65.9,79.4,3.0,2.6,626910,2017,Unified,,,,,,
42,42,43,164935.0,124231.0,65.8,79.4,3.1,2.7,627240,2017,Unified,,,,,,
43,43,44,101954.0,75937.0,60.6,75.4,5.8,5.6,627690,2017,Unified,,,,,,
44,44,45,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,627720,2017,Unified,,,,,,
45,45,46,349738.0,277854.0,64.3,75.5,6.8,6.7,628050,2017,Unified,,,,,,
46,46,47,115947.0,86172.0,56.7,67.4,6.7,7.1,628250,2017,Unified,,,,,,
47,47,48,181879.0,140268.0,63.4,75.4,2.8,2.7,628650,2017,Unified,,,,,,
48,48,49,86879.0,64422.0,60.6,73.7,6.9,7.3,629490,2017,Unified,,,,,,
49,49,50,80751.0,60671.0,49.3,62.7,11.8,8.9,600014,2017,Unified,,,,,,
50,50,51,61561.0,45840.0,59.1,73.0,8.6,8.0,600016,2017,Unified,,,,,,
51,51,52,62197.0,44084.0,46.8,63.2,10.8,9.3,600017,2017,Unified,,,,,,
52,52,53,68050.0,52046.0,68.0,81.0,2.4,2.5,600020,2017,Unified,,,,,,
53,53,54,103567.0,82855.0,58.7,68.6,8.1,7.9,600027,2017,Unified,,,,,,
54,54,55,124880.0,95470.0,60.4,72.1,5.0,4.8,600028,2017,Unified,,,,,,
55,55,56,86824.0,61835.0,55.3,71.6,8.1,7.7,600029,2017,Unified,,,,,,
56,56,57,55809.0,45247.0,67.4,79.4,3.0,2.8,600032,2017,Unified,,,,,,
57,57,58,62148.0,52288.0,67.0,75.8,6.5,5.9,600036,2017,Unified,,,,,,
58,58,59,63296.0,49441.0,63.0,76.3,3.1,2.8,600047,2017,Unified,,,,,,
59,59,60,104160.0,74765.0,56.1,73.3,4.2,4.0,600153,2017,Unified,,,,,,
60,60,61,60091.0,44912.0,59.1,71.5,8.4,7.6,600158,2017,Unified,,,,,,
61,61,62,134619.0,106655.0,55.4,66.1,7.8,7.9,601332,2017,Unified,,,,,,
62,62,63,75781.0,55067.0,68.9,83.3,4.3,3.7,601414,2017,Unified,,,,,,
63,63,64,90383.0,66148.0,58.7,73.9,6.3,5.8,601620,2017,Unified,,,,,,
64,64,65,62878.0,47597.0,64.4,77.5,3.3,3.3,601770,2017,Unified,,,,,,
65,65,66,90383.0,71042.0,61.4,74.4,7.2,6.0,602430,2017,Unified,,,,,,
66,66,67,88802.0,68925.0,58.3,70.6,9.3,8.3,602850,2017,Unified,,,,,,
67,67,68,58055.0,44380.0,60.8,73.2,5.4,5.2,603600,2017,Unified,,,,,,
68,68,69,61282.0,47925.0,62.8,75.7,5.5,5.5,603690,2017,Unified,,,,,,
69,69,70,66270.0,51232.0,63.0,77.3,5.8,4.6,604440,2017,Unified,,,,,,
70,70,71,107304.0,77688.0,58.7,70.1,5.5,5.6,604740,2017,Unified,,,,,,
71,71,72,86929.0,68227.0,66.3,79.2,6.3,6.5,606450,2017,Unified,,,,,,
72,72,73,291376.0,213455.0,62.9,77.6,4.1,4.0,607440,2017,Unified,,,,,,
73,73,74,63300.0,44438.0,58.2,75.6,4.3,3.1,607500,2017,Unified,,,,,,
74,74,75,54456.0,41489.0,60.4,73.1,9.8,7.8,607970,2017,Unified,,,,,,
75,75,76,95641.0,69700.0,59.8,73.3,6.1,5.8,608370,2017,Unified,,,,,,
76,76,77,155436.0,122762.0,53.1,62.7,4.9,4.6,608460,2017,Unified,,,,,,
77,77,78,164423.0,121113.0,58.7,73.1,4.5,3.5,609030,2017,Unified,,,,,,
78,78,79,142411.0,92873.0,47.5,63.2,7.7,8.0,629550,2017,Unified,,,,,,
79,79,80,69606.0,48707.0,58.8,74.1,4.1,4.0,629610,2017,Unified,,,,,,
80,80,81,59748.0,48201.0,59.4,70.7,5.6,4.9,629850,2017,Unified,,,,,,
81,81,82,178257.0,135407.0,62.5,76.4,4.2,4.2,629940,2017,Unified,,,,,,
82,82,83,137438.0,105041.0,65.2,78.4,3.9,3.2,630660,2017,Unified,,,,,,
83,83,84,135423.0,103628.0,58.3,71.2,5.9,5.0,631320,2017,Unified,,,,,,
84,84,85,167116.0,126145.0,64.1,78.5,4.9,4.2,631530,2017,Unified,,,,,,
85,85,86,103940.0,77803.0,56.1,69.7,4.8,4.6,632070,2017,Unified,,,,,,
86,86,87,89999.0,72637.0,58.4,68.7,10.6,9.4,632370,2017,Unified,,,,,,
87,87,88,210831.0,162690.0,61.5,74.8,5.4,4.9,632550,2017,Unified,,,,,,
88,88,89,211177.0,162503.0,58.8,71.1,6.6,6.0,633150,2017,Unified,,,,,,
89,89,90,91495.0,66919.0,56.4,73.1,5.7,5.0,633750,2017,Unified,,,,,,
90,90,91,272637.0,211091.0,58.1,70.6,8.0,7.7,633840,2017,Unified,,,,,,
91,91,92,177509.0,130357.0,63.2,76.8,4.5,4.2,633860,2017,Unified,,,,,,
92,92,93,210805.0,167368.0,50.2,60.2,11.6,10.8,634170,2017,Unified,,,,,,
93,93,94,918353.0,728186.0,61.7,73.2,6.0,5.5,634320,2017,Unified,,,,,,
94,94,95,777887.0,615581.0,68.7,81.2,3.8,3.5,634410,2017,Unified,,,,,,
95,95,96,222431.0,173964.0,65.1,76.7,5.0,5.0,634590,2017,Unified,,,,,,
96,96,97,275336.0,199270.0,57.6,72.6,4.9,4.1,634620,2017,Unified,,,,,,
97,97,98,61057.0,44783.0,55.7,70.4,6.9,7.0,634680,2017,Unified,,,,,,
98,98,99,67956.0,52018.0,61.7,74.8,5.7,5.5,634710,2017,Unified,,,,,,
99,99,100,82604.0,54848.0,49.9,64.9,3.9,3.2,634800,2017,Unified,,,,,,
100,100,101,101844.0,76358.0,63.2,76.7,3.1,2.6,634880,2017,Unified,,,,,,
101,101,102,117364.0,83977.0,62.0,77.1,2.9,2.9,635130,2017,Unified,,,,,,
102,102,103,202369.0,167187.0,67.2,76.5,4.3,3.9,635310,2017,Unified,,,,,,
103,103,104,142806.0,113366.0,66.3,78.0,3.0,3.0,635430,2017,Unified,,,,,,
104,104,105,94060.0,66652.0,60.6,75.1,6.1,5.5,635700,2017,Unified,,,,,,
105,105,106,105106.0,77927.0,61.7,76.9,5.2,4.6,636840,2017,Unified,,,,,,
106,106,107,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,637530,2017,Unified,,,,,,
107,107,108,156327.0,119729.0,52.8,64.8,7.1,6.4,638010,2017,Unified,,,,,,
