,Unnamed: 0,Geography,Estimate!!Total!!Population 16 years and over,Estimate!!Employment/Population Ratio!!Population 16 years and over,Estimate!!Unemployment rate!!Population 16 years and over,Estimate!!Total!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone,Estimate!!Employment/Population Ratio!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone,Estimate!!Unemployment rate!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone,Estimate!!Total!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone,Estimate!!Employment/Population Ratio!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone,Estimate!!Unemployment rate!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone,Estimate!!Total!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone,Estimate!!Employment/Population Ratio!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone,Estimate!!Unemployment rate!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone,Estimate!!Total!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Asian alone,Estimate!!Employment/Population Ratio!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Asian alone,Estimate!!Unemployment rate!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Asian alone,Estimate!!Total!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,Estimate!!Employment/Population Ratio!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,Estimate!!Unemployment rate!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,Estimate!!Total!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Some other race alone,Estimate!!Employment/Population Ratio!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Some other race alone,Estimate!!Unemployment rate!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Some other race alone,Estimate!!Total!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races,Estimate!!Employment/Population Ratio!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races,Estimate!!Unemployment rate!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races,Estimate!!Total!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Hispanic or Latino origin (of any race),Estimate!!Employment/Population Ratio!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Hispanic or Latino origin (of any race),Estimate!!Unemployment rate!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Hispanic or Latino origin (of any race),"Estimate!!Total!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone, not Hispanic or Latino","Estimate!!Employment/Population Ratio!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone, not Hispanic or Latino","Estimate!!Unemployment rate!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone, not Hispanic or Latino",Estimate!!Total!!Population 20 to 64 years,Estimate!!Employment/Population Ratio!!Population 20 to 64 years,Estimate!!Unemployment rate!!Population 20 to 64 years,NAME,STATE,SCHOOL DISTRICT (UNIFIED),District,NCESDist,year,SCHOOL DISTRICT (ELEMENTARY),SCHOOL DISTRICT (SECONDARY)
30,31,9700000US0635430,144845,66.9,4.3,62124,61.9,5.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,68079,69.7,4.1,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,50018,60.9,4.9,114579,78.6,4.3,"Santa Clara Unified School District, California",6,35430.0,Santa Clara Unified School District,635430,2018,,
31,32,9700000US0600027,101381,58.7,6.1,65319,57.7,5.9,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,41914,62.0,4.2,44926,55.2,7.0,75681,72.9,5.8,"Lake Elsinore Unified School District, California",6,27.0,Lake Elsinore Unified School District,600027,2018,,
32,33,9700000US0600036,66986,67.8,5.6,26465,74.7,2.1,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,20701,76.5,2.2,56659,77.7,5.4,"Natomas Unified School District, California",6,36.0,Natomas Unified School District,600036,2018,,
33,34,9700000US0634590,229612,65.6,4.2,123720,65.1,3.8,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,48669,64.8,5.1,-999999999,-999999999.0,-999999999.0,32369,68.6,3.6,-999999999,-999999999.0,-999999999.0,75228,67.5,4.7,87579,64.0,3.5,178013,79.0,3.6,"San Jose Unified School District, California",6,34590.0,San Jose Unified School District,634590,2018,,
34,35,9700000US0600014,77198,51.6,8.5,62728,51.6,8.6,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,42396,55.9,8.7,27162,44.6,8.6,58684,64.6,6.8,"Hesperia Unified School District, California",6,14.0,Hesperia Unified School District,600014,2018,,
35,36,9700000US0615240,189197,57.3,6.0,146832,56.1,6.1,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,27899,61.7,3.9,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,33500,63.6,5.8,121916,54.5,6.6,140891,72.2,5.1,"Glendale Unified School District, California",6,15240.0,Glendale Unified School District,615240,2018,,
36,37,9700000US0600013,51542,59.9,5.6,40208,56.6,6.4,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,36146,56.7,6.5,38279,73.4,5.0,"Rocklin Unified School District, California",6,13.0,Rocklin Unified School District,600013,2018,,
37,38,9700000US0601770,63939,66.7,2.9,32242,64.0,3.6,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,18848,68.7,3.3,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,29228,63.8,2.4,47499,82.6,2.9,"Alameda City Unified School District, California",6,1770.0,Alameda City Unified School District,601770,2018,,
38,39,9700000US0602850,87452,59.4,6.8,40934,54.8,8.9,17172,58.7,12.1,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,29717,57.0,5.8,26097,57.6,7.8,65814,70.8,6.9,"Antioch Unified School District, California",6,2850.0,Antioch Unified School District,602850,2018,,
39,40,9700000US0606450,87301,60.4,3.5,65911,59.2,3.6,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,18866,63.6,1.2,52415,58.5,4.2,67592,73.0,3.7,"Burbank Unified School District, California",6,6450.0,Burbank Unified School District,606450,2018,,
40,41,9700000US0635700,92599,63.9,4.7,73809,65.0,4.1,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,11986,64.9,3.8,64719,64.7,4.1,67507,78.0,5.0,"Santa Monica-Malibu Unified School District, California",6,35700.0,Santa Monica-Malibu Unified School District,635700,2018,,
41,42,9700000US0608460,156659,59.5,4.1,78164,61.5,3.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,42335,61.9,2.8,-999999999,-999999999.0,-999999999.0,18226,55.2,11.5,-999999999,-999999999.0,-999999999.0,60318,63.0,5.3,39879,56.3,2.9,126588,70.2,3.8,"Chino Valley Unified School District, California",6,8460.0,Chino Valley Unified School District,608460,2018,,
42,43,9700000US0619260,85953,56.2,9.9,45567,52.9,9.9,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,29667,60.4,10.7,-999999999,-999999999.0,-999999999.0,57236,57.2,11.3,20189,52.4,6.6,65723,68.1,7.5,"Jurupa Unified School District, California",6,19260.0,Jurupa Unified School District,619260,2018,,
43,44,9700000US0633860,188568,62.5,4.0,136929,62.5,3.4,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,31671,59.3,6.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,35085,70.0,4.4,112201,60.0,3.5,130056,81.2,3.8,"Saddleback Valley Unified School District, California",6,33860.0,Saddleback Valley Unified School District,633860,2018,,
44,45,9700000US0614880,226392,61.1,4.2,79906,64.7,4.7,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,99122,55.1,3.6,-999999999,-999999999.0,-999999999.0,36862,68.7,3.7,-999999999,-999999999.0,-999999999.0,77284,71.1,4.3,42304,57.1,5.6,173119,74.7,4.0,"Garden Grove Unified School District, California",6,14880.0,Garden Grove Unified School District,614880,2018,,
45,46,9700000US0616325,96372,61.5,5.1,44242,60.5,6.1,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,28969,58.9,3.9,-999999999,-999999999.0,-999999999.0,19196,70.1,5.3,-999999999,-999999999.0,-999999999.0,57931,65.1,6.2,7772,49.5,0.0,71112,76.6,4.9,"Hacienda La Puente Unified School District, California",6,16325.0,Hacienda La Puente Unified School District,616325,2018,,
46,47,9700000US0607970,65222,60.1,9.8,31992,59.2,10.9,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,14962,56.6,10.3,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,26867,65.2,7.2,16314,55.7,14.4,50116,72.0,9.7,"Central Unified School District, California",6,7970.0,Central Unified School District,607970,2018,,
47,48,9700000US0640590,66026,61.4,2.4,47618,63.3,2.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,38746,62.0,1.3,48455,74.3,2.5,"Vacaville Unified School District, California",6,40590.0,Vacaville Unified School District,640590,2018,,
48,49,9700000US0600153,100944,58.9,4.3,20539,52.7,5.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,55748,56.9,5.3,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,31305,64.7,1.9,9876,50.5,8.2,73196,77.0,4.3,"Alhambra Unified School District, California",6,153.0,Alhambra Unified School District,600153,2018,,
49,50,9700000US0609620,116063,52.6,7.8,32676,56.7,6.8,36920,46.6,12.6,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,42346,54.8,5.2,-999999999,-999999999.0,-999999999.0,73520,56.6,6.0,-999999999,-999999999.0,-999999999.0,91468,63.1,7.3,"Compton Unified School District, California",6,9620.0,Compton Unified School District,609620,2018,,
50,51,9700000US0616920,111506,48.3,7.0,83536,47.4,6.3,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,45052,54.7,7.0,53923,44.2,6.1,73732,65.8,6.9,"Hemet Unified School District, California",6,16920.0,Hemet Unified School District,616920,2018,,
51,52,9700000US0634170,200460,54.2,9.1,130598,54.5,9.4,24097,49.7,8.5,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,28198,60.6,7.5,-999999999,-999999999.0,-999999999.0,125399,58.7,9.3,39296,46.8,7.3,159582,64.2,8.6,"San Bernardino City Unified School District, California",6,34170.0,San Bernardino City Unified School District,634170,2018,,
52,53,9700000US0634800,84998,46.9,7.0,70916,48.6,6.3,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,61068,45.7,7.3,54576,63.4,3.7,"San Luis Coastal Unified School District, California",6,34800.0,San Luis Coastal Unified School District,634800,2018,,
53,54,9700000US0613890,103618,57.8,4.3,68069,58.6,3.8,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,17786,62.1,5.5,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,16815,59.6,4.5,59164,57.1,3.8,79400,69.7,4.1,"Folsom-Cordova Unified School District, California",6,13890.0,Folsom-Cordova Unified School District,613890,2018,,
54,55,9700000US0628650,184296,62.1,3.8,132246,61.3,3.1,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,25257,63.4,5.1,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,60407,63.3,4.2,89028,61.2,2.5,140898,74.5,3.1,"Orange Unified School District, California",6,28650.0,Orange Unified School District,628650,2018,,
55,56,9700000US0634320,923766,62.2,5.0,606619,63.0,4.1,71744,55.0,12.4,-999999999,-999999999.0,-999999999.0,153743,61.3,4.9,-999999999,-999999999.0,-999999999.0,48944,66.1,4.9,35152,63.5,6.4,240601,64.1,5.4,429536,62.5,3.6,726308,74.1,4.7,"San Diego City Unified School District, California",6,34320.0,San Diego City Unified School District,634320,2018,,
56,57,9700000US0637530,-999999999,-999999999.0,-999999999.0,21386,53.9,1.2,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,32278,68.3,2.3,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,14787,51.6,1.3,-999999999,-999999999.0,-999999999.0,"South San Francisco Unified School District, California",6,37530.0,South San Francisco Unified School District,637530,2018,,
57,58,9700000US0623610,113642,53.4,6.2,75567,51.5,5.5,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,13365,56.7,8.5,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,47728,55.7,7.1,41326,50.1,6.4,86106,65.3,5.7,"Manteca Unified School District, California",6,23610.0,Manteca Unified School District,623610,2018,,
58,59,9700000US0625800,134418,58.3,8.4,48052,60.8,9.0,22176,54.3,8.9,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,49295,58.6,8.6,-999999999,-999999999.0,-999999999.0,80196,60.4,9.6,18991,56.9,5.1,107574,68.7,8.0,"Moreno Valley Unified School District, California",6,25800.0,Moreno Valley Unified School District,625800,2018,,
59,60,9700000US0612330,259856,58.3,5.8,118765,56.7,3.5,30817,53.9,14.3,-999999999,-999999999.0,-999999999.0,71863,59.6,6.1,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,54098,64.1,4.3,86604,54.3,3.8,197971,71.6,5.3,"Elk Grove Unified School District, California",6,12330.0,Elk Grove Unified School District,612330,2018,,
60,61,9700000US0614550,291392,52.3,9.7,183837,52.6,9.0,18946,45.6,15.8,-999999999,-999999999.0,-999999999.0,31018,52.6,5.2,-999999999,-999999999.0,-999999999.0,43658,54.5,12.1,9115,54.6,10.7,150713,55.5,10.6,84084,48.7,8.2,221989,63.2,8.7,"Fresno Unified School District, California",6,14550.0,Fresno Unified School District,614550,2018,,
61,62,9700000US0628250,110503,60.2,6.6,83231,60.5,6.7,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,37484,65.6,7.1,52142,56.8,6.2,84480,71.5,5.9,"Oceanside Unified School District, California",6,28250.0,Oceanside Unified School District,628250,2018,,
62,63,9700000US0631530,159226,60.5,4.3,96968,58.1,3.2,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,44298,63.8,4.4,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,18251,71.4,2.9,87487,56.5,3.5,119595,74.4,3.9,"Poway Unified School District, California",6,31530.0,Poway Unified School District,631530,2018,,
63,64,9700000US0641160,111243,56.3,6.8,72340,57.4,5.1,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,24312,58.0,9.6,-999999999,-999999999.0,-999999999.0,53080,57.0,8.2,47640,58.4,4.6,82582,70.1,6.3,"Visalia Unified School District, California",6,41160.0,Visalia Unified School District,641160,2018,,
64,65,9700000US0600029,86160,63.5,5.2,61139,61.6,5.2,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,24591,68.1,4.8,46063,60.5,5.1,66028,77.2,4.5,"Murrieta Valley Unified School District, California",6,29.0,Murrieta Valley Unified School District,600029,2018,,
65,66,9700000US0601332,134818,56.9,5.1,74115,57.9,4.4,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,18344,56.9,5.0,-999999999,-999999999.0,-999999999.0,16502,66.4,5.4,-999999999,-999999999.0,-999999999.0,38957,65.0,4.4,56051,55.8,5.0,105042,67.2,4.7,"Twin Rivers Unified School District, California",6,1332.0,Twin Rivers Unified School District,601332,2018,,
66,67,9700000US0603690,61264,60.9,7.0,26065,61.5,7.7,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,12935,60.0,7.4,-999999999,-999999999.0,-999999999.0,8702,61.2,3.8,-999999999,-999999999.0,-999999999.0,44558,61.3,6.9,-999999999,-999999999.0,-999999999.0,47919,73.3,6.4,"Baldwin Park Unified School District, California",6,3690.0,Baldwin Park Unified School District,603690,2018,,
67,68,9700000US0607440,292100,62.6,3.4,229958,61.3,3.6,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,28118,61.0,1.9,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,43923,69.6,1.7,202665,61.1,3.8,210036,77.6,3.0,"Capistrano Unified School District, California",6,7440.0,Capistrano Unified School District,607440,2018,,
68,69,9700000US0621000,54167,57.0,2.6,45652,57.6,1.9,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,41971,57.1,1.8,37755,68.9,2.8,"Las Virgenes Unified School District, California",6,21000.0,Las Virgenes Unified School District,621000,2018,,
69,70,9700000US0626640,96837,61.8,6.0,74964,62.5,5.9,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,8844,55.7,8.6,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,29358,72.6,7.1,54131,57.7,4.5,68794,78.0,5.5,"Napa Valley Unified School District, California",6,26640.0,Napa Valley Unified School District,626640,2018,,
70,71,9700000US0640740,103200,60.0,7.7,35904,63.4,2.9,20995,51.0,18.2,-999999999,-999999999.0,-999999999.0,27204,60.8,5.8,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,26584,64.4,8.6,26126,61.3,3.3,76606,74.6,6.5,"Vallejo City Unified School District, California",6,40740.0,Vallejo City Unified School District,640740,2018,,
71,72,9700000US0632370,96628,55.7,10.9,60898,56.7,12.8,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,68641,58.4,10.9,11261,46.5,16.3,74008,67.7,10.2,"Rialto Unified School District, California",6,32370.0,Rialto Unified School District,632370,2018,,
72,73,9700000US0635310,204650,65.2,4.7,94863,66.5,4.2,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,18008,62.3,1.9,-999999999,-999999999.0,-999999999.0,84205,64.8,5.6,-999999999,-999999999.0,-999999999.0,155993,65.6,5.4,26375,65.4,1.7,166525,75.5,4.6,"Santa Ana Unified School District, California",6,35310.0,Santa Ana Unified School District,635310,2018,,
73,74,9700000US0608370,95973,62.0,6.7,80063,61.6,6.6,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,14744,67.1,8.1,72179,61.1,6.1,68646,77.0,5.7,"Chico Unified School District, California",6,8370.0,Chico Unified School District,608370,2018,,
74,75,9700000US0618390,87998,64.6,6.5,22056,63.9,4.3,39227,62.9,6.3,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,18093,68.3,7.6,-999999999,-999999999.0,-999999999.0,38100,67.4,6.7,-999999999,-999999999.0,-999999999.0,68602,76.4,5.7,"Inglewood Unified School District, California",6,18390.0,Inglewood Unified School District,618390,2018,,
75,76,9700000US0691135,-999999999,-999999999.0,-999999999.0,24771,53.2,4.2,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,28242,61.2,3.8,-999999999,-999999999.0,-999999999.0,44757,58.5,4.4,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,"Val Verde Unified School District, California",6,91135.0,Val Verde Unified School District,691135,2018,,
76,77,9700000US0600016,60060,63.1,3.6,38371,62.2,4.7,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,8098,67.0,0.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,20978,65.2,6.0,25683,61.1,2.7,45026,76.7,3.4,"Upland Unified School District, California",6,16.0,Upland Unified School District,600016,2018,,
77,78,9700000US0603600,56620,61.6,4.2,34043,61.6,4.7,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,6861,64.5,5.9,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,37400,63.6,3.5,9201,55.7,4.1,44974,71.9,3.6,"Azusa Unified School District, California",6,3600.0,Azusa Unified School District,603600,2018,,
78,79,9700000US0622710,3877095,62.6,6.0,2042716,63.3,5.6,358637,54.6,9.6,29080,58.1,8.6,481728,61.1,4.6,10306,65.3,7.4,830376,65.0,6.3,124252,65.2,7.3,1897867,63.7,6.0,1052528,63.9,5.6,3033591,74.3,5.7,"Los Angeles Unified School District, California",6,22710.0,Los Angeles Unified School District,622710,2018,,
79,80,9700000US0626370,226568,64.5,4.5,137933,64.7,2.9,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,33864,61.7,4.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,14601,54.6,12.7,55251,68.9,5.1,115963,63.4,2.8,169750,78.5,4.6,"Mount Diablo Unified School District, California",6,26370.0,Mount Diablo Unified School District,626370,2018,,
80,81,9700000US0632070,106110,60.1,5.8,74298,60.0,5.3,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,12565,56.5,5.1,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,35711,60.9,9.0,48289,60.7,3.2,78670,73.4,5.4,"Redlands Unified School District, California",6,32070.0,Redlands Unified School District,632070,2018,,
81,82,9700000US0600017,62742,46.9,8.8,49848,45.8,10.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,19465,47.4,13.3,34992,47.2,6.4,44667,60.7,8.4,"Apple Valley Unified School District, California",6,17.0,Apple Valley Unified School District,600017,2018,,
82,83,9700000US0601620,91963,55.0,6.5,24115,51.1,5.4,5831,57.8,6.9,-999999999,-999999999.0,-999999999.0,38363,52.8,4.0,-999999999,-999999999.0,-999999999.0,19581,63.8,10.7,-999999999,-999999999.0,-999999999.0,30983,62.2,8.8,14554,44.7,6.7,64965,71.4,6.3,"ABC Unified School District, California",6,1620.0,ABC Unified School District,601620,2018,,
83,84,9700000US0609070,66283,56.6,14.8,17810,47.2,7.7,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,45979,60.0,17.2,-999999999,-999999999.0,-999999999.0,54097,59.3,16.3,9624,40.8,3.9,49802,71.9,14.4,"Coachella Valley Unified School District, California",6,9070.0,Coachella Valley Unified School District,609070,2018,,
84,85,9700000US0609640,109794,61.0,3.5,92144,60.8,3.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,11159,60.6,4.9,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,75083,60.0,2.2,78929,76.0,2.9,"Conejo Valley Unified School District, California",6,9640.0,Conejo Valley Unified School District,609640,2018,,
85,86,9700000US0609850,218108,61.9,3.2,136612,64.3,2.7,14358,51.7,8.0,-999999999,-999999999.0,-999999999.0,27952,55.8,3.4,-999999999,-999999999.0,-999999999.0,28669,62.9,2.4,-999999999,-999999999.0,-999999999.0,90809,63.0,2.6,78824,64.4,3.1,171166,74.1,2.9,"Corona-Norco Unified School District, California",6,9850.0,Corona-Norco Unified School District,609850,2018,,
