,Unnamed: 0,Geography,Estimate!!Total!!Population 16 years and over,Estimate!!Employment/Population Ratio!!Population 16 years and over,Estimate!!Unemployment rate!!Population 16 years and over,Estimate!!Total!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone,Estimate!!Employment/Population Ratio!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone,Estimate!!Unemployment rate!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone,Estimate!!Total!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone,Estimate!!Employment/Population Ratio!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone,Estimate!!Unemployment rate!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone,Estimate!!Total!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone,Estimate!!Employment/Population Ratio!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone,Estimate!!Unemployment rate!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone,Estimate!!Total!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Asian alone,Estimate!!Employment/Population Ratio!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Asian alone,Estimate!!Unemployment rate!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Asian alone,Estimate!!Total!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,Estimate!!Employment/Population Ratio!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,Estimate!!Unemployment rate!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,Estimate!!Total!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Some other race alone,Estimate!!Employment/Population Ratio!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Some other race alone,Estimate!!Unemployment rate!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Some other race alone,Estimate!!Total!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races,Estimate!!Employment/Population Ratio!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races,Estimate!!Unemployment rate!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races,Estimate!!Total!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Hispanic or Latino origin (of any race),Estimate!!Employment/Population Ratio!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Hispanic or Latino origin (of any race),Estimate!!Unemployment rate!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Hispanic or Latino origin (of any race),"Estimate!!Total!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone, not Hispanic or Latino","Estimate!!Employment/Population Ratio!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone, not Hispanic or Latino","Estimate!!Unemployment rate!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone, not Hispanic or Latino",Estimate!!Total!!Population 20 to 64 years,Estimate!!Employment/Population Ratio!!Population 20 to 64 years,Estimate!!Unemployment rate!!Population 20 to 64 years,NAME,STATE,SCHOOL DISTRICT (UNIFIED),District,NCESDist,year,SCHOOL DISTRICT (ELEMENTARY),SCHOOL DISTRICT (SECONDARY)
10,11,9700000US0624500,63392,61.6,3.6,10633,58.6,4.8,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,43074,65.1,3.1,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,7483,56.2,3.6,51171,71.7,3.6,"Milpitas Unified School District, California",6,24500.0,Milpitas Unified School District,624500,2018,,
11,12,9700000US0625470,132736,59.9,6.0,73391,61.1,6.7,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,15344,52.9,4.8,-999999999,-999999999.0,-999999999.0,39308,61.1,5.0,-999999999,-999999999.0,-999999999.0,108620,61.4,6.2,-999999999,-999999999.0,-999999999.0,100330,73.2,5.7,"Montebello Unified School District, California",6,25470.0,Montebello Unified School District,625470,2018,,
12,13,9700000US0604440,63419,64.8,7.6,24130,61.5,8.6,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,17153,70.9,5.6,-999999999,-999999999.0,-999999999.0,27635,68.5,7.0,14219,60.4,5.8,51956,75.6,7.3,"Bellflower Unified School District, California",6,4440.0,Bellflower Unified School District,604440,2018,,
13,14,9700000US0627690,100148,59.9,4.3,42540,54.6,6.5,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,21863,62.1,3.9,-999999999,-999999999.0,-999999999.0,29124,66.8,2.3,-999999999,-999999999.0,-999999999.0,57191,63.4,3.9,16356,46.6,8.2,73945,75.1,3.9,"Norwalk-La Mirada Unified School District, California",6,27690.0,Norwalk-La Mirada Unified School District,627690,2018,,
14,15,9700000US0630660,129581,63.3,3.8,92094,63.9,2.9,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,22432,56.9,2.5,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,34117,68.9,4.0,66092,61.5,3.0,95286,78.0,3.5,"Placentia-Yorba Linda Unified School District, California",6,30660.0,Placentia-Yorba Linda Unified School District,630660,2018,,
15,16,9700000US0631320,132176,59.2,6.1,58742,57.5,5.0,6441,42.8,8.3,-999999999,-999999999.0,-999999999.0,21591,58.2,5.8,-999999999,-999999999.0,-999999999.0,38545,63.4,6.3,-999999999,-999999999.0,-999999999.0,81886,61.0,5.8,19418,56.8,5.6,100595,72.1,5.0,"Pomona Unified School District, California",6,31320.0,Pomona Unified School District,631320,2018,,
16,17,9700000US0633840,272427,58.3,7.0,149873,60.1,5.7,30467,51.9,12.5,-999999999,-999999999.0,-999999999.0,47061,53.7,6.9,-999999999,-999999999.0,-999999999.0,22317,64.0,4.5,17441,60.8,10.3,65923,59.3,8.0,114105,61.3,4.7,204546,72.9,6.4,"Sacramento City Unified School District, California",6,33840.0,Sacramento City Unified School District,633840,2018,,
17,18,9700000US0614400,190200,65.3,3.3,49204,60.8,3.4,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,109749,67.4,2.3,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,22894,66.7,5.8,41761,59.7,3.4,150561,77.5,2.8,"Fremont Unified School District, California",6,14400.0,Fremont Unified School District,614400,2018,,
18,19,9700000US0643470,55889,53.8,9.2,36759,50.7,11.1,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,9972,61.6,4.4,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,13859,56.7,17.6,26670,48.3,5.5,40732,66.3,9.4,"Yuba City Unified School District, California",6,43470.0,Yuba City Unified School District,643470,2018,,
19,20,9700000US0636840,105635,64.1,4.0,85613,63.8,3.7,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,12460,65.1,2.4,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,22710,62.7,4.3,67431,64.3,3.8,77267,78.9,3.5,"Simi Valley Unified School District, California",6,36840.0,Simi Valley Unified School District,636840,2018,,
