,NCESDist,year,School District Type,Total!!Population 16 years and over,Employment/Population Ratio!!Population 16 years and over,Unemployment rate!!Population 16 years and over,Total!!Population 20 to 64 years,Employment/Population Ratio!!Population 20 to 64 years,Unemployment rate!!Population 20 to 64 years
1009,624600,2017,Elementary,63823.0,47.0,11.8,48371.0,58.9,10.1
1010,625130,2017,Elementary,90769.0,54.3,8.9,69204.0,65.8,7.6
1011,626280,2017,Elementary,60789.0,72.9,3.0,50216.0,82.5,3.1
1012,627180,2017,Elementary,52613.0,63.3,4.1,38714.0,77.4,4.1
1013,627810,2017,Elementary,93620.0,67.9,5.1,76789.0,78.6,4.4
1014,628140,2017,Elementary,86181.0,65.9,4.2,63981.0,80.4,3.9
1015,628470,2017,Elementary,140699.0,58.8,7.4,110245.0,70.2,6.8
1016,629220,2017,Elementary,100118.0,62.4,5.6,77388.0,75.0,5.1
1017,629580,2017,Elementary,97533.0,52.0,8.2,76230.0,63.0,8.2
1018,630990,2017,Elementary,64893.0,59.3,5.9,45488.0,75.4,5.3
1019,632130,2017,Elementary,85891.0,69.9,1.9,67599.0,81.6,1.6
1020,633600,2017,Elementary,76749.0,59.1,3.5,54878.0,75.3,3.3
1021,633930,2017,Elementary,63857.0,61.8,4.6,49905.0,73.7,4.4
1022,634920,2017,Elementary,111373.0,67.2,3.5,83867.0,81.5,3.1
1023,635590,2017,Elementary,60106.0,58.5,9.2,42942.0,69.1,8.5
1024,635810,2017,Elementary,,,,,,
1025,635970,2017,Elementary,81336.0,66.3,4.9,64711.0,77.1,3.8
1026,637380,2017,Elementary,62341.0,57.1,6.5,48207.0,69.0,5.4
1027,638220,2017,Elementary,52545.0,62.3,5.8,41518.0,73.2,6.0
1028,638460,2017,Elementary,75985.0,69.9,4.1,63458.0,79.7,4.1
1029,638670,2017,Elementary,59747.0,57.9,7.1,44055.0,73.6,6.5
1030,639870,2017,Elementary,43944.0,59.4,4.9,35095.0,72.1,4.2
1031,641040,2017,Elementary,73642.0,47.4,16.4,55064.0,60.5,14.6
1032,642120,2017,Elementary,60018.0,51.6,4.3,46370.0,61.9,4.0
1033,642150,2017,Elementary,67476.0,57.9,6.0,49850.0,72.8,6.3
1034,642450,2017,Elementary,54807.0,57.8,3.5,41780.0,71.1,3.1
1035,601650,2017,Secondary,97561.0,58.3,2.7,63029.0,77.7,2.8
1036,602630,2017,Secondary,318227.0,60.9,5.3,246046.0,73.5,4.6
1037,602820,2017,Secondary,289577.0,51.1,6.5,226691.0,61.3,6.3
1038,606019,2017,Secondary,92779.0,57.7,7.4,61782.0,72.1,6.7
1039,606034,2017,Secondary,77263.0,54.0,6.5,57799.0,67.0,6.5
1040,607230,2017,Secondary,184603.0,67.7,3.2,145847.0,79.5,3.1
1041,607920,2017,Secondary,118543.0,65.3,5.6,97457.0,75.4,5.1
1042,608160,2017,Secondary,330347.0,62.6,5.9,262183.0,73.7,5.2
1043,610860,2017,Secondary,53777.0,48.2,14.1,43607.0,55.6,13.8
1044,611820,2017,Secondary,442231.0,64.1,4.7,343077.0,77.1,4.4
1045,612070,2017,Secondary,120006.0,51.6,3.5,82781.0,67.0,3.0
1046,612120,2017,Secondary,142668.0,58.6,4.8,109896.0,71.6,4.4
1047,612910,2017,Secondary,134458.0,63.5,3.6,103064.0,76.9,3.5
1048,613530,2017,Secondary,55054.0,39.0,6.0,38635.0,48.3,6.0
1049,614430,2017,Secondary,194169.0,65.2,3.8,152704.0,78.0,3.9
1050,614760,2017,Secondary,209471.0,62.1,5.9,160835.0,74.9,5.2
1051,616230,2017,Secondary,382890.0,60.8,6.2,293720.0,72.6,5.9
1052,616500,2017,Secondary,54702.0,56.9,6.3,41835.0,70.4,5.8
1053,618060,2017,Secondary,265794.0,61.2,4.3,191345.0,76.9,4.1
1054,618930,2017,Secondary,129603.0,66.8,3.9,99083.0,81.1,3.2
1055,619540,2017,Secondary,470576.0,53.9,9.4,363674.0,65.2,8.2
1056,621600,2017,Secondary,100287.0,61.5,5.5,75894.0,74.9,5.1
1057,624660,2017,Secondary,131635.0,50.3,11.9,100062.0,62.6,10.2
1058,625150,2017,Secondary,216048.0,55.8,7.9,161653.0,68.8,7.3
1059,626310,2017,Secondary,95137.0,68.2,3.1,74359.0,80.7,3.2
1060,626880,2017,Secondary,72890.0,52.2,3.9,44622.0,71.1,3.1
1061,629270,2017,Secondary,263216.0,61.4,6.1,202639.0,74.0,5.5
1062,630250,2017,Secondary,62266.0,61.2,4.5,45180.0,77.0,4.3
1063,630750,2017,Secondary,79894.0,52.7,4.9,53397.0,70.7,3.8
1064,633630,2017,Secondary,143587.0,60.3,4.2,105059.0,75.5,3.4
1065,633980,2017,Secondary,128304.0,60.6,4.6,99927.0,72.5,4.6
1066,634380,2017,Secondary,138888.0,62.6,3.8,101765.0,77.9,3.4
1067,634980,2017,Secondary,196584.0,65.2,4.1,145990.0,80.3,4.0
1068,635110,2017,Secondary,62219.0,59.0,3.0,42630.0,74.7,2.6
1069,635600,2017,Secondary,87243.0,57.6,8.7,61931.0,69.5,8.3
1070,635670,2017,Secondary,113804.0,62.1,5.1,88217.0,73.6,4.8
1071,635830,2017,Secondary,173354.0,60.7,4.2,124465.0,74.6,4.1
1072,636390,2017,Secondary,211668.0,67.5,3.4,163709.0,79.3,3.2
1073,636600,2017,Secondary,83709.0,54.2,3.5,58414.0,68.2,3.0
1074,636972,2017,Secondary,117728.0,47.1,13.2,90104.0,58.7,11.7
1075,638640,2017,Secondary,390043.0,54.6,9.0,301252.0,67.1,7.5
1076,638790,2017,Secondary,93797.0,59.0,5.0,62959.0,74.3,5.4
1077,639930,2017,Secondary,57010.0,57.6,5.9,45072.0,69.7,5.0
1078,642480,2017,Secondary,177140.0,58.6,3.5,133678.0,72.9,3.2
1079,642510,2017,Secondary,208964.0,62.6,5.0,163856.0,73.5,4.6
