,Total!!Estimate!!Population 16 years and over,Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone,Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone,Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone,Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Asian alone,Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Some other race alone,Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races,Total!!Estimate!!Hispanic or Latino origin (of any race),"Total!!Estimate!!White alone, not Hispanic or Latino",Total!!Estimate!!Population 20 to 64 years,Employment/Population Ratio!!Estimate!!Population 16 years and over,Employment/Population Ratio!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone,Employment/Population Ratio!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone,Employment/Population Ratio!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone,Employment/Population Ratio!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Asian alone,Employment/Population Ratio!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,Employment/Population Ratio!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Some other race alone,Employment/Population Ratio!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races,Employment/Population Ratio!!Estimate!!Hispanic or Latino origin (of any race),"Employment/Population Ratio!!Estimate!!White alone, not Hispanic or Latino",Employment/Population Ratio!!Estimate!!Population 20 to 64 years,Unemployment rate!!Estimate!!Population 16 years and over,Unemployment rate!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone,Unemployment rate!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone,Unemployment rate!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone,Unemployment rate!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Asian alone,Unemployment rate!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,Unemployment rate!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Some other race alone,Unemployment rate!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races,Unemployment rate!!Estimate!!Hispanic or Latino origin (of any race),"Unemployment rate!!Estimate!!White alone, not Hispanic or Latino",Unemployment rate!!Estimate!!Population 20 to 64 years,STATE,SCHOOL DISTRICT (SECONDARY),NCESDist,year
13,69577,53187,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,18471,42246,50780,40.5,41.3,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,51.8,38.3,48.2,4.7,2.6,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,1.2,3.2,4.5,06,13530,0613530,2015
14,187026,71862,-999999999,-999999999,97530,-999999999,-999999999,-999999999,19843,61635,148240,63.8,63,-999999999,-999999999,63.9,-999999999,-999999999,-999999999,72.4,61.1,76.8,5.2,4.8,-999999999,-999999999,4.5,-999999999,-999999999,-999999999,4.6,5.3,5.2,06,14430,0614430,2015
15,203427,120802,-999999999,-999999999,44032,-999999999,27366,-999999999,83219,68354,154974,58,57.7,-999999999,-999999999,57.4,-999999999,62.1,-999999999,63.3,53.1,71.1,8.8,7.7,-999999999,-999999999,5.1,-999999999,17,-999999999,12.4,5.5,7.7,06,14760,0614760,2015
16,383983,298399,18657,-999999999,21062,-999999999,25184,16377,101594,226521,293754,57.7,57.3,61.1,-999999999,58.1,-999999999,62.9,53,62.3,56.1,70.6,8.4,7.1,14.4,-999999999,6.9,-999999999,10.7,20.5,8.8,6.7,7.6,06,16230,0616230,2015
17,52819,38736,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,23282,21946,39334,53.8,55.2,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,55.5,55.9,66,9.4,8.6,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,14.1,3.1,9.2,06,16500,0616500,2015
18,266490,172614,-999999999,-999999999,56299,-999999999,21525,-999999999,51026,146118,197930,61.5,62.2,-999999999,-999999999,57.5,-999999999,66.2,-999999999,66.3,61.3,75.8,5.1,5.2,-999999999,-999999999,5.2,-999999999,3.1,-999999999,3.6,5.5,4.8,06,18060,0618060,2015
19,131453,44599,4588,-999999999,63280,-999999999,-999999999,-999999999,27765,32529,102078,63.5,61.1,45.7,-999999999,65.4,-999999999,-999999999,-999999999,63.1,61.2,75.4,6.7,8.4,24.8,-999999999,4.6,-999999999,-999999999,-999999999,7.8,7.5,7,06,18930,0618930,2015
20,467419,364454,24019,-999999999,23345,-999999999,39303,11145,233080,179906,365741,55.7,55.9,53.2,-999999999,59.5,-999999999,54.4,52.5,58.1,52.7,66.3,11,10.4,13,-999999999,5.3,-999999999,17.1,14.4,12.7,8.8,10.5,06,19540,0619540,2015
21,88266,55376,-999999999,-999999999,23887,-999999999,-999999999,-999999999,-999999999,48668,71793,69.8,69.7,-999999999,-999999999,69.6,-999999999,-999999999,-999999999,-999999999,67.9,80.6,3.1,3.1,-999999999,-999999999,4,-999999999,-999999999,-999999999,-999999999,3.4,3,06,26310,0626310,2015
22,90355,61593,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,19291,53009,66745,57,57.8,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,55.2,58.5,71.7,7.4,5.2,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,16,4.3,7.4,06,21600,0621600,2015
23,130199,66508,-999999999,-999999999,13732,-999999999,37935,4447,64982,42915,97556,46.9,46.9,-999999999,-999999999,39,-999999999,50.5,35.3,49.6,45.5,58.4,13.5,9.2,-999999999,-999999999,17.1,-999999999,17.2,38.5,15.9,9.2,11.1,06,24660,0624660,2015
24,208975,158710,-999999999,-999999999,14937,-999999999,18432,6405,82613,97416,158011,51.8,51.7,-999999999,-999999999,57.1,-999999999,52.2,45,55.3,48.8,63.2,12.7,11.9,-999999999,-999999999,9.4,-999999999,18.2,23.3,13.5,11.6,12.2,06,25150,0625150,2015
25,73806,68814,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,64830,47150,45.6,44.3,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,43.7,62.5,9,9,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,8.1,8,06,26880,0626880,2015
26,251602,196559,6625,-999999999,21289,-999999999,15606,-999999999,135695,82735,191199,58.2,58.8,66.7,-999999999,52.9,-999999999,58.6,-999999999,62.9,51.9,70.8,7.3,6.5,6.5,-999999999,9,-999999999,13.2,-999999999,7.8,6.4,6.9,06,29270,0629270,2015
27,133788,77870,8617,-999999999,-999999999,-999999999,34619,-999999999,62823,50723,100712,51.1,49.8,47.1,-999999999,-999999999,-999999999,55.6,-999999999,54,48.8,63.5,10.4,8.4,9,-999999999,-999999999,-999999999,13.6,-999999999,11.9,8.3,10.1,06,30210,0630210,2015
28,63518,52904,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,48874,45540,61.1,61.1,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,61,74.4,5.8,5.2,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,5.3,5.5,06,30250,0630250,2015
29,72851,66111,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,63707,50043,51.9,51,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,50.5,68.2,7.6,8.3,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,8.4,6.8,06,30750,0630750,2015
30,144527,112215,-999999999,-999999999,14581,-999999999,-999999999,-999999999,20454,99954,106930,57.8,56.5,-999999999,-999999999,62,-999999999,-999999999,-999999999,57.8,56.6,73.7,5.9,6,-999999999,-999999999,6.2,-999999999,-999999999,-999999999,8,5.6,5.5,06,33630,0633630,2015
31,129558,77914,-999999999,-999999999,-999999999,-999999999,36645,-999999999,86321,31033,101723,59.2,57.8,-999999999,-999999999,-999999999,-999999999,65.3,-999999999,63,52.5,70.3,6.5,5.8,-999999999,-999999999,-999999999,-999999999,6.5,-999999999,6.2,5.5,5.7,06,33980,0633980,2015
32,146514,123723,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,114267,106652,59.5,60.4,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,59.8,73.8,4.7,4.3,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,4.4,3.8,06,34380,0634380,2015
33,193896,106311,-999999999,-999999999,60767,-999999999,-999999999,-999999999,32931,87207,147750,65.7,64.5,-999999999,-999999999,67.3,-999999999,-999999999,-999999999,70.6,63.1,79.9,4.6,3.5,-999999999,-999999999,4.5,-999999999,-999999999,-999999999,5.3,3.2,4,06,34980,0634980,2015
34,61727,42251,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,37219,46043,60.5,63.2,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,62.3,73.1,2.9,3.3,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,2.2,3.2,06,35110,0635110,2015
35,86454,67757,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,18393,55238,62885,56,57.6,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,63.5,56.1,68.2,6.3,5.8,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,6.7,6,4.9,06,35600,0635600,2015
36,110534,92682,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,67860,34411,84856,63.1,63.1,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,69.1,51.8,75.1,6.8,6.2,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,6.3,8.2,6.7,06,35670,0635670,2015
37,172562,131120,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,44896,108015,129357,61.2,59.7,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,69.8,58.5,74.1,6,5.5,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,8.4,4.3,5.1,06,35830,0635830,2015
38,203149,132375,5698,-999999999,27982,-999999999,29816,-999999999,52508,111024,154994,64.1,62.9,61.9,-999999999,67.7,-999999999,69.2,-999999999,67.1,62.5,76.7,4.4,4.1,10.2,-999999999,4.3,-999999999,3,-999999999,4,3.9,4.4,06,36390,0636390,2015
39,81278,71038,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,67191,56065,52.2,50.8,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,50.9,66.2,4.6,4.6,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,3.9,4.6,06,36600,0636600,2015
40,119933,83662,18810,-999999999,-999999999,-999999999,-999999999,-999999999,57784,37901,90013,42.8,44,37.2,-999999999,-999999999,-999999999,-999999999,-999999999,46.1,41.4,54.2,17.4,17.5,23,-999999999,-999999999,-999999999,-999999999,-999999999,17.5,16.3,15,06,36972,0636972,2015
41,387982,264093,17487,-999999999,60657,-999999999,32233,10743,235276,67255,303427,55.6,53.9,55.3,-999999999,60,-999999999,61,55,57,46.6,66.9,8.4,8.9,7.1,-999999999,6.3,-999999999,9.3,8.6,9.3,8.3,8,06,38640,0638640,2015
42,96348,84960,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,81174,65205,62.3,62.6,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,62.2,79.3,3.2,3.3,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,3.4,3.1,06,38790,0638790,2015
43,57630,47271,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,32300,20372,43497,52.4,53.5,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,52.2,54.1,65.7,6.1,6.1,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,7.7,3.6,5.1,06,39930,0639930,2015
44,186085,91773,-999999999,-999999999,8897,-999999999,76115,-999999999,137253,34780,145658,58.3,57.1,-999999999,-999999999,50.6,-999999999,61.2,-999999999,60.8,50.9,70.6,6.2,6.1,-999999999,-999999999,9.8,-999999999,5.6,-999999999,6,6.9,5.9,06,42480,0642480,2015
45,218386,156584,-999999999,-999999999,27318,-999999999,-999999999,11141,63956,110474,171082,62.9,63.4,-999999999,-999999999,62.7,-999999999,-999999999,56.9,62.4,63.4,74.6,6.3,6.7,-999999999,-999999999,4.2,-999999999,-999999999,9,8.7,5.5,5.6,06,42510,0642510,2015
