,Geography,NAME,Estimate!!Total!!Population 16 years and over,Estimate!!Total!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone,Estimate!!Total!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone,Estimate!!Total!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone,Estimate!!Total!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Asian alone,Estimate!!Total!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,Estimate!!Total!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Some other race alone,Estimate!!Total!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races,Estimate!!Total!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Hispanic or Latino origin (of any race),"Estimate!!Total!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone, not Hispanic or Latino",Estimate!!Total!!Population 20 to 64 years,Estimate!!Employment/Population Ratio!!Population 16 years and over,Estimate!!Employment/Population Ratio!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone,Estimate!!Employment/Population Ratio!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone,Estimate!!Employment/Population Ratio!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone,Estimate!!Employment/Population Ratio!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Asian alone,Estimate!!Employment/Population Ratio!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,Estimate!!Employment/Population Ratio!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Some other race alone,Estimate!!Employment/Population Ratio!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races,Estimate!!Employment/Population Ratio!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Hispanic or Latino origin (of any race),"Estimate!!Employment/Population Ratio!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone, not Hispanic or Latino",Estimate!!Employment/Population Ratio!!Population 20 to 64 years,Estimate!!Unemployment rate!!Population 16 years and over,Estimate!!Unemployment rate!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone,Estimate!!Unemployment rate!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone,Estimate!!Unemployment rate!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone,Estimate!!Unemployment rate!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Asian alone,Estimate!!Unemployment rate!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,Estimate!!Unemployment rate!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Some other race alone,Estimate!!Unemployment rate!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races,Estimate!!Unemployment rate!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Hispanic or Latino origin (of any race),"Estimate!!Unemployment rate!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone, not Hispanic or Latino",Estimate!!Unemployment rate!!Population 20 to 64 years,STATE,SCHOOL DISTRICT (SECONDARY),District,NCESDist,year
11,9600000US0630250,"Petaluma Joint Union High School District, California",64227,51079,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,45645,43518,61.7,60.6,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,57.4,79.6,3.3,1.6,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,1.9,2.3,06,30250,Petaluma Joint Union High School District,0630250,2019
12,9600000US0630750,"Placer Union High School District, California",79908,72467,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,64372,54681,59.1,58.8,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,57.8,75.7,1.8,2.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,2.1,1.6,06,30750,Placer Union High School District,0630750,2019
13,9600000US0633630,"Roseville Joint Union High School District, California",146915,116210,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,18291,101571,106923,62.5,61.7,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,56.0,62.7,79.1,3.2,3.5,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,7.0,3.3,2.7,06,33630,Roseville Joint Union High School District,0633630,2019
14,9600000US0633980,"Salinas Union High School District, California",129762,45639,-999999999,-999999999,7771,-999999999,70030,-999999999,96058,22835,101943,61.2,61.3,-999999999.0,-999999999.0,54.4,-999999999.0,61.8,-999999999.0,62.6,57.4,72.3,4.0,6.7,-999999999.0,-999999999.0,4.0,-999999999.0,2.4,-999999999.0,3.9,4.8,4.0,06,33980,Salinas Union High School District,0633980,2019
15,9600000US0634380,"San Dieguito Union High School District, California",139036,111149,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,101868,97916,62.0,61.9,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,60.8,77.8,3.2,3.3,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,3.7,2.9,06,34380,San Dieguito Union High School District,0634380,2019
16,9600000US0634980,"San Mateo Union High School District, California",202771,100221,-999999999,-999999999,67810,-999999999,-999999999,-999999999,38031,84271,149177,67.2,61.6,-999999999.0,-999999999.0,70.8,-999999999.0,-999999999.0,-999999999.0,69.6,61.3,82.0,2.9,3.3,-999999999.0,-999999999.0,2.3,-999999999.0,-999999999.0,-999999999.0,2.3,3.3,3.0,06,34980,San Mateo Union High School District,0634980,2019
17,9600000US0635110,"San Rafael City High School District, California",62898,45410,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,38195,43316,61.7,60.5,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,58.5,79.0,5.2,7.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,7.7,5.1,06,35110,San Rafael City High School District,0635110,2019
18,9600000US0635670,"Santa Maria Joint Union High School District, California",110574,92890,-999999999,-999999999,4856,-999999999,-999999999,-999999999,68318,33559,81579,60.8,60.5,-999999999.0,-999999999.0,64.0,-999999999.0,-999999999.0,-999999999.0,66.7,48.2,74.5,4.6,4.8,-999999999.0,-999999999.0,1.9,-999999999.0,-999999999.0,-999999999.0,4.8,4.8,4.2,06,35670,Santa Maria Joint Union High School District,0635670,2019
19,9600000US0635830,"Santa Rosa High School District, California",168781,112182,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,52732,97038,123579,64.6,60.5,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,74.6,59.4,79.2,2.7,2.3,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,2.5,2.4,2.1,06,35830,Santa Rosa High School District,0635830,2019
20,9600000US0636390,"Sequoia Union High School District, California",205952,130925,-999999999,-999999999,31597,-999999999,-999999999,-999999999,50533,109709,157158,67.1,65.8,-999999999.0,-999999999.0,70.6,-999999999.0,-999999999.0,-999999999.0,69.0,65.1,80.6,2.8,2.7,-999999999.0,-999999999.0,2.5,-999999999.0,-999999999.0,-999999999.0,2.4,3.0,2.7,06,36390,Sequoia Union High School District,0636390,2019
