,Total!!Estimate!!Population 16 years and over,Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone,Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone,Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone,Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Asian alone,Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Some other race alone,Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races,Total!!Estimate!!Hispanic or Latino origin (of any race),"Total!!Estimate!!White alone, not Hispanic or Latino",Total!!Estimate!!Population 20 to 64 years,Employment/Population Ratio!!Estimate!!Population 16 years and over,Employment/Population Ratio!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone,Employment/Population Ratio!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone,Employment/Population Ratio!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone,Employment/Population Ratio!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Asian alone,Employment/Population Ratio!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,Employment/Population Ratio!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Some other race alone,Employment/Population Ratio!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races,Employment/Population Ratio!!Estimate!!Hispanic or Latino origin (of any race),"Employment/Population Ratio!!Estimate!!White alone, not Hispanic or Latino",Employment/Population Ratio!!Estimate!!Population 20 to 64 years,Unemployment rate!!Estimate!!Population 16 years and over,Unemployment rate!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone,Unemployment rate!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone,Unemployment rate!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone,Unemployment rate!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Asian alone,Unemployment rate!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,Unemployment rate!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Some other race alone,Unemployment rate!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races,Unemployment rate!!Estimate!!Hispanic or Latino origin (of any race),"Unemployment rate!!Estimate!!White alone, not Hispanic or Latino",Unemployment rate!!Estimate!!Population 20 to 64 years,STATE,SCHOOL DISTRICT (UNIFIED),NCESDist,year
48,142549,61932,18210,-999999999,37302,-999999999,14691,-999999999,50013,29648,114919,62.7,61.2,64.2,-999999999,66.1,-999999999,61,-999999999,64.7,55.3,74.1,5.2,2.9,7.4,-999999999,6.1,-999999999,7.7,-999999999,3.6,4.6,5,06,16740,0616740,2015
49,104700,85761,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,33902,58941,71046,41.2,40.3,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,48.9,36.5,55.5,16.1,16.5,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,19,15,15,06,16920,0616920,2015
50,91019,26486,39398,-999999999,-999999999,-999999999,21079,-999999999,42198,6375,69215,57.9,55.9,57.1,-999999999,-999999999,-999999999,62.1,-999999999,60.5,44,70.9,12,13.9,12.4,-999999999,-999999999,-999999999,8.3,-999999999,11.9,9.1,11.5,06,18390,0618390,2015
51,77747,44027,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,48196,23384,59608,54.3,51.4,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,58.9,46.1,66.3,12.7,15.5,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,10.3,19.6,11.1,06,19260,0619260,2015
52,52022,44432,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,40861,37302,58.7,57.6,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,58.1,71.2,5.1,5,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,4.3,5.1,06,21000,0621000,2015
53,73297,57489,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,46247,58733,69,68.6,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,66.4,80.8,2.1,2.1,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,1.7,2.1,06,22110,0622110,2015
54,130111,76292,6735,-999999999,25016,-999999999,-999999999,-999999999,36453,58032,95711,55.8,57.5,57.3,-999999999,51.6,-999999999,-999999999,-999999999,60.2,55.7,69.8,8.6,6.5,11.7,-999999999,7.1,-999999999,-999999999,-999999999,12.7,5.4,7.1,06,22230,0622230,2015
55,415182,240793,46770,-999999999,56548,-999999999,45445,14487,158466,139766,327984,59.7,60.2,55.3,-999999999,58.5,-999999999,63.8,64,63.4,57.7,71.3,5.9,4.7,8.5,-999999999,5.1,-999999999,9.3,10.4,6,5.2,5.6,06,22500,0622500,2015
56,3812660,1998408,375477,29310,461950,-999999999,834382,105382,1832791,1066157,3020582,60.6,60.9,51.9,58.9,58.4,-999999999,64.6,64.4,62.2,61.8,71.8,7.4,6.4,11.5,11.2,5.9,-999999999,8.5,9.1,7.7,6.2,7,06,22710,0622710,2015
57,-999999999,55461,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,43886,-999999999,-999999999,58.6,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,56.1,-999999999,-999999999,3.4,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,2.1,-999999999,06,23080,0623080,2015
58,51561,34359,-999999999,-999999999,-999999999,-999999999,12156,-999999999,45806,-999999999,41838,59.2,57.4,-999999999,-999999999,-999999999,-999999999,67,-999999999,60.3,-999999999,69,9.3,11.3,-999999999,-999999999,-999999999,-999999999,7.1,-999999999,9.8,-999999999,8.1,06,23160,0623160,2015
59,63141,51618,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,45684,13238,48482,61.3,63.1,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,63.9,54.5,72.7,5.6,4.4,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,6.2,1.9,5.4,06,23340,0623340,2015
60,97902,60532,-999999999,-999999999,13767,-999999999,8705,-999999999,35454,37236,76769,51.6,52.4,-999999999,-999999999,50.3,-999999999,52.8,-999999999,53.9,51.2,62.6,12.4,11.4,-999999999,-999999999,13.2,-999999999,18.7,-999999999,14,11,11.7,06,23610,0623610,2015
61,62154,13688,-999999999,-999999999,40272,-999999999,-999999999,-999999999,-999999999,9897,49162,59.5,52.9,-999999999,-999999999,61.4,-999999999,-999999999,-999999999,-999999999,56.8,70.6,5.1,7.3,-999999999,-999999999,4.7,-999999999,-999999999,-999999999,-999999999,6.4,5.3,06,24500,0624500,2015
62,134547,76037,-999999999,-999999999,19439,-999999999,34239,-999999999,105856,6067,104354,56.6,56.3,-999999999,-999999999,53,-999999999,59.8,-999999999,57.4,54.3,69.6,8.3,7.3,-999999999,-999999999,4.4,-999999999,12.4,-999999999,9,9.7,7.6,06,25470,0625470,2015
63,73556,51716,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,20769,35575,54411,54.4,52.4,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,59.1,49.1,67.1,5.4,4.5,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,6,5.3,4.9,06,25530,0625530,2015
64,132958,58812,22111,-999999999,-999999999,-999999999,40246,-999999999,75325,25895,105380,57.1,55.7,58,-999999999,-999999999,-999999999,60,-999999999,58.7,53.8,68,10.1,10,10.9,-999999999,-999999999,-999999999,10.2,-999999999,10.1,9.5,8.7,06,25800,0625800,2015
65,51775,39078,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,15636,27546,38892,60.1,60.3,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,62.8,59.3,73.7,4.7,4.7,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,6.5,4.3,3.9,06,25830,0625830,2015
66,54244,45700,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,12416,35366,40565,37.4,37.2,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,34.6,38.8,46,11.1,10,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,13.5,9.6,10.7,06,25860,0625860,2015
67,218842,148904,8749,-999999999,26764,-999999999,22322,-999999999,53154,121098,169485,62.2,62.7,54.7,-999999999,61.3,-999999999,62.4,-999999999,63.8,62.4,74.6,6.8,5.6,15.1,-999999999,5.4,-999999999,13.1,-999999999,9,5.5,6.4,06,26370,0626370,2015
68,96454,67727,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,29260,53962,71294,62.2,60.6,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,69.4,58.6,76.6,4.7,4.6,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,4.5,4.6,4.5,06,26640,0626640,2015
69,66681,15092,-999999999,-999999999,36628,-999999999,-999999999,-999999999,12010,10290,50857,59.5,54.5,-999999999,-999999999,60.4,-999999999,-999999999,-999999999,58.6,54.2,72.8,4.5,5.3,-999999999,-999999999,5.2,-999999999,-999999999,-999999999,4.4,3.3,4.5,06,26910,0626910,2015
70,168049,132577,-999999999,-999999999,14369,-999999999,-999999999,-999999999,33621,112428,127204,63.9,63.7,-999999999,-999999999,61.4,-999999999,-999999999,-999999999,66.7,63.1,77.2,5,4.9,-999999999,-999999999,2.5,-999999999,-999999999,-999999999,5.1,5,4.9,06,27240,0627240,2015
71,101074,44003,-999999999,-999999999,18541,-999999999,31279,-999999999,56452,20888,75781,55.9,50.1,-999999999,-999999999,55.5,-999999999,63.8,-999999999,59,47.3,69.4,6.4,8.4,-999999999,-999999999,5.4,-999999999,3.2,-999999999,6.4,5.7,5.5,06,27690,0627690,2015
72,342395,132801,86170,-999999999,56109,-999999999,47018,16266,81847,104363,275859,63.5,70.8,55,-999999999,57.8,-999999999,65.2,65.9,66.3,71,74,7,5,9.2,-999999999,8.4,-999999999,7.3,9.3,6.5,4.8,6.5,06,28050,0628050,2015
73,110376,82786,-999999999,-999999999,8477,-999999999,-999999999,-999999999,36813,52901,85641,58,59.5,-999999999,-999999999,50.2,-999999999,-999999999,-999999999,65.3,55.6,69,7.2,6.6,-999999999,-999999999,16.3,-999999999,-999999999,-999999999,8.5,5,7.2,06,28250,0628250,2015
74,178990,124903,-999999999,-999999999,26880,-999999999,-999999999,-999999999,52871,92308,137376,61.4,59.2,-999999999,-999999999,63.4,-999999999,-999999999,-999999999,64.1,59.7,73.1,6.6,6.1,-999999999,-999999999,7.3,-999999999,-999999999,-999999999,6.4,5.8,6.1,06,28650,0628650,2015
75,88015,58415,-999999999,-999999999,-999999999,-999999999,23290,-999999999,47766,35969,67267,57.1,55.5,-999999999,-999999999,-999999999,-999999999,62.6,-999999999,60.9,53.5,68,7,7.6,-999999999,-999999999,-999999999,-999999999,6,-999999999,6.5,8,6.8,06,29490,0629490,2015
76,140854,111318,6472,-999999999,-999999999,-999999999,14997,-999999999,56655,71119,94372,47.1,45.6,47,-999999999,-999999999,-999999999,56.6,-999999999,58.3,38.3,62.3,9.2,7.8,19,-999999999,-999999999,-999999999,12.4,-999999999,7.9,8.6,8.4,06,29550,0629550,2015
77,70824,42898,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,39627,49475,56.4,55.5,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,56.5,73.3,3.1,3.5,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,2.1,2.5,06,29610,0629610,2015
78,60044,33141,-999999999,-999999999,-999999999,-999999999,11178,-999999999,41576,-999999999,47621,61.4,64.3,-999999999,-999999999,-999999999,-999999999,60.9,-999999999,64,-999999999,73.3,5.6,5.6,-999999999,-999999999,-999999999,-999999999,6,-999999999,6,-999999999,4.6,06,29850,0629850,2015
79,176499,97614,23765,-999999999,23903,-999999999,25638,-999999999,52282,72636,133429,63.2,63.2,54.7,-999999999,63.4,-999999999,68.7,-999999999,67.1,62.5,76.6,6.3,6.7,9.5,-999999999,3.7,-999999999,3.9,-999999999,7.1,5.5,5.9,06,29940,0629940,2015
80,136253,103336,-999999999,-999999999,23443,-999999999,-999999999,-999999999,42149,65868,104677,64.5,64.7,-999999999,-999999999,63.9,-999999999,-999999999,-999999999,67,63.7,78.1,5,5.3,-999999999,-999999999,3.2,-999999999,-999999999,-999999999,6.3,4.4,4.8,06,30660,0630660,2015
81,133502,69352,9228,-999999999,22721,-999999999,24507,-999999999,81129,17282,102256,55.2,55.1,49.3,-999999999,54.8,-999999999,58.3,-999999999,57.2,51.3,67.2,10.1,10.3,18.5,-999999999,6.4,-999999999,8,-999999999,9.4,14.1,8.8,06,31320,0631320,2015
82,149201,101566,-999999999,-999999999,34307,-999999999,-999999999,-999999999,17952,87955,111825,61.8,59.5,-999999999,-999999999,67,-999999999,-999999999,-999999999,64.7,58.3,77,4.4,4,-999999999,-999999999,2.6,-999999999,-999999999,-999999999,5.5,4.3,3.9,06,31530,0631530,2015
83,100468,69122,-999999999,-999999999,11120,-999999999,-999999999,-999999999,26822,50759,74977,55.2,55.9,-999999999,-999999999,52.9,-999999999,-999999999,-999999999,55.6,56,68.3,6.7,5,-999999999,-999999999,9.1,-999999999,-999999999,-999999999,9.2,4.5,6.5,06,32070,0632070,2015
84,94560,70281,-999999999,-999999999,-999999999,-999999999,9735,-999999999,70233,10815,73722,55.9,55.5,-999999999,-999999999,-999999999,-999999999,59.9,-999999999,57.2,49.4,66.6,10.3,10.4,-999999999,-999999999,-999999999,-999999999,10.5,-999999999,10.9,6.6,9.9,06,32370,0632370,2015
85,207525,84655,32539,-999999999,48980,-999999999,28010,11875,63793,53323,158424,61,60.8,53,-999999999,62.2,-999999999,68.6,62.1,66.4,57.9,74,6.3,5.6,11.5,-999999999,4.8,-999999999,3.6,9.8,4.7,5.9,5.8,06,32550,0632550,2015
86,204819,137434,14342,-999999999,15923,-999999999,26459,-999999999,81720,86199,160505,58,59.2,49.4,-999999999,41.8,-999999999,66.4,-999999999,63.9,57.2,70.4,7.8,6.9,14.3,-999999999,9.1,-999999999,7.4,-999999999,7.7,6,7,06,33150,0633150,2015
87,94816,24984,-999999999,-999999999,44523,-999999999,21077,-999999999,39718,7770,71157,57.5,56.3,-999999999,-999999999,56.9,-999999999,59.6,-999999999,58.5,56.6,70.6,6.8,8.5,-999999999,-999999999,5.4,-999999999,6.3,-999999999,6.7,11.4,6.4,06,33750,0633750,2015
88,262547,145378,32363,-999999999,47053,-999999999,18567,14327,62945,105501,198406,55.6,58.8,45.8,-999999999,51.8,-999999999,57.2,54.4,58.3,58.8,69.3,8.3,6.9,12.1,-999999999,7.9,-999999999,11.1,12.7,10.6,6,7.5,06,33840,0633840,2015
89,178359,133863,-999999999,-999999999,25566,-999999999,-999999999,-999999999,31287,113546,129800,63.3,61.1,-999999999,-999999999,67.7,-999999999,-999999999,-999999999,71.7,59.4,78.6,4.1,4.3,-999999999,-999999999,2.9,-999999999,-999999999,-999999999,4.9,4.2,3.9,06,33860,0633860,2015
90,203973,116544,28401,-999999999,-999999999,-999999999,38474,-999999999,116552,43706,162972,52.1,50.7,51.6,-999999999,-999999999,-999999999,56.7,-999999999,56.1,41.6,61.3,11.4,12.8,10.3,-999999999,-999999999,-999999999,10.8,-999999999,11.4,15.7,9.8,06,34170,0634170,2015
91,897205,574250,69702,-999999999,142675,-999999999,68892,35074,232527,424407,719053,60.9,62.1,52.9,-999999999,59.8,-999999999,60.3,64.1,63.5,61,70.9,6.8,6.1,13.7,-999999999,4.7,-999999999,11.2,6.6,7.8,6.1,6.3,06,34320,0634320,2015
92,760939,367665,38832,-999999999,269164,-999999999,52800,26873,107982,320934,608133,66.5,72.7,42.9,-999999999,60.7,-999999999,68,73.8,69.5,73,78.5,5.1,3.7,16.3,-999999999,6.2,-999999999,4.3,4,4.3,3.7,4.9,06,34410,0634410,2015
93,220652,117523,-999999999,-999999999,42945,-999999999,37312,-999999999,67514,91383,174675,64.9,64.6,-999999999,-999999999,66,-999999999,65.1,-999999999,65.2,64.6,76.5,5.4,4.8,-999999999,-999999999,7.2,-999999999,6.8,-999999999,6.1,4.5,5,06,34590,0634590,2015
94,272754,218360,16405,-999999999,13494,-999999999,11292,11469,32800,200393,195378,54.5,53.4,54.3,-999999999,62.1,-999999999,64,56.9,61.1,52.8,69.1,9.7,9.4,8.2,-999999999,4.5,-999999999,14.8,18.7,12.6,9.3,9,06,34620,0634620,2015
95,57490,24263,-999999999,-999999999,18714,-999999999,-999999999,-999999999,16040,13792,43090,64.2,60.9,-999999999,-999999999,63.4,-999999999,-999999999,-999999999,63,60.8,78.1,6.1,5.1,-999999999,-999999999,7.3,-999999999,-999999999,-999999999,6.3,4.5,5.7,06,34680,0634680,2015
96,69197,27012,-999999999,-999999999,20928,-999999999,-999999999,-999999999,25092,14708,54170,62.5,62.1,-999999999,-999999999,58.6,-999999999,-999999999,-999999999,69.3,61.9,75,6,2.8,-999999999,-999999999,8.9,-999999999,-999999999,-999999999,2.9,1.5,5.8,06,34710,0634710,2015
97,85272,71009,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,11684,63535,57878,50.9,52.3,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,60.4,51.2,63.5,5.6,5,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,6.4,4.5,5.2,06,34800,0634800,2015
98,97577,74828,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,29080,52128,75164,64.2,62.8,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,64.9,62.5,76.8,3.3,3.8,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,3.6,4,2.8,06,34880,0634880,2015
99,111402,72686,-999999999,-999999999,32806,-999999999,-999999999,-999999999,6572,67578,82611,61.2,60.8,-999999999,-999999999,62.2,-999999999,-999999999,-999999999,63.1,60.6,75.6,3.7,3.4,-999999999,-999999999,3.2,-999999999,-999999999,-999999999,3.4,3.5,3.8,06,35130,0635130,2015
100,199088,104079,-999999999,-999999999,19177,-999999999,67175,-999999999,149782,24286,164665,62,60.1,-999999999,-999999999,53.1,-999999999,68.7,-999999999,64.7,55.5,71.6,5.8,5.3,-999999999,-999999999,7,-999999999,6.3,-999999999,5.1,10.8,5.6,06,35310,0635310,2015
101,136269,58996,-999999999,-999999999,58525,-999999999,-999999999,-999999999,22800,46473,110953,66.9,62.8,-999999999,-999999999,66.8,-999999999,-999999999,-999999999,70,63.5,78.6,4.1,3,-999999999,-999999999,5.1,-999999999,-999999999,-999999999,3.3,2.9,3.8,06,35430,0635430,2015
102,96285,73135,-999999999,-999999999,10046,-999999999,-999999999,-999999999,14150,62273,73144,64.1,64,-999999999,-999999999,69.2,-999999999,-999999999,-999999999,60.6,64.9,76.6,6.5,6.4,-999999999,-999999999,4.3,-999999999,-999999999,-999999999,8.7,6.1,5.8,06,35700,0635700,2015
103,104267,84598,-999999999,-999999999,10334,-999999999,-999999999,-999999999,24817,65183,81106,64.8,64.9,-999999999,-999999999,62.1,-999999999,-999999999,-999999999,70.7,62.7,76.2,5.4,5.6,-999999999,-999999999,4.2,-999999999,-999999999,-999999999,5.9,5.7,4.9,06,36840,0636840,2015
104,68667,24125,-999999999,-999999999,26641,-999999999,-999999999,-999999999,23247,13864,51951,64.9,61,-999999999,-999999999,65.2,-999999999,-999999999,-999999999,70,58.6,80.4,4.6,5.7,-999999999,-999999999,3.4,-999999999,-999999999,-999999999,6.8,2.5,4,06,37530,0637530,2015
105,155924,84606,16392,-999999999,25218,-999999999,15066,-999999999,79634,31944,120345,47.9,46.6,48.5,-999999999,43.2,-999999999,51.5,-999999999,51.1,44.6,57.5,14.7,13.1,16.3,-999999999,14.7,-999999999,20.7,-999999999,15.8,11.5,14,06,38010,0638010,2015
106,122352,59981,-999999999,-999999999,41521,-999999999,-999999999,-999999999,19823,50683,90060,60,58.5,-999999999,-999999999,61,-999999999,-999999999,-999999999,66,56.7,75.5,5.3,6.2,-999999999,-999999999,1.9,-999999999,-999999999,-999999999,6,6.4,4.4,06,39420,0639420,2015
107,105199,58680,-999999999,-999999999,20678,-999999999,-999999999,-999999999,32139,46308,84306,66.4,64.1,-999999999,-999999999,69.4,-999999999,-999999999,-999999999,69.1,63.4,76.8,4.4,3.3,-999999999,-999999999,3.9,-999999999,-999999999,-999999999,4.7,3.6,4,06,40150,0640150,2015
108,64864,44546,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,14938,37360,48138,58.6,56.6,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,64,55.1,72.1,7.2,6,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,11.4,4.9,6.4,06,40590,0640590,2015
109,102119,44481,19123,-999999999,26583,-999999999,-999999999,-999999999,21967,30126,77495,53.7,54.3,40.2,-999999999,57.7,-999999999,-999999999,-999999999,62.7,50.5,64.9,10.3,8.3,21.1,-999999999,8.1,-999999999,-999999999,-999999999,8.2,7.7,9.7,06,40740,0640740,2015
110,100946,85471,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,31974,62083,76518,57.8,57.2,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,61.4,55.6,70.9,6.8,7.1,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,7.1,6.7,6.5,06,40980,0640980,2015
111,109781,86766,-999999999,-999999999,-999999999,-999999999,10396,-999999999,49617,49678,85042,51.9,51.2,-999999999,-999999999,-999999999,-999999999,56.2,-999999999,51.5,51.5,62.6,6.2,6.4,-999999999,-999999999,-999999999,-999999999,8.3,-999999999,8.2,5,6.2,06,41160,0641160,2015
112,117691,94803,-999999999,-999999999,-999999999,-999999999,7663,-999999999,42283,61786,87665,61.3,61.9,-999999999,-999999999,-999999999,-999999999,62.5,-999999999,71.1,55.9,75.2,6.7,6.3,-999999999,-999999999,-999999999,-999999999,10.1,-999999999,4.6,8.2,6.2,06,41190,0641190,2015
113,50191,36320,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,22219,21543,38568,58.9,57.3,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,60.5,58.1,70.8,8.7,9,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,12.5,5.4,8.3,06,43080,0643080,2015
114,56119,37815,-999999999,-999999999,11507,-999999999,-999999999,-999999999,15290,25764,41474,48.3,48.3,-999999999,-999999999,47.6,-999999999,-999999999,-999999999,51.5,47,60.2,13.5,12.6,-999999999,-999999999,18.3,-999999999,-999999999,-999999999,13.6,11,13.4,06,43470,0643470,2015
115,188288,88002,-999999999,-999999999,84369,-999999999,-999999999,-999999999,-999999999,77214,146481,56.7,57.7,-999999999,-999999999,55.3,-999999999,-999999999,-999999999,-999999999,57.3,67.2,5.1,5.9,-999999999,-999999999,3.7,-999999999,-999999999,-999999999,-999999999,6.5,4.9,06,84500,0684500,2015
116,68697,26805,-999999999,-999999999,-999999999,-999999999,27189,-999999999,43380,11573,53982,55.6,54.5,-999999999,-999999999,-999999999,-999999999,58.6,-999999999,58.3,49.8,65.5,10.7,8.5,-999999999,-999999999,-999999999,-999999999,9.6,-999999999,9.2,8.9,10.2,06,91135,0691135,2015
