,Total!!Estimate!!Population 16 years and over,Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone,Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone,Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone,Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Asian alone,Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Some other race alone,Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races,Total!!Estimate!!Hispanic or Latino origin (of any race),"Total!!Estimate!!White alone, not Hispanic or Latino",Total!!Estimate!!Population 20 to 64 years,Employment/Population Ratio!!Estimate!!Population 16 years and over,Employment/Population Ratio!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone,Employment/Population Ratio!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone,Employment/Population Ratio!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone,Employment/Population Ratio!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Asian alone,Employment/Population Ratio!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,Employment/Population Ratio!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Some other race alone,Employment/Population Ratio!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races,Employment/Population Ratio!!Estimate!!Hispanic or Latino origin (of any race),"Employment/Population Ratio!!Estimate!!White alone, not Hispanic or Latino",Employment/Population Ratio!!Estimate!!Population 20 to 64 years,Unemployment rate!!Estimate!!Population 16 years and over,Unemployment rate!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone,Unemployment rate!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone,Unemployment rate!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone,Unemployment rate!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Asian alone,Unemployment rate!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,Unemployment rate!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Some other race alone,Unemployment rate!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races,Unemployment rate!!Estimate!!Hispanic or Latino origin (of any race),"Unemployment rate!!Estimate!!White alone, not Hispanic or Latino",Unemployment rate!!Estimate!!Population 20 to 64 years,STATE,SCHOOL DISTRICT (UNIFIED),NCESDist,year
12,56695,44460,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,17498,32880,41132,55.2,55.1,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,57.1,53.9,69.8,7.7,8.7,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,10.2,7.3,7.6,06,00158,0600158,2015
13,138686,86255,16254,-999999999,12585,-999999999,12734,-999999999,43032,59137,108480,51.9,50.9,46.9,-999999999,53.2,-999999999,64.7,-999999999,54.8,51.4,62,9.2,8.3,13,-999999999,8,-999999999,11.4,-999999999,9.4,8.4,8.5,06,01332,0601332,2015
14,73919,58587,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,22442,45933,54677,66.9,66.2,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,72.7,64.1,82,4.2,3.9,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,4.2,4.4,3.9,06,01414,0601414,2015
15,83008,22796,5218,-999999999,36759,-999999999,15343,-999999999,25490,13520,61243,54.1,52,43.4,-999999999,57.6,-999999999,52.9,-999999999,53.6,48.6,68.4,7.4,7.5,11.1,-999999999,5.4,-999999999,10.7,-999999999,9.6,8.8,7.3,06,01620,0601620,2015
16,64837,33189,-999999999,-999999999,20580,-999999999,-999999999,-999999999,-999999999,30189,51113,62.2,63.2,-999999999,-999999999,59.5,-999999999,-999999999,-999999999,-999999999,63.5,74.9,4.3,2.9,-999999999,-999999999,5.3,-999999999,-999999999,-999999999,-999999999,2.7,4.2,06,01770,0601770,2015
17,85102,52466,-999999999,-999999999,9763,-999999999,14344,-999999999,45466,23069,68016,61.1,61.4,-999999999,-999999999,57.5,-999999999,62.4,-999999999,62.8,59.9,71.7,7.6,7.4,-999999999,-999999999,8.6,-999999999,9.5,-999999999,8.5,5.9,5.8,06,02430,0602430,2015
18,87714,39891,15707,-999999999,-999999999,-999999999,14696,-999999999,24957,31486,69094,57.3,51.7,61.9,-999999999,-999999999,-999999999,74.2,-999999999,68.7,48.9,66.7,7.5,7.7,13.6,-999999999,-999999999,-999999999,7,-999999999,5.8,8.8,7.6,06,02850,0602850,2015
19,57942,27294,-999999999,-999999999,-999999999,-999999999,20807,-999999999,37208,12459,46028,56.9,59.4,-999999999,-999999999,-999999999,-999999999,54.4,-999999999,58.5,54.2,66.7,9.2,8.9,-999999999,-999999999,-999999999,-999999999,10.9,-999999999,9.1,11.6,8.1,06,03600,0603600,2015
20,59558,27409,-999999999,-999999999,12927,-999999999,16833,-999999999,41665,-999999999,45306,56.3,51.1,-999999999,-999999999,59.6,-999999999,63,-999999999,58,-999999999,68.1,4.6,5.8,-999999999,-999999999,6.2,-999999999,2.3,-999999999,3.7,-999999999,4.8,06,03690,0603690,2015
21,65930,23012,8564,-999999999,9762,-999999999,22669,-999999999,31299,15255,49513,54.1,51.4,55.4,-999999999,55.2,-999999999,54.2,-999999999,56.3,45.2,68.2,5.6,4.6,6.9,-999999999,6,-999999999,6.4,-999999999,6.2,3.6,4.4,06,04440,0604440,2015
22,107090,68175,7752,-999999999,21084,-999999999,-999999999,-999999999,12904,61192,77909,59.2,63,41.1,-999999999,50.2,-999999999,-999999999,-999999999,60.5,63.6,71.3,7,4.9,18.3,-999999999,8.8,-999999999,-999999999,-999999999,10.8,4.7,6.6,06,04740,0604740,2015
23,84504,61802,-999999999,-999999999,10066,-999999999,-999999999,-999999999,16790,52382,64964,62,61.2,-999999999,-999999999,65.2,-999999999,-999999999,-999999999,65.3,60.2,74.5,6.4,6.5,-999999999,-999999999,5.6,-999999999,-999999999,-999999999,6.6,6.4,6.7,06,06450,0606450,2015
24,294657,232710,-999999999,-999999999,27484,-999999999,-999999999,10187,53784,202119,218508,62.9,61.9,-999999999,-999999999,64.2,-999999999,-999999999,65.3,67.1,61.4,75.8,4.4,4.9,-999999999,-999999999,1.3,-999999999,-999999999,4,5.6,4.5,4.3,06,07440,0607440,2015
25,62401,53318,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,46402,44351,59.2,60.3,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,59.5,74.6,5.7,4.4,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,4.7,5.5,06,07500,0607500,2015
26,57253,34878,-999999999,-999999999,10202,-999999999,-999999999,-999999999,25801,17151,46212,57.6,57.4,-999999999,-999999999,57.5,-999999999,-999999999,-999999999,62.2,55.3,68.3,9.8,6.6,-999999999,-999999999,8.3,-999999999,-999999999,-999999999,12.2,3.9,9.1,06,07970,0607970,2015
27,94506,80121,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,14785,70965,70609,56.6,55.9,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,65.8,55.1,69.5,10.2,10.2,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,14.8,8.9,9.6,06,08370,0608370,2015
28,154311,75827,-999999999,-999999999,31771,-999999999,28827,-999999999,63840,44602,125563,54.9,57.1,-999999999,-999999999,61.6,-999999999,57.3,-999999999,60.6,51.4,63.6,7.5,8.5,-999999999,-999999999,4.6,-999999999,7.4,-999999999,7.3,9.2,7.1,06,08460,0608460,2015
29,160516,115021,-999999999,-999999999,19726,-999999999,-999999999,5149,35176,95179,120630,60.9,60.7,-999999999,-999999999,58.9,-999999999,-999999999,54.4,65.6,59.8,74.5,6.1,5.4,-999999999,-999999999,4.8,-999999999,-999999999,16.2,8.1,5.1,5.4,06,09030,0609030,2015
30,73890,31909,-999999999,-999999999,-999999999,-999999999,40835,-999999999,63600,9544,57114,53.6,47.3,-999999999,-999999999,-999999999,-999999999,58.8,-999999999,56.8,33.2,65.7,13.2,8.4,-999999999,-999999999,-999999999,-999999999,16,-999999999,13.7,7.5,13.1,06,09070,0609070,2015
31,84193,51844,-999999999,-999999999,-999999999,-999999999,19053,-999999999,52277,20603,66111,58.2,54,-999999999,-999999999,-999999999,-999999999,64.2,-999999999,58.5,52.9,70.3,6.1,8,-999999999,-999999999,-999999999,-999999999,2.7,-999999999,6.5,5.9,5.6,06,09390,0609390,2015
32,121773,57316,37460,-999999999,-999999999,-999999999,20727,-999999999,76840,-999999999,95759,54.8,58.7,45.7,-999999999,-999999999,-999999999,60.3,-999999999,59.5,-999999999,65.4,10.8,8.8,17.8,-999999999,-999999999,-999999999,6.3,-999999999,8.3,-999999999,9.9,06,09620,0609620,2015
33,112051,92530,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,21434,75419,78597,61,60.6,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,68.8,58.8,77.9,7.1,7.3,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,5.5,7.6,5.6,06,09640,0609640,2015
34,212270,140219,12843,-999999999,30346,-999999999,19406,-999999999,80263,83421,168976,61.2,62.2,59.4,-999999999,54.3,-999999999,65.5,-999999999,64.8,60.6,72.6,7.3,5.7,15.2,-999999999,10.1,-999999999,8.8,-999999999,5.9,6.5,6.1,06,09850,0609850,2015
35,61965,28566,-999999999,-999999999,10644,-999999999,18475,-999999999,35626,13005,46541,61.1,57.5,-999999999,-999999999,57.8,-999999999,71.9,-999999999,67.4,50.1,76,6.2,5.4,-999999999,-999999999,5.8,-999999999,6.6,-999999999,6.3,5.6,5.5,06,10050,0610050,2015
36,67810,42508,-999999999,-999999999,16803,-999999999,-999999999,-999999999,-999999999,37700,49649,52.6,57.5,-999999999,-999999999,41.6,-999999999,-999999999,-999999999,-999999999,57.2,64.7,5.2,4.2,-999999999,-999999999,6.5,-999999999,-999999999,-999999999,-999999999,4.1,4.9,06,10620,0610620,2015
37,156969,113500,-999999999,-999999999,-999999999,-999999999,30900,-999999999,63187,82682,96812,52,46.9,-999999999,-999999999,-999999999,-999999999,65.7,-999999999,64.7,40.8,74.3,7.4,6.1,-999999999,-999999999,-999999999,-999999999,11.2,-999999999,8.6,6.1,6.6,06,11110,0611110,2015
