,Geography,Estimate!!Total!!Population 16 years and over,Estimate!!Employment/Population Ratio!!Population 16 years and over,Estimate!!Unemployment rate!!Population 16 years and over,Estimate!!Total!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone,Estimate!!Employment/Population Ratio!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone,Estimate!!Unemployment rate!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone,Estimate!!Total!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone,Estimate!!Employment/Population Ratio!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone,Estimate!!Unemployment rate!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone,Estimate!!Total!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone,Estimate!!Employment/Population Ratio!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone,Estimate!!Unemployment rate!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone,Estimate!!Total!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Asian alone,Estimate!!Employment/Population Ratio!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Asian alone,Estimate!!Unemployment rate!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Asian alone,Estimate!!Total!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,Estimate!!Employment/Population Ratio!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,Estimate!!Unemployment rate!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,Estimate!!Total!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Some other race alone,Estimate!!Employment/Population Ratio!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Some other race alone,Estimate!!Unemployment rate!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Some other race alone,Estimate!!Total!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races,Estimate!!Employment/Population Ratio!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races,Estimate!!Unemployment rate!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races,Estimate!!Total!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Hispanic or Latino origin (of any race),Estimate!!Employment/Population Ratio!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Hispanic or Latino origin (of any race),Estimate!!Unemployment rate!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Hispanic or Latino origin (of any race),"Estimate!!Total!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone, not Hispanic or Latino","Estimate!!Employment/Population Ratio!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone, not Hispanic or Latino","Estimate!!Unemployment rate!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone, not Hispanic or Latino",Estimate!!Total!!Population 20 to 64 years,Estimate!!Employment/Population Ratio!!Population 20 to 64 years,Estimate!!Unemployment rate!!Population 20 to 64 years,NAME,STATE,SCHOOL DISTRICT (ELEMENTARY),District,NCESDist,year
31,9500000US0634920,113011,66.3,4.6,59765,63.6,5.3,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,36364,70.3,3.3,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,16847,68.9,6.2,50629,63.2,4.4,85139,81.4,4.5,"San Mateo-Foster City Elementary School District, California",06,34920,San Mateo-Foster City Elementary School District,0634920,2018
32,9500000US0602610,164380,66.4,4.1,107815,66.0,4.8,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,24392,61.0,3.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,102422,69.3,4.6,32059,61.1,3.7,131348,77.6,3.7,"Anaheim Elementary School District, California",06,02610,Anaheim Elementary School District,0602610,2018
33,9500000US0624600,69163,49.3,13.2,46029,50.1,11.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,33619,51.7,14.4,23040,47.9,8.9,48913,62.0,10.9,"Merced City Elementary School District, California",06,24600,Merced City Elementary School District,0624600,2018
34,9500000US0632130,86791,69.1,3.6,58066,67.3,4.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,36921,69.4,4.7,38579,67.0,3.1,67143,79.6,3.5,"Redwood City Elementary School District, California",06,32130,Redwood City Elementary School District,0632130,2018
35,9500000US0625130,91217,54.1,10.6,71405,54.1,9.8,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,45790,55.7,11.8,34121,52.2,8.8,72230,64.2,10.6,"Modesto City Elementary School District, California",06,25130,Modesto City Elementary School District,0625130,2018
36,9500000US0638670,55046,54.8,5.7,43526,53.8,6.2,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,31088,50.4,6.0,39417,69.7,5.4,"Sylvan Union Elementary School District, California",06,38670,Sylvan Union Elementary School District,0638670,2018
37,9500000US0642120,59420,52.5,3.6,40935,55.2,4.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,29839,55.6,4.5,45222,64.2,3.5,"Westside Union Elementary School District, California",06,42120,Westside Union Elementary School District,0642120,2018
38,9500000US0606390,102582,59.0,6.6,70544,60.0,7.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,8702,56.4,12.5,-999999999,-999999999.0,-999999999.0,44282,63.5,7.7,36265,55.1,7.0,78493,71.4,6.0,"Panama-Buena Vista School District, California",06,06390,Panama-Buena Vista School District,0606390,2018
39,9500000US0629220,95863,61.7,4.7,73926,59.7,5.3,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,9490,71.7,3.8,-999999999,-999999999.0,-999999999.0,64421,63.9,4.7,21474,54.4,5.6,73861,74.4,4.1,"Oxnard Elementary School District, California",06,29220,Oxnard Elementary School District,0629220,2018
40,9500000US0633600,79674,60.8,4.4,64605,59.1,4.7,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,10723,59.2,3.8,56688,59.2,4.6,58505,76.8,3.7,"Roseville City Elementary School District, California",06,33600,Roseville City Elementary School District,0633600,2018
41,9500000US0610290,109484,60.7,2.6,32291,57.8,2.6,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,72494,62.0,2.6,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,29229,55.8,3.0,82652,75.5,2.5,"Cupertino Union Elementary School District, California",06,10290,Cupertino Union Elementary School District,0610290,2018
42,9500000US0637380,63817,51.5,9.6,47781,48.3,11.1,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,42358,53.3,10.8,12761,41.2,8.9,49014,63.1,8.4,"South Bay Union School District, California",06,37380,South Bay Union School District,0637380,2018
43,9500000US0612750,58937,59.7,4.3,50796,58.5,3.7,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,49371,57.9,3.9,40434,78.3,4.4,"Encinitas Union Elementary School District, California",06,12750,Encinitas Union Elementary School District,0612750,2018
44,9500000US0612880,137294,60.0,3.8,105990,60.8,2.8,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,61862,67.2,4.1,56063,54.3,3.1,103118,72.8,3.4,"Escondido Union Elementary School District, California",06,12880,Escondido Union Elementary School District,0612880,2018
45,9500000US0628140,79657,65.9,3.8,51852,64.1,3.3,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,13227,58.6,5.2,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,19413,75.0,5.8,43321,63.2,2.1,60041,80.4,4.0,"Ocean View Elementary School District (Orange County), California",06,28140,Ocean View Elementary School District (Orange County),0628140,2018
46,9500000US0608610,244339,60.3,8.6,165088,60.1,10.2,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,40541,60.6,3.2,-999999999,-999999999.0,-999999999.0,17568,64.7,6.6,-999999999,-999999999.0,-999999999.0,145458,62.3,10.7,45179,54.3,5.9,190808,72.7,8.0,"Chula Vista Elementary School District, California",06,08610,Chula Vista Elementary School District,0608610,2018
47,9500000US0630990,67250,60.6,4.7,54547,60.8,4.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,17333,69.5,7.2,41364,56.9,3.4,45077,78.0,4.9,"Pleasant Valley Elementary School District, California",06,30990,Pleasant Valley Elementary School District,0630990,2018
48,9500000US0612090,66604,55.9,7.0,27089,52.1,8.4,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,23944,52.2,6.1,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,36600,61.0,7.8,-999999999,-999999999.0,-999999999.0,49651,70.2,6.8,"El Monte City School District, California",06,12090,El Monte City School District,0612090,2018
49,9500000US0638460,75440,75.2,3.3,31009,71.2,3.7,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,35248,77.1,2.2,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,21159,70.5,3.6,64869,84.5,3.1,"Sunnyvale Elementary School District, California",06,38460,Sunnyvale Elementary School District,0638460,2018
50,9500000US0616680,59129,71.5,3.0,25433,70.5,1.5,15901,74.0,5.1,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,31906,73.3,1.8,-999999999,-999999999.0,-999999999.0,49167,82.6,2.9,"Hawthorne Elementary School District, California",06,16680,Hawthorne Elementary School District,0616680,2018
51,9500000US0612960,77827,64.0,4.3,38823,63.6,4.4,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,31002,58.3,4.4,23240,68.6,4.2,61950,75.4,4.4,"Etiwanda Elementary School District, California",06,12960,Etiwanda Elementary School District,0612960,2018
52,9500000US0613140,81658,58.7,4.9,19339,51.6,6.1,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,47996,60.8,4.1,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,16792,62.1,6.3,12427,49.0,5.2,58146,75.0,4.8,"Evergreen Elementary School District, California",06,13140,Evergreen Elementary School District,0613140,2018
53,9500000US0635810,-999999999,-999999999.0,-999999999.0,38488,63.8,5.5,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,32458,63.1,2.5,-999999999,-999999999.0,-999999999.0,"Santa Rosa Elementary School District, California",06,35810,Santa Rosa Elementary School District,0635810,2018
54,9500000US0603630,140021,55.0,10.4,100704,54.7,10.5,11451,44.7,21.8,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,18447,61.4,6.8,-999999999,-999999999.0,-999999999.0,83813,59.1,9.3,38606,48.8,10.6,110388,63.9,10.5,"Bakersfield City School District, California",06,03630,Bakersfield City School District,0603630,2018
55,9500000US0627810,88969,67.9,3.7,45165,67.1,4.2,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,28244,70.7,1.7,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,27997,69.9,5.4,25061,64.8,4.1,71962,79.4,3.9,"Oak Grove Elementary School District, California",06,27810,Oak Grove Elementary School District,0627810,2018
