,District,year,ENR_TOTAL,Percent Change,NCESDist
28330,Temecula Valley Unified,2015,29968,,0600028
57478,Temecula Valley Unified,2016,29890,-0.26027762947143623,0600028
111259,Temecula Valley Unified,2017,29958,0.22750083640013385,0600028
162853,Temecula Valley Unified,2018,29589,-1.2317244141798518,0600028
181352,Temecula Valley Unified,2019,29578,-0.03717597755922809,0600028
34120,Murrieta Valley Unified,2015,22806,,0600029
66533,Murrieta Valley Unified,2016,22967,0.7059545733578882,0600029
110094,Murrieta Valley Unified,2017,23110,0.6226324726781904,0600029
159062,Murrieta Valley Unified,2018,23234,0.5365642578970143,0600029
224508,Murrieta Valley Unified,2019,23386,0.6542136524059567,0600029
43693,Big Sur Unified,2015,92,,0600031
65728,Big Sur Unified,2016,109,18.478260869565215,0600031
107579,Big Sur Unified,2017,114,4.587155963302752,0600031
156649,Big Sur Unified,2018,116,1.7543859649122806,0600031
219454,Big Sur Unified,2019,82,-29.310344827586203,0600031
39615,Redondo Beach Unified,2015,9492,,0600032
87855,Redondo Beach Unified,2016,9748,2.69700800674252,0600032
99804,Redondo Beach Unified,2017,9890,1.4567090685268773,0600032
138372,Redondo Beach Unified,2018,9998,1.0920121334681496,0600032
209365,Redondo Beach Unified,2019,10071,0.7301460292058412,0600032
11862,Dos Palos Oro Loma Joint Unified,2015,2293,,0600033
79306,Dos Palos Oro Loma Joint Unified,2016,2325,1.395551679023114,0600033
112863,Dos Palos Oro Loma Joint Unified,2017,2402,3.3118279569892475,0600033
155150,Dos Palos Oro Loma Joint Unified,2018,2425,0.9575353871773521,0600033
201305,Dos Palos Oro Loma Joint Unified,2019,2346,-3.257731958762886,0600033
34789,Natomas Unified,2015,14287,,0600036
65990,Natomas Unified,2016,14620,2.3307902288794007,0600036
111078,Natomas Unified,2017,14880,1.7783857729138166,0600036
159618,Natomas Unified,2018,15271,2.6276881720430105,0600036
224183,Natomas Unified,2019,15569,1.9514111715015388,0600036
18392,Ferndale Unified,2015,525,,0600037
87365,Ferndale Unified,2016,513,-2.2857142857142856,0600037
112100,Ferndale Unified,2017,499,-2.729044834307992,0600037
140724,Ferndale Unified,2018,475,-4.809619238476954,0600037
208087,Ferndale Unified,2019,455,-4.2105263157894735,0600037
3310,Mattole Unified,2015,721,,0600038
54906,Mattole Unified,2016,737,2.219140083217753,0600038
98172,Mattole Unified,2017,779,5.698778833107191,0600038
171423,Mattole Unified,2018,50,-93.58151476251605,0600038
220882,Mattole Unified,2019,51,2.0,0600038
12114,Delhi Unified,2015,2667,,0600039
88042,Delhi Unified,2016,2641,-0.974878140232471,0600039
111837,Delhi Unified,2017,2561,-3.029155622870125,0600039
153525,Delhi Unified,2018,2579,0.7028504490433425,0600039
200390,Delhi Unified,2019,2580,0.038774718883288095,0600039
36877,Riverdale Joint Unified,2015,1609,,0600040
72572,Riverdale Joint Unified,2016,1630,1.305158483530143,0600040
109746,Riverdale Joint Unified,2017,1621,-0.5521472392638037,0600040
151509,Riverdale Joint Unified,2018,1563,-3.5780382479950648,0600040
209725,Riverdale Joint Unified,2019,1559,-0.2559181062060141,0600040
27163,Warner Unified,2015,1145,,0600042
51610,Warner Unified,2016,1733,51.35371179039301,0600042
114770,Warner Unified,2017,1737,0.2308136180034622,0600042
174109,Warner Unified,2018,1424,-18.0195739781232,0600042
181161,Warner Unified,2019,2195,54.14325842696629,0600042
