,Total!!Estimate!!Population 16 years and over,Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone,Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone,Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone,Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Asian alone,Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Some other race alone,Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races,Total!!Estimate!!Hispanic or Latino origin (of any race),"Total!!Estimate!!White alone, not Hispanic or Latino",Total!!Estimate!!Population 20 to 64 years,Employment/Population Ratio!!Estimate!!Population 16 years and over,Employment/Population Ratio!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone,Employment/Population Ratio!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone,Employment/Population Ratio!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone,Employment/Population Ratio!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Asian alone,Employment/Population Ratio!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,Employment/Population Ratio!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Some other race alone,Employment/Population Ratio!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races,Employment/Population Ratio!!Estimate!!Hispanic or Latino origin (of any race),"Employment/Population Ratio!!Estimate!!White alone, not Hispanic or Latino",Employment/Population Ratio!!Estimate!!Population 20 to 64 years,Unemployment rate!!Estimate!!Population 16 years and over,Unemployment rate!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone,Unemployment rate!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone,Unemployment rate!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone,Unemployment rate!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Asian alone,Unemployment rate!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,Unemployment rate!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Some other race alone,Unemployment rate!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races,Unemployment rate!!Estimate!!Hispanic or Latino origin (of any race),"Unemployment rate!!Estimate!!White alone, not Hispanic or Latino",Unemployment rate!!Estimate!!Population 20 to 64 years,STATE,SCHOOL DISTRICT (ELEMENTARY),NCESDist,year
11,56885,32608,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,32604,18629,44785,58.8,57.2,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,62.0,54.3,70.0,6.6,8.1,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,5.9,6.4,6.1,06,11850,0611850,2016
12,70873,20354,-999999999,-999999999,31566,-999999999,-999999999,-999999999,32271,-999999999,52959,54.5,55.8,-999999999.0,-999999999.0,54.3,-999999999.0,-999999999.0,-999999999.0,56.7,-999999999.0,68.7,5.4,8.0,-999999999.0,-999999999.0,3.8,-999999999.0,-999999999.0,-999999999.0,6.9,-999999999.0,5.3,06,12090,0612090,2016
13,59827,56135,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,51066,43325,64.0,63.9,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,63.9,77.3,3.0,3.2,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,3.1,2.8,06,12750,0612750,2016
14,132981,99520,-999999999,-999999999,11606,-999999999,-999999999,-999999999,59205,54719,104710,63.9,62.4,-999999999.0,-999999999.0,69.8,-999999999.0,-999999999.0,-999999999.0,68.0,59.1,74.7,6.0,5.9,-999999999.0,-999999999.0,2.9,-999999999.0,-999999999.0,-999999999.0,4.9,6.7,5.8,06,12880,0612880,2016
15,75447,40997,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,25042,24925,61290,61.3,62.7,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,54.2,68.9,70.0,4.9,4.1,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,10.8,2.1,4.7,06,12960,0612960,2016
16,80886,23019,-999999999,-999999999,46304,-999999999,-999999999,-999999999,16986,14257,58157,60.9,55.7,-999999999.0,-999999999.0,61.0,-999999999.0,-999999999.0,-999999999.0,65.5,52.9,77.2,5.0,4.8,-999999999.0,-999999999.0,6.1,-999999999.0,-999999999.0,-999999999.0,4.4,4.0,4.5,06,13140,0613140,2016
17,55142,43375,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,33356,39488,40.5,41.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,37.8,49.1,2.1,1.8,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,2.2,2.2,06,13500,0613500,2016
18,76071,18422,-999999999,-999999999,35731,-999999999,-999999999,-999999999,30305,7396,60335,61.9,60.3,-999999999.0,-999999999.0,60.8,-999999999.0,-999999999.0,-999999999.0,64.3,58.0,72.2,7.1,9.3,-999999999.0,-999999999.0,6.8,-999999999.0,-999999999.0,-999999999.0,6.1,11.3,7.1,06,14370,0614370,2016
19,97765,53378,-999999999,-999999999,26436,-999999999,-999999999,-999999999,29196,36082,74442,60.9,60.4,-999999999.0,-999999999.0,63.0,-999999999.0,-999999999.0,-999999999.0,66.8,56.1,73.4,6.7,5.8,-999999999.0,-999999999.0,3.5,-999999999.0,-999999999.0,-999999999.0,4.5,7.3,6.3,06,14730,0614730,2016
20,68733,48463,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,17214,40371,47060,57.1,59.4,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,62.7,57.4,72.0,9.5,8.8,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,7.6,10.0,6.0,06,15510,0615510,2016
