,Total!!Estimate!!Population 16 years and over,Total!!Estimate!!Population 20 to 64 years,Employment/Population Ratio!!Estimate!!Population 16 years and over,Employment/Population Ratio!!Estimate!!Population 20 to 64 years,Unemployment rate!!Estimate!!Population 16 years and over,Unemployment rate!!Estimate!!Population 20 to 64 years,NCESDist,year,School District Type
40,106568,83686,58.5,69.4,9.8,9.7,0613360,2015,Unified
41,100101,80184,60.3,70,7.9,7.3,0613890,2015,Unified
42,139892,115150,58.2,67.2,10.9,10.5,0613920,2015,Unified
43,186798,149118,62.4,74.4,3.8,3.7,0614400,2015,Unified
44,295616,227125,52,62.3,11.8,11.3,0614550,2015,Unified
45,229103,174641,59,72.2,5.9,5.8,0614880,2015,Unified
46,187147,144333,57.6,69.9,8,7.8,0615240,2015,Unified
47,98681,73194,55.7,69.8,7.2,6.9,0616325,2015,Unified
48,142549,114919,62.7,74.1,5.2,5,0616740,2015,Unified
49,104700,71046,41.2,55.5,16.1,15,0616920,2015,Unified
50,91019,69215,57.9,70.9,12,11.5,0618390,2015,Unified
51,77747,59608,54.3,66.3,12.7,11.1,0619260,2015,Unified
52,52022,37302,58.7,71.2,5.1,5.1,0621000,2015,Unified
53,73297,58733,69,80.8,2.1,2.1,0622110,2015,Unified
54,130111,95711,55.8,69.8,8.6,7.1,0622230,2015,Unified
55,415182,327984,59.7,71.3,5.9,5.6,0622500,2015,Unified
56,3812660,3020582,60.6,71.8,7.4,7,0622710,2015,Unified
57,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,0623080,2015,Unified
58,51561,41838,59.2,69,9.3,8.1,0623160,2015,Unified
59,63141,48482,61.3,72.7,5.6,5.4,0623340,2015,Unified
60,97902,76769,51.6,62.6,12.4,11.7,0623610,2015,Unified
61,62154,49162,59.5,70.6,5.1,5.3,0624500,2015,Unified
62,134547,104354,56.6,69.6,8.3,7.6,0625470,2015,Unified
63,73556,54411,54.4,67.1,5.4,4.9,0625530,2015,Unified
64,132958,105380,57.1,68,10.1,8.7,0625800,2015,Unified
65,51775,38892,60.1,73.7,4.7,3.9,0625830,2015,Unified
66,54244,40565,37.4,46,11.1,10.7,0625860,2015,Unified
67,218842,169485,62.2,74.6,6.8,6.4,0626370,2015,Unified
68,96454,71294,62.2,76.6,4.7,4.5,0626640,2015,Unified
69,66681,50857,59.5,72.8,4.5,4.5,0626910,2015,Unified
70,168049,127204,63.9,77.2,5,4.9,0627240,2015,Unified
71,101074,75781,55.9,69.4,6.4,5.5,0627690,2015,Unified
72,342395,275859,63.5,74,7,6.5,0628050,2015,Unified
73,110376,85641,58,69,7.2,7.2,0628250,2015,Unified
74,178990,137376,61.4,73.1,6.6,6.1,0628650,2015,Unified
75,88015,67267,57.1,68,7,6.8,0629490,2015,Unified
76,140854,94372,47.1,62.3,9.2,8.4,0629550,2015,Unified
77,70824,49475,56.4,73.3,3.1,2.5,0629610,2015,Unified
78,60044,47621,61.4,73.3,5.6,4.6,0629850,2015,Unified
79,176499,133429,63.2,76.6,6.3,5.9,0629940,2015,Unified
80,136253,104677,64.5,78.1,5,4.8,0630660,2015,Unified
81,133502,102256,55.2,67.2,10.1,8.8,0631320,2015,Unified
82,149201,111825,61.8,77,4.4,3.9,0631530,2015,Unified
83,100468,74977,55.2,68.3,6.7,6.5,0632070,2015,Unified
84,94560,73722,55.9,66.6,10.3,9.9,0632370,2015,Unified
85,207525,158424,61,74,6.3,5.8,0632550,2015,Unified
86,204819,160505,58,70.4,7.8,7,0633150,2015,Unified
87,94816,71157,57.5,70.6,6.8,6.4,0633750,2015,Unified
88,262547,198406,55.6,69.3,8.3,7.5,0633840,2015,Unified
89,178359,129800,63.3,78.6,4.1,3.9,0633860,2015,Unified
90,203973,162972,52.1,61.3,11.4,9.8,0634170,2015,Unified
91,897205,719053,60.9,70.9,6.8,6.3,0634320,2015,Unified
92,760939,608133,66.5,78.5,5.1,4.9,0634410,2015,Unified
93,220652,174675,64.9,76.5,5.4,5,0634590,2015,Unified
94,272754,195378,54.5,69.1,9.7,9,0634620,2015,Unified
95,57490,43090,64.2,78.1,6.1,5.7,0634680,2015,Unified
96,69197,54170,62.5,75,6,5.8,0634710,2015,Unified
97,85272,57878,50.9,63.5,5.6,5.2,0634800,2015,Unified
98,97577,75164,64.2,76.8,3.3,2.8,0634880,2015,Unified
99,111402,82611,61.2,75.6,3.7,3.8,0635130,2015,Unified
100,199088,164665,62,71.6,5.8,5.6,0635310,2015,Unified
101,136269,110953,66.9,78.6,4.1,3.8,0635430,2015,Unified
102,96285,73144,64.1,76.6,6.5,5.8,0635700,2015,Unified
103,104267,81106,64.8,76.2,5.4,4.9,0636840,2015,Unified
104,68667,51951,64.9,80.4,4.6,4,0637530,2015,Unified
105,155924,120345,47.9,57.5,14.7,14,0638010,2015,Unified
106,122352,90060,60,75.5,5.3,4.4,0639420,2015,Unified
107,105199,84306,66.4,76.8,4.4,4,0640150,2015,Unified
108,64864,48138,58.6,72.1,7.2,6.4,0640590,2015,Unified
109,102119,77495,53.7,64.9,10.3,9.7,0640740,2015,Unified
110,100946,76518,57.8,70.9,6.8,6.5,0640980,2015,Unified
111,109781,85042,51.9,62.6,6.2,6.2,0641160,2015,Unified
112,117691,87665,61.3,75.2,6.7,6.2,0641190,2015,Unified
113,50191,38568,58.9,70.8,8.7,8.3,0643080,2015,Unified
114,56119,41474,48.3,60.2,13.5,13.4,0643470,2015,Unified
115,188288,146481,56.7,67.2,5.1,4.9,0684500,2015,Unified
116,68697,53982,55.6,65.5,10.7,10.2,0691135,2015,Unified
