,District,Year,Total Enrollment,Percent Change,NCESDist,School District Type,"Population, 16+","Employment Ratio, 16+","Unemployment Rate, 16+","Population, 20-64","Employment Ratio, 20-64","Unemployment Rate, 20-64"
172,Campbell Union High,2015,7649,,607230,Secondary,181836.0,66.1,4.5,143439.0,78.1,4.4
173,Campbell Union High,2016,7810,2.104850307229704,607230,Secondary,180987.0,65.6,3.1,144432.0,77.8,3.1
174,Campbell Union High,2017,8022,2.714468629961588,607230,Secondary,184603.0,67.7,3.2,145847.0,79.5,3.1
175,Campbell Union High,2018,8239,2.7050610820244327,607230,Secondary,183048.0,67.8,2.7,143076.0,80.4,2.8
176,Campbell Union High,2019,8378,1.6870979487801918,607230,Secondary,182855.0,66.5,3.0,144318.0,78.8,3.1
177,Capistrano Unified,2015,53824,,607440,Unified,294657.0,62.9,4.4,218508.0,75.8,4.3
178,Capistrano Unified,2016,53549,-0.5109244946492272,607440,Unified,283529.0,64.1,4.4,212178.0,77.1,4.0
179,Capistrano Unified,2017,53549,0.0,607440,Unified,291376.0,62.9,4.1,213455.0,77.6,4.0
180,Capistrano Unified,2018,53199,-0.6536069767876151,607440,Unified,292100.0,62.6,3.4,210036.0,77.6,3.0
181,Capistrano Unified,2019,52717,-0.90603206827196,607440,Unified,290024.0,61.7,4.3,208516.0,76.4,4.0
182,Carlsbad Unified,2015,11059,,607500,Unified,62401.0,59.2,5.7,44351.0,74.6,5.5
183,Carlsbad Unified,2016,11153,0.8499864363866534,607500,Unified,59274.0,61.9,5.1,44452.0,76.1,4.6
184,Carlsbad Unified,2017,11296,1.282166233300457,607500,Unified,63300.0,58.2,4.3,44438.0,75.6,3.1
185,Carlsbad Unified,2018,11395,0.8764164305949009,607500,Unified,,,,,,
186,Carlsbad Unified,2019,11449,0.4738920579201404,607500,Unified,64520.0,58.7,7.9,45672.0,76.8,7.4
187,Centinela Valley Union High,2015,7645,,607920,Secondary,128810.0,62.5,6.6,104873.0,72.7,6.0
188,Centinela Valley Union High,2016,7543,-1.3342053629823414,607920,Secondary,119432.0,65.0,5.6,97565.0,75.7,5.7
189,Centinela Valley Union High,2017,7472,-0.9412700517035664,607920,Secondary,118543.0,65.3,5.6,97457.0,75.4,5.1
190,Centinela Valley Union High,2018,7441,-0.4148822269807281,607920,Secondary,118235.0,69.9,4.4,98628.0,79.7,4.1
191,Centinela Valley Union High,2019,7553,1.505174035747883,607920,Secondary,114726.0,68.0,3.9,93421.0,78.5,3.3
192,Central Unified,2015,15713,,607970,Unified,57253.0,57.6,9.8,46212.0,68.3,9.1
193,Central Unified,2016,15764,0.3245720104372176,607970,Unified,61319.0,60.2,9.3,49564.0,70.4,9.1
194,Central Unified,2017,15887,0.7802588175589952,607970,Unified,54456.0,60.4,9.8,41489.0,73.1,7.8
195,Central Unified,2018,15873,-0.0881223641971423,607970,Unified,65222.0,60.1,9.8,50116.0,72.0,9.7
196,Central Unified,2019,15837,-0.2268002268002267,607970,Unified,66152.0,59.3,9.2,50531.0,72.8,6.4
197,Chaffey Joint Union High,2015,24286,,608160,Secondary,312044.0,62.4,7.0,251964.0,73.2,6.5
198,Chaffey Joint Union High,2016,23803,-1.988800131763156,608160,Secondary,325335.0,60.4,8.0,260795.0,70.3,7.3
199,Chaffey Joint Union High,2017,23871,0.2856782758475822,608160,Secondary,330347.0,62.6,5.9,262183.0,73.7,5.2
200,Chaffey Joint Union High,2018,23783,-0.3686481504754723,608160,Secondary,342018.0,63.3,5.0,269580.0,74.8,4.6
201,Chaffey Joint Union High,2019,23635,-0.622293234663415,608160,Secondary,338709.0,64.3,4.2,266457.0,75.7,4.0
202,Chico Unified,2015,13844,,608370,Unified,94506.0,56.6,10.2,70609.0,69.5,9.6
203,Chico Unified,2016,13968,0.8956948858711354,608370,Unified,92286.0,57.5,8.6,69494.0,70.9,7.8
204,Chico Unified,2017,14226,1.8470790378006876,608370,Unified,95641.0,59.8,6.1,69700.0,73.3,5.8
205,Chico Unified,2018,14356,0.9138197666244904,608370,Unified,95973.0,62.0,6.7,68646.0,77.0,5.7
206,Chico Unified,2019,14439,0.5781554750626915,608370,Unified,104602.0,59.3,6.4,74184.0,73.2,5.8
207,Chino Valley Unified,2015,29255,,608460,Unified,154311.0,54.9,7.5,125563.0,63.6,7.1
208,Chino Valley Unified,2016,28836,-1.4322338061869766,608460,Unified,155255.0,53.5,6.1,121643.0,63.8,5.4
209,Chino Valley Unified,2017,28141,-2.410181717297822,608460,Unified,155436.0,53.1,4.9,122762.0,62.7,4.6
210,Chino Valley Unified,2018,28063,-0.2771756511851035,608460,Unified,156659.0,59.5,4.1,126588.0,70.2,3.8
211,Chino Valley Unified,2019,28123,0.2138046538146313,608460,Unified,166654.0,61.2,2.4,131368.0,71.9,2.3
212,Chula Vista Elementary,2015,30215,,608610,Elementary,233241.0,57.8,7.4,181265.0,70.7,7.0
213,Chula Vista Elementary,2016,30044,-0.5659440675161344,608610,Elementary,241767.0,57.2,9.6,185621.0,69.9,8.5
214,Chula Vista Elementary,2017,30112,0.2263347090933298,608610,Elementary,245086.0,56.1,9.9,186727.0,70.3,7.9
215,Chula Vista Elementary,2018,30130,0.0597768331562168,608610,Elementary,244339.0,60.3,8.6,190808.0,72.7,8.0
216,Chula Vista Elementary,2019,30057,-0.242283438433455,608610,Elementary,253212.0,58.2,10.2,194207.0,70.4,9.1
217,Clovis Unified,2015,41869,,609030,Unified,160516.0,60.9,6.1,120630.0,74.5,5.4
218,Clovis Unified,2016,42727,2.0492488475960737,609030,Unified,159107.0,61.7,6.0,119885.0,74.5,6.0
219,Clovis Unified,2017,43085,0.8378776885809909,609030,Unified,164423.0,58.7,4.5,121113.0,73.1,3.5
220,Clovis Unified,2018,43214,0.2994081466867819,609030,Unified,168706.0,61.1,5.1,126100.0,74.8,4.9
221,Clovis Unified,2019,43628,0.9580228629610774,609030,Unified,169620.0,61.6,5.2,124425.0,76.1,5.1
222,Coachella Valley Unified,2015,18854,,609070,Unified,73890.0,53.6,13.2,57114.0,65.7,13.1
223,Coachella Valley Unified,2016,18719,-0.7160284289805876,609070,Unified,68438.0,55.5,10.8,52056.0,69.5,10.0
224,Coachella Valley Unified,2017,18372,-1.8537315027512156,609070,Unified,67426.0,52.9,16.7,52971.0,64.6,15.7
225,Coachella Valley Unified,2018,18013,-1.954060526888744,609070,Unified,66283.0,56.6,14.8,49802.0,71.9,14.4
226,Coachella Valley Unified,2019,17887,-0.6994948093043912,609070,Unified,,,,,,
227,Colton Joint Unified,2015,23219,,609390,Unified,84193.0,58.2,6.1,66111.0,70.3,5.6
228,Colton Joint Unified,2016,22710,-2.192170205435204,609390,Unified,91392.0,58.5,8.3,70531.0,70.7,8.0
229,Colton Joint Unified,2017,22497,-0.9379128137384412,609390,Unified,89037.0,57.7,5.5,71964.0,67.8,5.4
230,Colton Joint Unified,2018,21956,-2.404765079788416,609390,Unified,87167.0,58.3,7.4,65149.0,72.7,6.5
231,Colton Joint Unified,2019,21409,-2.49134632902168,609390,Unified,91151.0,57.9,4.0,71931.0,69.7,2.8
232,Compton Unified,2015,21835,,609620,Unified,121773.0,54.8,10.8,95759.0,65.4,9.9
233,Compton Unified,2016,23452,7.405541561712845,609620,Unified,120722.0,53.9,10.1,92366.0,65.2,9.1
234,Compton Unified,2017,23665,0.9082381033600546,609620,Unified,114688.0,53.9,8.1,92881.0,63.2,7.6
