,Unnamed: 0,Total!!Estimate!!Population 16 years and over,Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone,Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone,Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone,Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Asian alone,Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Some other race alone,Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races,Total!!Estimate!!Hispanic or Latino origin (of any race),"Total!!Estimate!!White alone, not Hispanic or Latino",Total!!Estimate!!Population 20 to 64 years,Employment/Population Ratio!!Estimate!!Population 16 years and over,Employment/Population Ratio!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone,Employment/Population Ratio!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone,Employment/Population Ratio!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone,Employment/Population Ratio!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Asian alone,Employment/Population Ratio!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,Employment/Population Ratio!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Some other race alone,Employment/Population Ratio!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races,Employment/Population Ratio!!Estimate!!Hispanic or Latino origin (of any race),"Employment/Population Ratio!!Estimate!!White alone, not Hispanic or Latino",Employment/Population Ratio!!Estimate!!Population 20 to 64 years,Unemployment rate!!Estimate!!Population 16 years and over,Unemployment rate!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone,Unemployment rate!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone,Unemployment rate!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone,Unemployment rate!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Asian alone,Unemployment rate!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,Unemployment rate!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Some other race alone,Unemployment rate!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races,Unemployment rate!!Estimate!!Hispanic or Latino origin (of any race),"Unemployment rate!!Estimate!!White alone, not Hispanic or Latino",Unemployment rate!!Estimate!!Population 20 to 64 years,STATE,SCHOOL DISTRICT (UNIFIED),NCESDist,year,SCHOOL DISTRICT (ELEMENTARY),SCHOOL DISTRICT (SECONDARY)
10,11,103718,19838,-999999999,-999999999,61236,-999999999,-999999999,-999999999,31412,-999999999,78914,56.8,57.9,-999999999.0,-999999999.0,55.2,-999999999,-999999999.0,-999999999.0,58.2,-999999999.0,71.6,5.0,3.4,-999999999.0,-999999999.0,4.2,-999999999,-999999999.0,-999999999.0,7.7,-999999999.0,5.1,6,153.0,600153,2015,,
11,12,56695,44460,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,17498,32880,41132,55.2,55.1,-999999999.0,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,57.1,53.9,69.8,7.7,8.7,-999999999.0,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,10.2,7.3,7.6,6,158.0,600158,2015,,
12,13,138686,86255,16254,-999999999,12585,-999999999,12734,-999999999,43032,59137,108480,51.9,50.9,46.9,-999999999.0,53.2,-999999999,64.7,-999999999.0,54.8,51.4,62.0,9.2,8.3,13.0,-999999999.0,8.0,-999999999,11.4,-999999999.0,9.4,8.4,8.5,6,1332.0,601332,2015,,
13,14,73919,58587,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,22442,45933,54677,66.9,66.2,-999999999.0,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,72.7,64.1,82.0,4.2,3.9,-999999999.0,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,4.2,4.4,3.9,6,1414.0,601414,2015,,
14,15,83008,22796,5218,-999999999,36759,-999999999,15343,-999999999,25490,13520,61243,54.1,52.0,43.4,-999999999.0,57.6,-999999999,52.9,-999999999.0,53.6,48.6,68.4,7.4,7.5,11.1,-999999999.0,5.4,-999999999,10.7,-999999999.0,9.6,8.8,7.3,6,1620.0,601620,2015,,
15,16,64837,33189,-999999999,-999999999,20580,-999999999,-999999999,-999999999,-999999999,30189,51113,62.2,63.2,-999999999.0,-999999999.0,59.5,-999999999,-999999999.0,-999999999.0,-999999999.0,63.5,74.9,4.3,2.9,-999999999.0,-999999999.0,5.3,-999999999,-999999999.0,-999999999.0,-999999999.0,2.7,4.2,6,1770.0,601770,2015,,
16,17,85102,52466,-999999999,-999999999,9763,-999999999,14344,-999999999,45466,23069,68016,61.1,61.4,-999999999.0,-999999999.0,57.5,-999999999,62.4,-999999999.0,62.8,59.9,71.7,7.6,7.4,-999999999.0,-999999999.0,8.6,-999999999,9.5,-999999999.0,8.5,5.9,5.8,6,2430.0,602430,2015,,
17,18,87714,39891,15707,-999999999,-999999999,-999999999,14696,-999999999,24957,31486,69094,57.3,51.7,61.9,-999999999.0,-999999999.0,-999999999,74.2,-999999999.0,68.7,48.9,66.7,7.5,7.7,13.6,-999999999.0,-999999999.0,-999999999,7.0,-999999999.0,5.8,8.8,7.6,6,2850.0,602850,2015,,
18,19,57942,27294,-999999999,-999999999,-999999999,-999999999,20807,-999999999,37208,12459,46028,56.9,59.4,-999999999.0,-999999999.0,-999999999.0,-999999999,54.4,-999999999.0,58.5,54.2,66.7,9.2,8.9,-999999999.0,-999999999.0,-999999999.0,-999999999,10.9,-999999999.0,9.1,11.6,8.1,6,3600.0,603600,2015,,
19,20,59558,27409,-999999999,-999999999,12927,-999999999,16833,-999999999,41665,-999999999,45306,56.3,51.1,-999999999.0,-999999999.0,59.6,-999999999,63.0,-999999999.0,58.0,-999999999.0,68.1,4.6,5.8,-999999999.0,-999999999.0,6.2,-999999999,2.3,-999999999.0,3.7,-999999999.0,4.8,6,3690.0,603690,2015,,
20,21,65930,23012,8564,-999999999,9762,-999999999,22669,-999999999,31299,15255,49513,54.1,51.4,55.4,-999999999.0,55.2,-999999999,54.2,-999999999.0,56.3,45.2,68.2,5.6,4.6,6.9,-999999999.0,6.0,-999999999,6.4,-999999999.0,6.2,3.6,4.4,6,4440.0,604440,2015,,
21,22,107090,68175,7752,-999999999,21084,-999999999,-999999999,-999999999,12904,61192,77909,59.2,63.0,41.1,-999999999.0,50.2,-999999999,-999999999.0,-999999999.0,60.5,63.6,71.3,7.0,4.9,18.3,-999999999.0,8.8,-999999999,-999999999.0,-999999999.0,10.8,4.7,6.6,6,4740.0,604740,2015,,
22,23,84504,61802,-999999999,-999999999,10066,-999999999,-999999999,-999999999,16790,52382,64964,62.0,61.2,-999999999.0,-999999999.0,65.2,-999999999,-999999999.0,-999999999.0,65.3,60.2,74.5,6.4,6.5,-999999999.0,-999999999.0,5.6,-999999999,-999999999.0,-999999999.0,6.6,6.4,6.7,6,6450.0,606450,2015,,
23,24,294657,232710,-999999999,-999999999,27484,-999999999,-999999999,10187,53784,202119,218508,62.9,61.9,-999999999.0,-999999999.0,64.2,-999999999,-999999999.0,65.3,67.1,61.4,75.8,4.4,4.9,-999999999.0,-999999999.0,1.3,-999999999,-999999999.0,4.0,5.6,4.5,4.3,6,7440.0,607440,2015,,
24,25,62401,53318,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,46402,44351,59.2,60.3,-999999999.0,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999.0,59.5,74.6,5.7,4.4,-999999999.0,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999.0,4.7,5.5,6,7500.0,607500,2015,,
25,26,57253,34878,-999999999,-999999999,10202,-999999999,-999999999,-999999999,25801,17151,46212,57.6,57.4,-999999999.0,-999999999.0,57.5,-999999999,-999999999.0,-999999999.0,62.2,55.3,68.3,9.8,6.6,-999999999.0,-999999999.0,8.3,-999999999,-999999999.0,-999999999.0,12.2,3.9,9.1,6,7970.0,607970,2015,,
26,27,94506,80121,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,14785,70965,70609,56.6,55.9,-999999999.0,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,65.8,55.1,69.5,10.2,10.2,-999999999.0,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,14.8,8.9,9.6,6,8370.0,608370,2015,,
27,28,154311,75827,-999999999,-999999999,31771,-999999999,28827,-999999999,63840,44602,125563,54.9,57.1,-999999999.0,-999999999.0,61.6,-999999999,57.3,-999999999.0,60.6,51.4,63.6,7.5,8.5,-999999999.0,-999999999.0,4.6,-999999999,7.4,-999999999.0,7.3,9.2,7.1,6,8460.0,608460,2015,,
28,29,160516,115021,-999999999,-999999999,19726,-999999999,-999999999,5149,35176,95179,120630,60.9,60.7,-999999999.0,-999999999.0,58.9,-999999999,-999999999.0,54.4,65.6,59.8,74.5,6.1,5.4,-999999999.0,-999999999.0,4.8,-999999999,-999999999.0,16.2,8.1,5.1,5.4,6,9030.0,609030,2015,,
29,30,73890,31909,-999999999,-999999999,-999999999,-999999999,40835,-999999999,63600,9544,57114,53.6,47.3,-999999999.0,-999999999.0,-999999999.0,-999999999,58.8,-999999999.0,56.8,33.2,65.7,13.2,8.4,-999999999.0,-999999999.0,-999999999.0,-999999999,16.0,-999999999.0,13.7,7.5,13.1,6,9070.0,609070,2015,,
30,31,84193,51844,-999999999,-999999999,-999999999,-999999999,19053,-999999999,52277,20603,66111,58.2,54.0,-999999999.0,-999999999.0,-999999999.0,-999999999,64.2,-999999999.0,58.5,52.9,70.3,6.1,8.0,-999999999.0,-999999999.0,-999999999.0,-999999999,2.7,-999999999.0,6.5,5.9,5.6,6,9390.0,609390,2015,,
31,32,121773,57316,37460,-999999999,-999999999,-999999999,20727,-999999999,76840,-999999999,95759,54.8,58.7,45.7,-999999999.0,-999999999.0,-999999999,60.3,-999999999.0,59.5,-999999999.0,65.4,10.8,8.8,17.8,-999999999.0,-999999999.0,-999999999,6.3,-999999999.0,8.3,-999999999.0,9.9,6,9620.0,609620,2015,,
32,33,112051,92530,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,21434,75419,78597,61.0,60.6,-999999999.0,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,68.8,58.8,77.9,7.1,7.3,-999999999.0,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,5.5,7.6,5.6,6,9640.0,609640,2015,,
33,34,212270,140219,12843,-999999999,30346,-999999999,19406,-999999999,80263,83421,168976,61.2,62.2,59.4,-999999999.0,54.3,-999999999,65.5,-999999999.0,64.8,60.6,72.6,7.3,5.7,15.2,-999999999.0,10.1,-999999999,8.8,-999999999.0,5.9,6.5,6.1,6,9850.0,609850,2015,,
34,35,61965,28566,-999999999,-999999999,10644,-999999999,18475,-999999999,35626,13005,46541,61.1,57.5,-999999999.0,-999999999.0,57.8,-999999999,71.9,-999999999.0,67.4,50.1,76.0,6.2,5.4,-999999999.0,-999999999.0,5.8,-999999999,6.6,-999999999.0,6.3,5.6,5.5,6,10050.0,610050,2015,,
35,36,67810,42508,-999999999,-999999999,16803,-999999999,-999999999,-999999999,-999999999,37700,49649,52.6,57.5,-999999999.0,-999999999.0,41.6,-999999999,-999999999.0,-999999999.0,-999999999.0,57.2,64.7,5.2,4.2,-999999999.0,-999999999.0,6.5,-999999999,-999999999.0,-999999999.0,-999999999.0,4.1,4.9,6,10620.0,610620,2015,,
36,37,156969,113500,-999999999,-999999999,-999999999,-999999999,30900,-999999999,63187,82682,96812,52.0,46.9,-999999999.0,-999999999.0,-999999999.0,-999999999,65.7,-999999999.0,64.7,40.8,74.3,7.4,6.1,-999999999.0,-999999999.0,-999999999.0,-999999999,11.2,-999999999.0,8.6,6.1,6.6,6,11110.0,611110,2015,,
37,38,101456,65853,-999999999,-999999999,8592,-999999999,21390,-999999999,72791,15523,79868,60.3,59.7,-999999999.0,-999999999.0,64.9,-999999999,60.4,-999999999.0,62.7,46.1,72.6,5.3,4.3,-999999999.0,-999999999.0,3.0,-999999999,9.2,-999999999.0,5.7,5.7,4.7,6,11460.0,611460,2015,,
38,39,260823,118031,32189,-999999999,76677,-999999999,14005,13420,49881,88306,206221,58.0,59.4,49.8,-999999999.0,58.9,-999999999,60.4,55.8,60.0,58.7,69.7,8.5,7.0,18.7,-999999999.0,5.6,-999999999,10.3,13.3,10.7,5.6,7.9,6,12330.0,612330,2015,,
39,40,106568,55466,15401,-999999999,18387,-999999999,-999999999,-999999999,26298,40434,83686,58.5,55.2,54.0,-999999999.0,65.7,-999999999,-999999999.0,-999999999.0,64.9,52.3,69.4,9.8,8.7,19.2,-999999999.0,6.9,-999999999,-999999999.0,-999999999.0,6.4,10.2,9.7,6,13360.0,613360,2015,,
40,41,100101,70238,-999999999,-999999999,14101,-999999999,-999999999,-999999999,12152,62960,80184,60.3,62.4,-999999999.0,-999999999.0,63.4,-999999999,-999999999.0,-999999999.0,59.3,62.1,70.0,7.9,7.0,-999999999.0,-999999999.0,5.6,-999999999,-999999999.0,-999999999.0,10.8,6.7,7.3,6,13890.0,613890,2015,,
41,42,139892,52695,9133,-999999999,5032,-999999999,69718,-999999999,111629,12736,115150,58.2,54.1,41.8,-999999999.0,55.3,-999999999,63.7,-999999999.0,60.5,50.8,67.2,10.9,11.3,23.0,-999999999.0,14.4,-999999999,9.5,-999999999.0,10.3,8.8,10.5,6,13920.0,613920,2015,,
42,43,186798,50662,-999999999,-999999999,104968,-999999999,-999999999,-999999999,22680,44962,149118,62.4,58.4,-999999999.0,-999999999.0,63.6,-999999999,-999999999.0,-999999999.0,64.0,59.3,74.4,3.8,5.3,-999999999.0,-999999999.0,2.9,-999999999,-999999999.0,-999999999.0,3.9,5.0,3.7,6,14400.0,614400,2015,,
43,44,295616,184092,23102,-999999999,33283,-999999999,41252,9257,145334,86654,227125,52.0,53.2,45.0,-999999999.0,49.4,-999999999,54.3,50.9,55.9,49.0,62.3,11.8,9.8,14.7,-999999999.0,14.2,-999999999,14.8,11.7,11.2,10.0,11.3,6,14550.0,614550,2015,,
44,45,229103,79927,-999999999,-999999999,99021,-999999999,42387,-999999999,76659,47414,174641,59.0,60.3,-999999999.0,-999999999.0,54.5,-999999999,68.1,-999999999.0,66.5,57.1,72.2,5.9,5.1,-999999999.0,-999999999.0,5.7,-999999999,6.3,-999999999.0,5.9,5.1,5.8,6,14880.0,614880,2015,,
45,46,187147,134716,-999999999,-999999999,34852,-999999999,-999999999,-999999999,28651,117277,144333,57.6,53.6,-999999999.0,-999999999.0,66.5,-999999999,-999999999.0,-999999999.0,66.0,52.6,69.9,8.0,8.5,-999999999.0,-999999999.0,6.4,-999999999,-999999999.0,-999999999.0,6.4,8.5,7.8,6,15240.0,615240,2015,,
46,47,98681,37388,-999999999,-999999999,25406,-999999999,31818,-999999999,64276,7553,73194,55.7,53.0,-999999999.0,-999999999.0,54.9,-999999999,60.2,-999999999.0,58.7,36.6,69.8,7.2,5.9,-999999999.0,-999999999.0,6.2,-999999999,9.2,-999999999.0,7.5,8.7,6.9,6,16325.0,616325,2015,,
47,48,142549,61932,18210,-999999999,37302,-999999999,14691,-999999999,50013,29648,114919,62.7,61.2,64.2,-999999999.0,66.1,-999999999,61.0,-999999999.0,64.7,55.3,74.1,5.2,2.9,7.4,-999999999.0,6.1,-999999999,7.7,-999999999.0,3.6,4.6,5.0,6,16740.0,616740,2015,,
48,49,104700,85761,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,33902,58941,71046,41.2,40.3,-999999999.0,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,48.9,36.5,55.5,16.1,16.5,-999999999.0,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,19.0,15.0,15.0,6,16920.0,616920,2015,,
49,50,91019,26486,39398,-999999999,-999999999,-999999999,21079,-999999999,42198,6375,69215,57.9,55.9,57.1,-999999999.0,-999999999.0,-999999999,62.1,-999999999.0,60.5,44.0,70.9,12.0,13.9,12.4,-999999999.0,-999999999.0,-999999999,8.3,-999999999.0,11.9,9.1,11.5,6,18390.0,618390,2015,,
50,51,77747,44027,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,48196,23384,59608,54.3,51.4,-999999999.0,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,58.9,46.1,66.3,12.7,15.5,-999999999.0,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,10.3,19.6,11.1,6,19260.0,619260,2015,,
51,52,52022,44432,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,40861,37302,58.7,57.6,-999999999.0,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999.0,58.1,71.2,5.1,5.0,-999999999.0,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999.0,4.3,5.1,6,21000.0,621000,2015,,
52,53,73297,57489,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,46247,58733,69.0,68.6,-999999999.0,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999.0,66.4,80.8,2.1,2.1,-999999999.0,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999.0,1.7,2.1,6,22110.0,622110,2015,,
53,54,130111,76292,6735,-999999999,25016,-999999999,-999999999,-999999999,36453,58032,95711,55.8,57.5,57.3,-999999999.0,51.6,-999999999,-999999999.0,-999999999.0,60.2,55.7,69.8,8.6,6.5,11.7,-999999999.0,7.1,-999999999,-999999999.0,-999999999.0,12.7,5.4,7.1,6,22230.0,622230,2015,,
54,55,415182,240793,46770,-999999999,56548,-999999999,45445,14487,158466,139766,327984,59.7,60.2,55.3,-999999999.0,58.5,-999999999,63.8,64.0,63.4,57.7,71.3,5.9,4.7,8.5,-999999999.0,5.1,-999999999,9.3,10.4,6.0,5.2,5.6,6,22500.0,622500,2015,,
55,56,3812660,1998408,375477,29310,461950,-999999999,834382,105382,1832791,1066157,3020582,60.6,60.9,51.9,58.9,58.4,-999999999,64.6,64.4,62.2,61.8,71.8,7.4,6.4,11.5,11.2,5.9,-999999999,8.5,9.1,7.7,6.2,7.0,6,22710.0,622710,2015,,
56,57,-999999999,55461,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,43886,-999999999,-999999999.0,58.6,-999999999.0,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999.0,56.1,-999999999.0,-999999999.0,3.4,-999999999.0,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999.0,2.1,-999999999.0,6,23080.0,623080,2015,,
57,58,51561,34359,-999999999,-999999999,-999999999,-999999999,12156,-999999999,45806,-999999999,41838,59.2,57.4,-999999999.0,-999999999.0,-999999999.0,-999999999,67.0,-999999999.0,60.3,-999999999.0,69.0,9.3,11.3,-999999999.0,-999999999.0,-999999999.0,-999999999,7.1,-999999999.0,9.8,-999999999.0,8.1,6,23160.0,623160,2015,,
58,59,63141,51618,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,45684,13238,48482,61.3,63.1,-999999999.0,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,63.9,54.5,72.7,5.6,4.4,-999999999.0,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,6.2,1.9,5.4,6,23340.0,623340,2015,,
59,60,97902,60532,-999999999,-999999999,13767,-999999999,8705,-999999999,35454,37236,76769,51.6,52.4,-999999999.0,-999999999.0,50.3,-999999999,52.8,-999999999.0,53.9,51.2,62.6,12.4,11.4,-999999999.0,-999999999.0,13.2,-999999999,18.7,-999999999.0,14.0,11.0,11.7,6,23610.0,623610,2015,,
60,61,62154,13688,-999999999,-999999999,40272,-999999999,-999999999,-999999999,-999999999,9897,49162,59.5,52.9,-999999999.0,-999999999.0,61.4,-999999999,-999999999.0,-999999999.0,-999999999.0,56.8,70.6,5.1,7.3,-999999999.0,-999999999.0,4.7,-999999999,-999999999.0,-999999999.0,-999999999.0,6.4,5.3,6,24500.0,624500,2015,,
61,62,134547,76037,-999999999,-999999999,19439,-999999999,34239,-999999999,105856,6067,104354,56.6,56.3,-999999999.0,-999999999.0,53.0,-999999999,59.8,-999999999.0,57.4,54.3,69.6,8.3,7.3,-999999999.0,-999999999.0,4.4,-999999999,12.4,-999999999.0,9.0,9.7,7.6,6,25470.0,625470,2015,,
62,63,73556,51716,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,20769,35575,54411,54.4,52.4,-999999999.0,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,59.1,49.1,67.1,5.4,4.5,-999999999.0,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,6.0,5.3,4.9,6,25530.0,625530,2015,,
