,Estimate!!Total!!Population 16 years and over,Estimate!!Employment/Population Ratio!!Population 16 years and over,Estimate!!Unemployment rate!!Population 16 years and over,Estimate!!Total!!Population 20 to 64 years,Estimate!!Employment/Population Ratio!!Population 20 to 64 years,Estimate!!Unemployment rate!!Population 20 to 64 years,NCESDist,year,School District Type
55,184296,62.1,3.8,140898,74.5,3.1,0628650,2018,Unified
56,923766,62.2,5.0,726308,74.1,4.7,0634320,2018,Unified
57,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,0637530,2018,Unified
58,113642,53.4,6.2,86106,65.3,5.7,0623610,2018,Unified
59,134418,58.3,8.4,107574,68.7,8.0,0625800,2018,Unified
60,259856,58.3,5.8,197971,71.6,5.3,0612330,2018,Unified
61,291392,52.3,9.7,221989,63.2,8.7,0614550,2018,Unified
62,110503,60.2,6.6,84480,71.5,5.9,0628250,2018,Unified
63,159226,60.5,4.3,119595,74.4,3.9,0631530,2018,Unified
64,111243,56.3,6.8,82582,70.1,6.3,0641160,2018,Unified
65,86160,63.5,5.2,66028,77.2,4.5,0600029,2018,Unified
66,134818,56.9,5.1,105042,67.2,4.7,0601332,2018,Unified
67,61264,60.9,7.0,47919,73.3,6.4,0603690,2018,Unified
68,292100,62.6,3.4,210036,77.6,3.0,0607440,2018,Unified
69,54167,57.0,2.6,37755,68.9,2.8,0621000,2018,Unified
70,96837,61.8,6.0,68794,78.0,5.5,0626640,2018,Unified
71,103200,60.0,7.7,76606,74.6,6.5,0640740,2018,Unified
72,96628,55.7,10.9,74008,67.7,10.2,0632370,2018,Unified
73,204650,65.2,4.7,166525,75.5,4.6,0635310,2018,Unified
74,95973,62.0,6.7,68646,77.0,5.7,0608370,2018,Unified
75,87998,64.6,6.5,68602,76.4,5.7,0618390,2018,Unified
76,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,0691135,2018,Unified
77,60060,63.1,3.6,45026,76.7,3.4,0600016,2018,Unified
78,56620,61.6,4.2,44974,71.9,3.6,0603600,2018,Unified
79,3877095,62.6,6.0,3033591,74.3,5.7,0622710,2018,Unified
80,226568,64.5,4.5,169750,78.5,4.6,0626370,2018,Unified
