,Geography,Estimate!!Total!!Population 16 years and over,Estimate!!Employment/Population Ratio!!Population 16 years and over,Estimate!!Unemployment rate!!Population 16 years and over,Estimate!!Total!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone,Estimate!!Employment/Population Ratio!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone,Estimate!!Unemployment rate!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone,Estimate!!Total!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone,Estimate!!Employment/Population Ratio!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone,Estimate!!Unemployment rate!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone,Estimate!!Total!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone,Estimate!!Employment/Population Ratio!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone,Estimate!!Unemployment rate!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone,Estimate!!Total!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Asian alone,Estimate!!Employment/Population Ratio!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Asian alone,Estimate!!Unemployment rate!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Asian alone,Estimate!!Total!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,Estimate!!Employment/Population Ratio!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,Estimate!!Unemployment rate!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,Estimate!!Total!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Some other race alone,Estimate!!Employment/Population Ratio!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Some other race alone,Estimate!!Unemployment rate!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Some other race alone,Estimate!!Total!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races,Estimate!!Employment/Population Ratio!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races,Estimate!!Unemployment rate!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races,Estimate!!Total!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Hispanic or Latino origin (of any race),Estimate!!Employment/Population Ratio!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Hispanic or Latino origin (of any race),Estimate!!Unemployment rate!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Hispanic or Latino origin (of any race),"Estimate!!Total!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone, not Hispanic or Latino","Estimate!!Employment/Population Ratio!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone, not Hispanic or Latino","Estimate!!Unemployment rate!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone, not Hispanic or Latino",Estimate!!Total!!Population 20 to 64 years,Estimate!!Employment/Population Ratio!!Population 20 to 64 years,Estimate!!Unemployment rate!!Population 20 to 64 years,NAME,STATE,SCHOOL DISTRICT (SECONDARY),District,NCESDist,year
11,9600000US0618930,129185,68.2,4.0,44725,62.7,5.6,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,64571,70.6,3.6,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,26130,72.3,3.1,31951,60.1,6.5,98429,82.5,3.9,"Jefferson Union High School District, California",06,18930,Jefferson Union High School District,0618930,2018
12,9600000US0635110,62501,61.2,2.5,44547,62.1,3.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,36816,60.4,3.7,44553,77.2,2.5,"San Rafael City High School District, California",06,35110,San Rafael City High School District,0635110,2018
13,9600000US0638640,393289,55.5,8.2,271882,55.3,9.5,17862,46.6,7.7,-999999999,-999999999.0,-999999999.0,57938,56.1,2.8,-999999999,-999999999.0,-999999999.0,28698,62.0,6.6,12549,52.5,8.7,243976,57.8,9.9,67388,49.0,6.0,304721,67.6,7.5,"Sweetwater Union High School District, California",06,38640,Sweetwater Union High School District,0638640,2018
14,9600000US0614430,184924,66.6,2.9,63300,64.4,3.2,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,107742,66.9,2.5,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,18233,75.8,3.8,50388,62.0,3.3,147521,79.5,2.8,"Fremont Union High School District, California",06,14430,Fremont Union High School District,0614430,2018
15,9600000US0602820,283465,50.9,6.9,158110,50.9,6.3,39306,37.1,15.2,-999999999,-999999999.0,-999999999.0,12816,55.5,1.0,-999999999,-999999999.0,-999999999.0,60682,59.6,6.0,-999999999,-999999999.0,-999999999.0,136042,54.2,5.6,88679,51.8,7.3,213664,63.0,6.4,"Antelope Valley Union Joint High School District, California",06,02820,Antelope Valley Union Joint High School District,0602820,2018
16,9600000US0612910,140370,59.9,3.8,108582,60.5,2.9,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,62677,66.9,4.1,57928,54.2,3.2,105233,72.8,3.4,"Escondido Union High School District, California",06,12910,Escondido Union High School District,0612910,2018
17,9600000US0621600,100223,60.7,4.7,67725,61.1,3.6,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,10409,57.5,6.5,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,56808,61.1,4.0,70749,76.3,4.8,"Liberty Union High School District, California",06,21600,Liberty Union High School District,0621600,2018
18,9600000US0607230,183048,67.8,2.7,116555,66.3,2.2,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,43365,68.6,3.5,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,28931,73.3,2.3,96900,64.8,2.4,143076,80.4,2.8,"Campbell Union High School District, California",06,07230,Campbell Union High School District,0607230,2018
19,9600000US0614760,203955,64.5,5.1,110672,62.6,4.5,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,51713,66.0,4.3,-999999999,-999999999.0,-999999999.0,29262,70.2,5.5,-999999999,-999999999.0,-999999999.0,80106,68.0,5.4,65299,59.2,3.8,156844,77.9,4.7,"Fullerton Joint Union High School District, California",06,14760,Fullerton Joint Union High School District,0614760,2018
20,9600000US0616230,384331,59.2,5.2,302003,59.2,4.9,20495,63.5,6.4,-999999999,-999999999.0,-999999999.0,21957,54.4,6.1,-999999999,-999999999.0,-999999999.0,18768,61.1,6.9,16081,58.5,6.0,90534,64.2,4.4,236379,57.4,5.3,292878,71.9,5.0,"Grossmont Union High School District, California",06,16230,Grossmont Union High School District,0616230,2018
