,Geography,Total!!Estimate!!Population 16 years and over,Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone,Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone,Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone,Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Asian alone,Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Some other race alone,Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races,Total!!Estimate!!Hispanic or Latino origin (of any race),"Total!!Estimate!!White alone, not Hispanic or Latino",Total!!Estimate!!Population 20 to 64 years,Employment/Population Ratio!!Estimate!!Population 16 years and over,Employment/Population Ratio!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone,Employment/Population Ratio!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone,Employment/Population Ratio!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone,Employment/Population Ratio!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Asian alone,Employment/Population Ratio!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,Employment/Population Ratio!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Some other race alone,Employment/Population Ratio!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races,Employment/Population Ratio!!Estimate!!Hispanic or Latino origin (of any race),"Employment/Population Ratio!!Estimate!!White alone, not Hispanic or Latino",Employment/Population Ratio!!Estimate!!Population 20 to 64 years,Unemployment rate!!Estimate!!Population 16 years and over,Unemployment rate!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone,Unemployment rate!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone,Unemployment rate!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone,Unemployment rate!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Asian alone,Unemployment rate!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,Unemployment rate!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Some other race alone,Unemployment rate!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races,Unemployment rate!!Estimate!!Hispanic or Latino origin (of any race),"Unemployment rate!!Estimate!!White alone, not Hispanic or Latino",Unemployment rate!!Estimate!!Population 20 to 64 years,NAME,STATE,SCHOOL DISTRICT (SECONDARY),District,NCESDist,year
11,9600000US0612070,120006,105186,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,94789,82781,51.6,51.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,51.5,67.0,3.5,3.6,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,3.5,3.0,"El Dorado Union High School District, California",06,12070,El Dorado Union High School District,0612070,2017
12,9600000US0612120,142668,37907,-999999999,-999999999,53868,-999999999,45916,-999999999,79918,6099,109896,58.6,58.5,-999999999.0,-999999999.0,55.6,-999999999.0,62.2,-999999999.0,61.4,49.7,71.6,4.8,6.2,-999999999.0,-999999999.0,4.2,-999999999.0,4.3,-999999999.0,5.4,3.5,4.4,"El Monte Union High School District, California",06,12120,El Monte Union High School District,0612120,2017
13,9600000US0612910,134458,91889,-999999999,-999999999,-999999999,-999999999,25956,-999999999,59824,59980,103064,63.5,61.3,-999999999.0,-999999999.0,-999999999.0,-999999999.0,73.0,-999999999.0,70.2,57.4,76.9,3.6,3.9,-999999999.0,-999999999.0,-999999999.0,-999999999.0,1.0,-999999999.0,1.9,4.8,3.5,"Escondido Union High School District, California",06,12910,Escondido Union High School District,0612910,2017
14,9600000US0613530,55054,45622,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,19696,30887,38635,39.0,41.3,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,48.5,34.6,48.3,6.0,5.2,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,6.1,6.0,6.0,"Fallbrook Union High School District, California",06,13530,Fallbrook Union High School District,0613530,2017
15,9600000US0614430,194169,66625,-999999999,-999999999,109687,-999999999,-999999999,-999999999,18867,57357,152704,65.2,62.9,-999999999.0,-999999999.0,65.5,-999999999.0,-999999999.0,-999999999.0,72.3,62.5,78.0,3.8,4.5,-999999999.0,-999999999.0,3.3,-999999999.0,-999999999.0,-999999999.0,3.5,4.0,3.9,"Fremont Union High School District, California",06,14430,Fremont Union High School District,0614430,2017
16,9600000US0614760,209471,111450,-999999999,-999999999,46682,-999999999,35621,-999999999,90294,61037,160835,62.1,60.5,-999999999.0,-999999999.0,59.4,-999999999.0,68.4,-999999999.0,65.8,57.1,74.9,5.9,5.4,-999999999.0,-999999999.0,4.8,-999999999.0,6.3,-999999999.0,7.1,3.6,5.2,"Fullerton Joint Union High School District, California",06,14760,Fullerton Joint Union High School District,0614760,2017
17,9600000US0616230,382890,288114,24258,-999999999,23093,-999999999,22440,19193,85189,234521,293720,60.8,60.6,57.6,-999999999.0,59.5,-999999999.0,63.4,63.9,68.5,58.6,72.6,6.2,5.1,13.2,-999999999.0,7.5,-999999999.0,10.0,8.1,6.3,5.1,5.9,"Grossmont Union High School District, California",06,16230,Grossmont Union High School District,0616230,2017
18,9600000US0616500,54702,41000,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,25705,21548,41835,56.9,56.9,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,59.4,56.7,70.4,6.3,6.7,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,5.1,7.7,5.8,"Hanford Joint Union High School District, California",06,16500,Hanford Joint Union High School District,0616500,2017
19,9600000US0618060,265794,171691,-999999999,-999999999,60774,-999999999,-999999999,-999999999,49449,143737,191345,61.2,61.4,-999999999.0,-999999999.0,55.7,-999999999.0,-999999999.0,-999999999.0,69.3,59.7,76.9,4.3,3.8,-999999999.0,-999999999.0,6.2,-999999999.0,-999999999.0,-999999999.0,2.8,4.2,4.1,"Huntington Beach Union High School District, California",06,18060,Huntington Beach Union High School District,0618060,2017
20,9600000US0618930,129603,42034,-999999999,-999999999,60953,-999999999,-999999999,-999999999,30030,32114,99083,66.8,61.5,-999999999.0,-999999999.0,69.4,-999999999.0,-999999999.0,-999999999.0,73.8,58.8,81.1,3.9,5.3,-999999999.0,-999999999.0,2.8,-999999999.0,-999999999.0,-999999999.0,3.9,5.0,3.2,"Jefferson Union High School District, California",06,18930,Jefferson Union High School District,0618930,2017
