,Geography,Total!!Estimate!!Population 16 years and over,Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone,Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone,Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone,Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Asian alone,Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Some other race alone,Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races,Total!!Estimate!!Hispanic or Latino origin (of any race),"Total!!Estimate!!White alone, not Hispanic or Latino",Total!!Estimate!!Population 20 to 64 years,Employment/Population Ratio!!Estimate!!Population 16 years and over,Employment/Population Ratio!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone,Employment/Population Ratio!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone,Employment/Population Ratio!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone,Employment/Population Ratio!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Asian alone,Employment/Population Ratio!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,Employment/Population Ratio!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Some other race alone,Employment/Population Ratio!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races,Employment/Population Ratio!!Estimate!!Hispanic or Latino origin (of any race),"Employment/Population Ratio!!Estimate!!White alone, not Hispanic or Latino",Employment/Population Ratio!!Estimate!!Population 20 to 64 years,Unemployment rate!!Estimate!!Population 16 years and over,Unemployment rate!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone,Unemployment rate!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone,Unemployment rate!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone,Unemployment rate!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Asian alone,Unemployment rate!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,Unemployment rate!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Some other race alone,Unemployment rate!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races,Unemployment rate!!Estimate!!Hispanic or Latino origin (of any race),"Unemployment rate!!Estimate!!White alone, not Hispanic or Latino",Unemployment rate!!Estimate!!Population 20 to 64 years,NAME,STATE,SCHOOL DISTRICT (ELEMENTARY),District,NCESDist,year
45,9500000US0635970,81336,56892,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,43685,64711,66.3,65.6,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,63.5,77.1,4.9,5.2,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,6.1,3.8,"Saugus Union Elementary School District, California",06,35970,Saugus Union Elementary School District,0635970,2017
46,9500000US0637380,62341,44922,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,40012,12626,48207,57.1,56.9,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,61.5,47.7,69.0,6.5,6.3,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,7.9,2.1,5.4,"South Bay Union School District, California",06,37380,South Bay Union School District,0637380,2017
47,9500000US0638220,52545,36350,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,22664,41518,62.3,60.9,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,58.7,73.2,5.8,7.7,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,7.6,6.0,"Sulphur Springs Union Elementary School District, California",06,38220,Sulphur Springs Union Elementary School District,0638220,2017
48,9500000US0638460,75985,29103,-999999999,-999999999,34584,-999999999,-999999999,-999999999,-999999999,23286,63458,69.9,68.7,-999999999.0,-999999999.0,70.1,-999999999.0,-999999999.0,-999999999.0,-999999999.0,70.3,79.7,4.1,4.1,-999999999.0,-999999999.0,4.1,-999999999.0,-999999999.0,-999999999.0,-999999999.0,2.9,4.1,"Sunnyvale Elementary School District, California",06,38460,Sunnyvale Elementary School District,0638460,2017
49,9500000US0638670,59747,45059,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,16918,32227,44055,57.9,57.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,62.5,54.8,73.6,7.1,6.4,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,8.7,5.4,6.5,"Sylvan Union Elementary School District, California",06,38670,Sylvan Union Elementary School District,0638670,2017
50,9500000US0639870,43944,32878,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,14577,35095,59.4,58.2,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,58.4,72.1,4.9,3.5,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,4.3,4.2,"Tulare City Elementary School District, California",06,39870,Tulare City Elementary School District,0639870,2017
51,9500000US0641040,73642,49860,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,37966,20942,55064,47.4,47.9,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,44.8,52.7,60.5,16.4,14.4,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,22.1,2.0,14.6,"Victor Elementary School District, California",06,41040,Victor Elementary School District,0641040,2017
52,9500000US0642120,60018,38214,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,16699,28173,46370,51.6,54.2,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,51.0,54.1,61.9,4.3,3.2,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,2.8,3.8,4.0,"Westside Union Elementary School District, California",06,42120,Westside Union Elementary School District,0642120,2017
53,9500000US0642150,67476,27535,-999999999,-999999999,30727,-999999999,-999999999,-999999999,17053,17803,49850,57.9,59.3,-999999999.0,-999999999.0,54.9,-999999999.0,-999999999.0,-999999999.0,64.9,54.9,72.8,6.0,2.2,-999999999.0,-999999999.0,8.6,-999999999.0,-999999999.0,-999999999.0,4.7,1.6,6.3,"Westminster School District, California",06,42150,Westminster School District,0642150,2017
54,9500000US0642450,54807,23164,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,39504,9978,41780,57.8,51.5,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,62.0,47.3,71.1,3.5,3.7,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,2.2,5.9,3.1,"Whittier City Elementary School District, California",06,42450,Whittier City Elementary School District,0642450,2017
