,Unnamed: 0,Estimate!!Total!!Population 16 years and over,Estimate!!Total!!Population 20 to 64 years,Estimate!!Employment/Population Ratio!!Population 16 years and over,Estimate!!Employment/Population Ratio!!Population 20 to 64 years,Estimate!!Unemployment rate!!Population 16 years and over,Estimate!!Unemployment rate!!Population 20 to 64 years,NCESDist,year,School District Type
82,83,-999999999,-999999999,-999999999.0,-999999999.0,-999999999.0,-999999999.0,600032,2019,Unified
83,84,68055,53500,69.3,81.9,3.9,3.4,600036,2019,Unified
84,85,-999999999,-999999999,-999999999.0,-999999999.0,-999999999.0,-999999999.0,623080,2019,Unified
85,86,50077,39942,57.4,68.5,8.9,8.1,623160,2019,Unified
86,87,65057,49502,57.9,70.5,7.8,6.4,623340,2019,Unified
87,88,111689,85009,52.7,64.6,4.3,3.8,623610,2019,Unified
88,89,97286,71304,59.9,75.1,4.1,3.9,600153,2019,Unified
89,90,85646,62074,59.7,74.8,4.2,4.2,601620,2019,Unified
90,91,63509,47218,64.5,80.0,2.9,3.2,601770,2019,Unified
91,92,53090,39571,59.2,73.1,4.8,5.1,643080,2019,Unified
92,93,59902,43599,56.1,70.7,5.3,3.8,643470,2019,Unified
93,94,209759,163907,62.4,73.4,3.9,3.7,684500,2019,Unified
94,95,67443,55166,56.2,66.4,7.3,6.7,691135,2019,Unified
95,96,109524,77229,57.9,72.7,6.0,5.3,604740,2019,Unified
96,97,282604,215290,53.4,64.8,8.6,8.5,614550,2019,Unified
97,98,217318,159306,59.3,74.1,4.1,4.1,614880,2019,Unified
98,99,95444,74961,62.8,76.0,3.5,3.2,602430,2019,Unified
99,100,94744,71272,57.3,70.5,9.3,8.5,602850,2019,Unified
100,101,55367,43669,62.4,73.2,4.6,4.1,603600,2019,Unified
101,102,59672,46598,67.6,80.4,4.4,4.7,634680,2019,Unified
102,103,216256,165428,65.7,78.9,2.6,2.3,634590,2019,Unified
103,104,283660,202712,58.7,73.6,5.8,5.9,634620,2019,Unified
104,105,66278,51621,63.8,75.7,6.1,6.1,634710,2019,Unified
105,106,86220,57749,52.4,66.6,5.4,4.1,634800,2019,Unified
106,107,-999999999,-999999999,-999999999.0,-999999999.0,-999999999.0,-999999999.0,601414,2019,Unified
107,108,96402,74922,58.8,70.3,8.8,8.3,632370,2019,Unified
108,109,101057,74122,63.2,77.1,2.4,1.9,634880,2019,Unified
109,110,124160,89764,63.0,76.6,3.1,2.8,635130,2019,Unified
110,111,206347,163823,64.8,76.8,4.6,4.2,635310,2019,Unified
111,112,145555,120329,71.7,81.7,3.0,3.1,635430,2019,Unified
112,113,91219,64081,61.9,78.1,3.8,3.4,635700,2019,Unified
113,114,159703,121002,67.0,80.8,4.3,4.0,627240,2019,Unified
114,115,101467,74688,59.4,73.8,6.3,5.9,627690,2019,Unified
115,116,53039,32806,58.9,76.6,3.8,3.3,627720,2019,Unified
116,117,353106,277604,65.3,78.2,4.3,3.9,628050,2019,Unified
117,118,107834,82799,58.7,69.2,5.7,5.3,628250,2019,Unified
118,119,138033,108420,60.2,70.4,5.8,5.9,601332,2019,Unified
119,120,-999999999,-999999999,-999999999.0,-999999999.0,-999999999.0,-999999999.0,600158,2019,Unified
0,1,56443,44142,61.6,73.1,5.2,5.2,633930,2019,Elementary
1,2,114601,85308,67.6,82.5,3.1,3.1,634920,2019,Elementary
2,3,86182,62230,62.0,77.4,6.4,5.2,628140,2019,Elementary
3,4,-999999999,-999999999,-999999999.0,-999999999.0,-999999999.0,-999999999.0,626280,2019,Elementary
4,5,57044,42078,59.6,74.6,3.6,3.4,627180,2019,Elementary
5,6,95966,75083,68.6,81.5,2.8,3.0,627810,2019,Elementary
6,7,69118,52779,59.6,74.1,5.4,5.0,642150,2019,Elementary
7,8,138160,105814,52.8,65.1,8.5,7.9,603630,2019,Elementary
8,9,99085,76830,58.7,70.9,6.1,5.3,606390,2019,Elementary
9,10,72475,53243,58.1,73.1,4.9,4.6,612090,2019,Elementary
10,11,60660,44266,53.0,65.7,10.7,10.2,637380,2019,Elementary
11,12,68327,46771,58.1,76.8,3.1,3.3,630990,2019,Elementary
