,Unnamed: 0,Estimate!!Total!!Population 16 years and over,Estimate!!Employment/Population Ratio!!Population 16 years and over,Estimate!!Unemployment rate!!Population 16 years and over,Estimate!!Total!!Population 20 to 64 years,Estimate!!Employment/Population Ratio!!Population 20 to 64 years,Estimate!!Unemployment rate!!Population 20 to 64 years,NCESDist,year,School District Type
82,83,91963,55.0,6.5,64965,71.4,6.3,601620,2018,Unified
83,84,66283,56.6,14.8,49802,71.9,14.4,609070,2018,Unified
84,85,109794,61.0,3.5,78929,76.0,2.9,609640,2018,Unified
85,86,218108,61.9,3.2,171166,74.1,2.9,609850,2018,Unified
86,87,95139,63.1,4.8,73035,76.9,4.0,611460,2018,Unified
87,88,64764,55.8,13.5,49160,67.0,13.1,623340,2018,Unified
88,89,76673,60.6,4.6,57714,72.1,4.5,625530,2018,Unified
89,90,776750,69.1,3.7,610916,82.4,3.3,634410,2018,Unified
90,91,127715,63.4,3.9,98075,76.6,3.3,641190,2018,Unified
91,92,57391,56.4,8.8,41930,70.9,8.1,600158,2018,Unified
92,93,149537,48.4,6.4,99166,65.1,5.9,629550,2018,Unified
93,94,105597,63.4,3.5,77559,76.4,3.2,634880,2018,Unified
94,95,101485,60.6,2.3,72947,75.4,2.4,640980,2018,Unified
95,96,202295,59.0,4.1,157006,69.7,3.5,684500,2018,Unified
96,97,64166,66.6,2.9,49764,78.4,2.5,600047,2018,Unified
97,98,115651,62.8,3.5,84122,77.7,3.7,635130,2018,Unified
98,99,108282,66.5,4.8,83813,78.4,4.4,640150,2018,Unified
99,100,87167,58.3,7.4,65149,72.7,6.5,609390,2018,Unified
100,101,145307,61.1,4.3,112847,73.6,4.1,616740,2018,Unified
101,102,79290,67.3,4.2,61515,78.8,4.1,622110,2018,Unified
102,103,59163,63.6,7.0,48197,74.3,5.5,629850,2018,Unified
103,104,111862,63.3,3.7,85113,75.1,3.5,613360,2018,Unified
104,105,55846,39.4,9.9,38683,49.4,11.2,625860,2018,Unified
105,106,52713,63.1,2.4,35795,79.8,2.6,627720,2018,Unified
106,107,355658,66.3,5.3,280797,78.4,5.1,628050,2018,Unified
107,108,88470,59.5,10.6,65635,71.4,10.1,629490,2018,Unified
108,109,72010,56.4,3.9,49874,71.5,3.6,629610,2018,Unified
109,110,92520,61.1,5.5,68136,76.0,5.7,633750,2018,Unified
110,111,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,600032,2018,Unified
111,112,62056,62.1,4.8,46466,76.6,4.4,610050,2018,Unified
112,113,420140,63.5,5.0,336450,74.7,4.5,622500,2018,Unified
113,114,167020,62.3,3.3,124157,76.1,3.3,629940,2018,Unified
114,115,207033,65.7,4.8,159587,77.9,4.2,632550,2018,Unified
115,116,135023,54.9,7.2,98005,69.9,6.6,622230,2018,Unified
116,117,52738,63.8,3.4,39327,78.1,3.5,625830,2018,Unified
117,118,215142,59.4,5.5,163204,72.9,4.6,633150,2018,Unified
118,119,151285,55.8,7.3,117028,67.6,7.4,638010,2018,Unified
119,120,53395,60.7,4.7,38741,77.1,4.1,643080,2018,Unified
0,1,81690,48.4,9.2,62238,58.9,8.7,620880,2018,Elementary
1,2,59108,60.9,5.0,44752,73.3,5.0,627180,2018,Elementary
2,3,69721,56.5,5.7,51164,72.7,5.4,642150,2018,Elementary
3,4,143249,63.3,6.1,113697,74.4,5.5,628470,2018,Elementary
4,5,44492,61.1,6.2,35152,69.8,6.6,639870,2018,Elementary
5,6,51933,62.1,3.6,40434,75.7,3.3,642450,2018,Elementary
6,7,54425,38.5,8.5,38799,48.1,8.1,613500,2018,Elementary
7,8,113134,61.5,4.0,86313,74.9,3.8,620250,2018,Elementary
8,9,70871,63.3,5.4,54795,75.2,4.4,614370,2018,Elementary
9,10,81646,67.5,4.5,62647,81.7,4.4,618870,2018,Elementary
10,11,94329,64.4,4.8,72389,77.4,4.7,602310,2018,Elementary
11,12,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,605910,2018,Elementary
12,13,131438,58.2,5.3,99951,71.2,5.0,606810,2018,Elementary
13,14,73301,47.6,8.8,55510,59.8,6.9,641040,2018,Elementary
14,15,70911,61.2,3.2,51451,77.8,2.8,618030,2018,Elementary
15,16,76751,49.7,9.1,54284,64.5,8.7,624540,2018,Elementary
16,17,60096,59.3,5.5,46128,70.9,6.0,633930,2018,Elementary
17,18,68792,52.7,7.0,45873,68.8,5.4,615510,2018,Elementary
18,19,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,626280,2018,Elementary
19,20,66888,62.2,4.4,50632,76.6,4.1,611850,2018,Elementary
20,21,74528,64.0,5.7,58123,74.2,6.2,605580,2018,Elementary
21,22,50895,61.5,7.1,42008,69.9,7.3,617850,2018,Elementary
22,23,58345,56.4,7.7,39320,69.7,5.5,635590,2018,Elementary
23,24,53245,61.2,5.2,40929,72.5,5.1,623430,2018,Elementary
24,25,81398,67.2,5.1,64879,77.6,4.8,635970,2018,Elementary
25,26,96833,55.1,7.5,73295,68.2,6.6,629580,2018,Elementary
26,27,48889,64.4,6.1,38224,73.3,6.6,638220,2018,Elementary
27,28,96656,62.7,5.7,74444,75.5,5.0,614730,2018,Elementary
28,29,70474,66.5,4.9,55776,77.9,4.7,604800,2018,Elementary
29,30,76267,67.0,3.0,59668,80.4,2.9,607200,2018,Elementary
30,31,113011,66.3,4.6,85139,81.4,4.5,634920,2018,Elementary
31,32,164380,66.4,4.1,131348,77.6,3.7,602610,2018,Elementary
32,33,69163,49.3,13.2,48913,62.0,10.9,624600,2018,Elementary
33,34,86791,69.1,3.6,67143,79.6,3.5,632130,2018,Elementary
34,35,91217,54.1,10.6,72230,64.2,10.6,625130,2018,Elementary
35,36,55046,54.8,5.7,39417,69.7,5.4,638670,2018,Elementary
36,37,59420,52.5,3.6,45222,64.2,3.5,642120,2018,Elementary
37,38,102582,59.0,6.6,78493,71.4,6.0,606390,2018,Elementary
38,39,95863,61.7,4.7,73861,74.4,4.1,629220,2018,Elementary
39,40,79674,60.8,4.4,58505,76.8,3.7,633600,2018,Elementary
40,41,109484,60.7,2.6,82652,75.5,2.5,610290,2018,Elementary
41,42,63817,51.5,9.6,49014,63.1,8.4,637380,2018,Elementary
42,43,58937,59.7,4.3,40434,78.3,4.4,612750,2018,Elementary
43,44,137294,60.0,3.8,103118,72.8,3.4,612880,2018,Elementary
44,45,79657,65.9,3.8,60041,80.4,4.0,628140,2018,Elementary
45,46,244339,60.3,8.6,190808,72.7,8.0,608610,2018,Elementary
46,47,67250,60.6,4.7,45077,78.0,4.9,630990,2018,Elementary
47,48,66604,55.9,7.0,49651,70.2,6.8,612090,2018,Elementary
48,49,75440,75.2,3.3,64869,84.5,3.1,638460,2018,Elementary
49,50,59129,71.5,3.0,49167,82.6,2.9,616680,2018,Elementary
50,51,77827,64.0,4.3,61950,75.4,4.4,612960,2018,Elementary
51,52,81658,58.7,4.9,58146,75.0,4.8,613140,2018,Elementary
52,53,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,635810,2018,Elementary
53,54,140021,55.0,10.4,110388,63.9,10.5,603630,2018,Elementary
54,55,88969,67.9,3.7,71962,79.4,3.9,627810,2018,Elementary
0,1,171523,63.4,4.5,123554,77.6,3.9,635830,2018,Secondary
1,2,100398,56.8,3.0,66183,74.0,3.1,601650,2018,Secondary
2,3,88360,53.2,5.9,57518,70.1,4.5,606019,2018,Secondary
3,4,197804,67.1,4.5,150180,81.6,4.2,634980,2018,Secondary
4,5,136318,60.4,5.1,104807,71.3,5.3,633980,2018,Secondary
5,6,80061,49.6,8.5,57090,62.5,8.3,636600,2018,Secondary
6,7,266958,60.8,3.9,194212,77.4,3.7,618060,2018,Secondary
7,8,153707,61.5,3.5,111513,78.6,2.9,633630,2018,Secondary
8,9,212478,62.6,5.4,166464,72.7,5.4,642510,2018,Secondary
9,10,53770,44.8,10.9,43248,52.8,10.9,610860,2018,Secondary
10,11,129185,68.2,4.0,98429,82.5,3.9,618930,2018,Secondary
11,12,62501,61.2,2.5,44553,77.2,2.5,635110,2018,Secondary
12,13,393289,55.5,8.2,304721,67.6,7.5,638640,2018,Secondary
13,14,184924,66.6,2.9,147521,79.5,2.8,614430,2018,Secondary
14,15,283465,50.9,6.9,213664,63.0,6.4,602820,2018,Secondary
15,16,140370,59.9,3.8,105233,72.8,3.4,612910,2018,Secondary
16,17,100223,60.7,4.7,70749,76.3,4.8,621600,2018,Secondary
17,18,183048,67.8,2.7,143076,80.4,2.8,607230,2018,Secondary
18,19,203955,64.5,5.1,156844,77.9,4.7,614760,2018,Secondary
19,20,384331,59.2,5.2,292878,71.9,5.0,616230,2018,Secondary
20,21,115026,62.9,5.2,87728,74.4,5.6,635670,2018,Secondary
21,22,95733,63.9,2.5,62202,80.9,2.4,638790,2018,Secondary
22,23,58345,56.4,7.7,39320,69.7,5.5,699011,2018,Secondary
23,24,442275,64.6,4.6,342995,77.4,4.4,611820,2018,Secondary
24,25,119878,55.5,4.2,80322,72.7,4.6,612070,2018,Secondary
25,26,212514,56.3,8.1,162581,68.2,8.1,625150,2018,Secondary
26,27,137213,58.9,5.5,97495,74.1,5.6,634380,2018,Secondary
27,28,137294,57.1,7.9,103518,70.5,7.2,612120,2018,Secondary
28,29,319829,64.7,4.3,249958,76.9,4.0,602630,2018,Secondary
29,30,342018,63.3,5.0,269580,74.8,4.6,608160,2018,Secondary
30,31,56224,38.9,8.5,40090,48.7,8.2,613530,2018,Secondary
31,32,70398,49.6,3.8,41843,69.7,3.2,626880,2018,Secondary
32,33,133085,52.3,11.4,97474,65.2,9.4,624660,2018,Secondary
33,34,476721,55.4,9.2,369499,66.3,8.8,619540,2018,Secondary
34,35,61778,64.4,2.0,44789,78.7,2.1,630250,2018,Secondary
35,36,264127,62.4,5.0,202149,75.1,4.8,629270,2018,Secondary
36,37,180579,59.1,4.5,138665,72.9,4.3,642480,2018,Secondary
37,38,114272,54.4,7.7,82880,68.5,7.0,606034,2018,Secondary
38,39,118235,69.9,4.4,98628,79.7,4.1,607920,2018,Secondary
39,40,53567,59.7,5.3,41283,72.1,5.1,616500,2018,Secondary
40,41,210381,66.3,3.8,159619,78.2,4.0,636390,2018,Secondary
41,42,116166,45.9,8.5,90657,56.1,6.9,636972,2018,Secondary
42,43,93496,67.2,2.7,74250,79.7,2.3,626310,2018,Secondary
43,44,74234,49.0,3.5,46503,68.7,3.3,630750,2018,Secondary
44,45,59999,57.8,8.5,47576,66.3,8.5,639930,2018,Secondary
