,Unnamed: 0,Total!!Estimate!!Population 16 years and over,Total!!Estimate!!Population 20 to 64 years,Employment/Population Ratio!!Estimate!!Population 16 years and over,Employment/Population Ratio!!Estimate!!Population 20 to 64 years,Unemployment rate!!Estimate!!Population 16 years and over,Unemployment rate!!Estimate!!Population 20 to 64 years,NCESDist,year,School District Type
83,84,94560,73722,55.9,66.6,10.3,9.9,632370,2015,Unified
84,85,207525,158424,61.0,74.0,6.3,5.8,632550,2015,Unified
85,86,204819,160505,58.0,70.4,7.8,7.0,633150,2015,Unified
86,87,94816,71157,57.5,70.6,6.8,6.4,633750,2015,Unified
87,88,262547,198406,55.6,69.3,8.3,7.5,633840,2015,Unified
88,89,178359,129800,63.3,78.6,4.1,3.9,633860,2015,Unified
89,90,203973,162972,52.1,61.3,11.4,9.8,634170,2015,Unified
90,91,897205,719053,60.9,70.9,6.8,6.3,634320,2015,Unified
91,92,760939,608133,66.5,78.5,5.1,4.9,634410,2015,Unified
92,93,220652,174675,64.9,76.5,5.4,5.0,634590,2015,Unified
93,94,272754,195378,54.5,69.1,9.7,9.0,634620,2015,Unified
94,95,57490,43090,64.2,78.1,6.1,5.7,634680,2015,Unified
95,96,69197,54170,62.5,75.0,6.0,5.8,634710,2015,Unified
96,97,85272,57878,50.9,63.5,5.6,5.2,634800,2015,Unified
97,98,97577,75164,64.2,76.8,3.3,2.8,634880,2015,Unified
98,99,111402,82611,61.2,75.6,3.7,3.8,635130,2015,Unified
99,100,199088,164665,62.0,71.6,5.8,5.6,635310,2015,Unified
100,101,136269,110953,66.9,78.6,4.1,3.8,635430,2015,Unified
101,102,96285,73144,64.1,76.6,6.5,5.8,635700,2015,Unified
102,103,104267,81106,64.8,76.2,5.4,4.9,636840,2015,Unified
103,104,68667,51951,64.9,80.4,4.6,4.0,637530,2015,Unified
104,105,155924,120345,47.9,57.5,14.7,14.0,638010,2015,Unified
105,106,122352,90060,60.0,75.5,5.3,4.4,639420,2015,Unified
106,107,105199,84306,66.4,76.8,4.4,4.0,640150,2015,Unified
107,108,64864,48138,58.6,72.1,7.2,6.4,640590,2015,Unified
108,109,102119,77495,53.7,64.9,10.3,9.7,640740,2015,Unified
109,110,100946,76518,57.8,70.9,6.8,6.5,640980,2015,Unified
110,111,109781,85042,51.9,62.6,6.2,6.2,641160,2015,Unified
111,112,117691,87665,61.3,75.2,6.7,6.2,641190,2015,Unified
112,113,50191,38568,58.9,70.8,8.7,8.3,643080,2015,Unified
113,114,56119,41474,48.3,60.2,13.5,13.4,643470,2015,Unified
114,115,188288,146481,56.7,67.2,5.1,4.9,684500,2015,Unified
115,116,68697,53982,55.6,65.5,10.7,10.2,691135,2015,Unified
0,1,94280,72625,60.5,74.2,8.4,7.6,602310,2015,Elementary
1,2,161041,130994,65.7,76.8,6.6,6.1,602610,2015,Elementary
2,3,146865,113489,54.3,64.9,13.7,13.2,603630,2015,Elementary
3,4,64015,50104,60.1,71.7,6.7,6.4,604800,2015,Elementary
4,5,74714,58556,64.4,75.3,6.5,6.6,605580,2015,Elementary
5,6,94502,74443,61.2,70.5,8.9,8.8,606390,2015,Elementary
6,7,136933,106100,55.6,67.5,9.9,9.0,606810,2015,Elementary
7,8,79062,63092,67.8,79.8,3.7,3.7,607200,2015,Elementary
8,9,233241,181265,57.8,70.7,7.4,7.0,608610,2015,Elementary
9,10,113387,87271,60.2,74.7,5.5,5.4,610290,2015,Elementary
10,11,61301,47618,59.7,72.5,6.3,6.5,611850,2015,Elementary
11,12,65451,49049,51.2,65.4,5.6,5.5,612090,2015,Elementary
12,13,60436,42460,58.6,75.3,4.6,4.2,612750,2015,Elementary
13,14,133637,103307,60.1,72.4,7.8,7.3,612880,2015,Elementary
14,15,65697,54492,62.2,71.9,6.6,5.8,612960,2015,Elementary
15,16,85921,63444,59.3,75.0,5.6,5.0,613140,2015,Elementary
16,17,76489,61393,62.9,74.0,7.9,7.1,614370,2015,Elementary
17,18,98656,73662,58.2,72.0,8.2,6.8,614730,2015,Elementary
18,19,71929,49726,53.8,65.1,6.1,4.9,615510,2015,Elementary
19,20,59646,48316,61.2,72.6,8.0,7.4,616680,2015,Elementary
20,21,73183,54652,64.2,76.9,5.8,5.3,618030,2015,Elementary
21,22,82337,66222,64.3,74.7,7.8,8.0,618870,2015,Elementary
22,23,114460,87755,57.8,70.8,9.2,8.6,620250,2015,Elementary
23,24,83943,66688,48.0,56.8,6.6,6.3,620880,2015,Elementary
24,25,50077,39482,62.9,76.1,3.4,3.2,623430,2015,Elementary
25,26,63752,45689,50.9,66.7,8.3,8.4,624540,2015,Elementary
26,27,65989,49845,43.1,54.3,16.9,13.5,624600,2015,Elementary
27,28,88555,68180,47.4,57.8,17.4,16.4,625130,2015,Elementary
28,29,56070,47644,73.9,82.3,3.4,3.2,626280,2015,Elementary
29,30,54760,40767,59.3,71.9,6.5,5.7,627180,2015,Elementary
30,31,84558,67959,63.0,73.5,5.8,6.0,627810,2015,Elementary
31,32,78757,58620,62.5,77.2,4.4,4.0,628140,2015,Elementary
32,33,129456,104639,61.1,71.7,6.8,6.3,628470,2015,Elementary
33,34,92169,71365,58.7,70.6,7.9,7.8,629220,2015,Elementary
34,35,97970,77561,50.0,60.7,11.8,10.4,629580,2015,Elementary
35,36,63502,43376,54.6,71.5,5.7,5.1,630990,2015,Elementary
36,37,78634,61606,64.3,76.1,4.1,4.2,632130,2015,Elementary
37,38,73836,55690,58.5,73.2,5.9,5.9,633600,2015,Elementary
38,39,61449,47089,56.4,69.0,8.2,7.1,633930,2015,Elementary
39,40,110570,84836,66.6,80.4,3.9,3.8,634920,2015,Elementary
40,41,59554,42245,52.6,65.0,7.0,4.9,635590,2015,Elementary
41,42,64062,49729,63.3,74.2,7.5,6.2,635810,2015,Elementary
42,43,85220,67333,66.9,79.3,5.2,4.5,635970,2015,Elementary
43,44,68743,53468,53.8,63.7,11.3,11.1,637380,2015,Elementary
44,45,51930,41064,66.6,79.9,7.0,6.9,638220,2015,Elementary
45,46,59551,46517,51.0,61.0,8.4,7.2,642120,2015,Elementary
46,47,73639,60969,69.3,79.7,4.9,4.9,638460,2015,Elementary
47,48,57252,43733,58.4,69.7,7.8,7.7,638670,2015,Elementary
48,49,73021,54985,44.4,55.4,19.6,17.0,641040,2015,Elementary
49,50,68232,50347,58.4,73.9,5.6,5.3,642150,2015,Elementary
50,51,56985,43769,60.6,74.4,5.1,4.8,642450,2015,Elementary
0,1,94601,60947,55.6,74.3,5.7,5.9,601650,2015,Secondary
1,2,318548,249796,62.2,75.1,6.1,5.7,602630,2015,Secondary
2,3,282958,221396,48.7,58.9,9.4,8.5,602820,2015,Secondary
3,4,93495,62669,54.5,67.0,5.6,4.8,606019,2015,Secondary
4,5,181836,143439,66.1,78.1,4.5,4.4,607230,2015,Secondary
5,6,128810,104873,62.5,72.7,6.6,6.0,607920,2015,Secondary
6,7,312044,251964,62.4,73.2,7.0,6.5,608160,2015,Secondary
7,8,51275,40024,47.9,58.2,14.7,14.6,610860,2015,Secondary
8,9,438275,343685,61.4,73.6,6.9,6.4,611820,2015,Secondary
9,10,120392,84541,52.9,68.0,8.5,8.0,612070,2015,Secondary
10,11,144380,109561,53.3,67.3,5.3,5.2,612120,2015,Secondary
11,12,136058,105037,60.0,72.4,7.7,7.2,612910,2015,Secondary
12,13,69577,50780,40.5,48.2,4.7,4.5,613530,2015,Secondary
13,14,187026,148240,63.8,76.8,5.2,5.2,614430,2015,Secondary
14,15,203427,154974,58.0,71.1,8.8,7.7,614760,2015,Secondary
15,16,383983,293754,57.7,70.6,8.4,7.6,616230,2015,Secondary
16,17,52819,39334,53.8,66.0,9.4,9.2,616500,2015,Secondary
17,18,266490,197930,61.5,75.8,5.1,4.8,618060,2015,Secondary
18,19,131453,102078,63.5,75.4,6.7,7.0,618930,2015,Secondary
19,20,467419,365741,55.7,66.3,11.0,10.5,619540,2015,Secondary
20,21,90355,66745,57.0,71.7,7.4,7.4,621600,2015,Secondary
21,22,130199,97556,46.9,58.4,13.5,11.1,624660,2015,Secondary
22,23,208975,158011,51.8,63.2,12.7,12.2,625150,2015,Secondary
23,24,88266,71793,69.8,80.6,3.1,3.0,626310,2015,Secondary
24,25,73806,47150,45.6,62.5,9.0,8.0,626880,2015,Secondary
25,26,251602,191199,58.2,70.8,7.3,6.9,629270,2015,Secondary
26,27,133788,100712,51.1,63.5,10.4,10.1,630210,2015,Secondary
27,28,63518,45540,61.1,74.4,5.8,5.5,630250,2015,Secondary
28,29,72851,50043,51.9,68.2,7.6,6.8,630750,2015,Secondary
29,30,144527,106930,57.8,73.7,5.9,5.5,633630,2015,Secondary
30,31,129558,101723,59.2,70.3,6.5,5.7,633980,2015,Secondary
31,32,146514,106652,59.5,73.8,4.7,3.8,634380,2015,Secondary
32,33,193896,147750,65.7,79.9,4.6,4.0,634980,2015,Secondary
33,34,61727,46043,60.5,73.1,2.9,3.2,635110,2015,Secondary
34,35,86454,62885,56.0,68.2,6.3,4.9,635600,2015,Secondary
35,36,110534,84856,63.1,75.1,6.8,6.7,635670,2015,Secondary
36,37,172562,129357,61.2,74.1,6.0,5.1,635830,2015,Secondary
37,38,203149,154994,64.1,76.7,4.4,4.4,636390,2015,Secondary
38,39,81278,56065,52.2,66.2,4.6,4.6,636600,2015,Secondary
39,40,119933,90013,42.8,54.2,17.4,15.0,636972,2015,Secondary
40,41,387982,303427,55.6,66.9,8.4,8.0,638640,2015,Secondary
41,42,96348,65205,62.3,79.3,3.2,3.1,638790,2015,Secondary
42,43,57630,43497,52.4,65.7,6.1,5.1,639930,2015,Secondary
43,44,186085,145658,58.3,70.6,6.2,5.9,642480,2015,Secondary
44,45,218386,171082,62.9,74.6,6.3,5.6,642510,2015,Secondary
