,Total!!Estimate!!Population 16 years and over,Total!!Estimate!!Population 20 to 64 years,Employment/Population Ratio!!Estimate!!Population 16 years and over,Employment/Population Ratio!!Estimate!!Population 20 to 64 years,Unemployment rate!!Estimate!!Population 16 years and over,Unemployment rate!!Estimate!!Population 20 to 64 years,NCESDist,year,School District Type
1,91208,68829,63.0,76.7,4.3,4.1,0602310,2017,Elementary
2,159220,128711,62.6,72.6,6.1,5.3,0602610,2017,Elementary
3,138323,105055,50.9,61.7,12.2,10.3,0603630,2017,Elementary
4,66868,50046,61.7,76.9,5.2,5.0,0604800,2017,Elementary
5,78914,62794,63.3,73.7,4.6,4.6,0605580,2017,Elementary
6,-999999999,-999999999,-999999999.0,-999999999.0,-999999999.0,-999999999.0,0605910,2017,Elementary
7,103262,79741,58.4,71.3,6.5,6.3,0606390,2017,Elementary
8,133016,102113,61.1,73.0,5.8,5.5,0606810,2017,Elementary
9,78809,63162,69.0,80.4,2.4,2.1,0607200,2017,Elementary
10,245086,186727,56.1,70.3,9.9,7.9,0608610,2017,Elementary
11,118184,89246,62.1,76.8,3.7,3.8,0610290,2017,Elementary
12,54905,40168,60.5,76.6,2.9,2.9,0611850,2017,Elementary
13,66372,50133,58.2,72.6,4.2,3.9,0612090,2017,Elementary
14,60354,42390,61.6,77.1,4.8,4.4,0612750,2017,Elementary
15,132222,101630,63.4,76.8,3.7,3.5,0612880,2017,Elementary
16,-999999999,-999999999,-999999999.0,-999999999.0,-999999999.0,-999999999.0,0612960,2017,Elementary
17,80846,61040,61.6,75.4,6.4,6.7,0613140,2017,Elementary
18,52559,37164,38.2,47.2,6.3,6.3,0613500,2017,Elementary
19,75516,57833,63.6,77.2,3.1,3.0,0614370,2017,Elementary
20,99770,75184,60.3,73.3,6.7,6.2,0614730,2017,Elementary
21,71578,49158,57.4,69.6,8.7,8.0,0615510,2017,Elementary
22,58978,48342,64.9,75.8,5.5,5.1,0616680,2017,Elementary
23,66978,47513,61.1,77.1,3.5,3.3,0618030,2017,Elementary
24,79874,62535,66.5,80.0,4.0,3.0,0618870,2017,Elementary
25,113079,88240,60.5,71.9,7.2,6.9,0620250,2017,Elementary
26,83152,66332,52.5,61.6,5.3,4.9,0620880,2017,Elementary
27,52191,40800,65.2,77.9,4.8,3.9,0623430,2017,Elementary
28,77263,57799,54.0,67.0,6.5,6.5,0624540,2017,Elementary
29,63823,48371,47.0,58.9,11.8,10.1,0624600,2017,Elementary
30,90769,69204,54.3,65.8,8.9,7.6,0625130,2017,Elementary
31,60789,50216,72.9,82.5,3.0,3.1,0626280,2017,Elementary
32,52613,38714,63.3,77.4,4.1,4.1,0627180,2017,Elementary
33,93620,76789,67.9,78.6,5.1,4.4,0627810,2017,Elementary
34,86181,63981,65.9,80.4,4.2,3.9,0628140,2017,Elementary
35,140699,110245,58.8,70.2,7.4,6.8,0628470,2017,Elementary
36,100118,77388,62.4,75.0,5.6,5.1,0629220,2017,Elementary
37,97533,76230,52.0,63.0,8.2,8.2,0629580,2017,Elementary
38,64893,45488,59.3,75.4,5.9,5.3,0630990,2017,Elementary
39,85891,67599,69.9,81.6,1.9,1.6,0632130,2017,Elementary
40,76749,54878,59.1,75.3,3.5,3.3,0633600,2017,Elementary
41,63857,49905,61.8,73.7,4.6,4.4,0633930,2017,Elementary
42,111373,83867,67.2,81.5,3.5,3.1,0634920,2017,Elementary
43,60106,42942,58.5,69.1,9.2,8.5,0635590,2017,Elementary
44,-999999999,-999999999,-999999999.0,-999999999.0,-999999999.0,-999999999.0,0635810,2017,Elementary
45,81336,64711,66.3,77.1,4.9,3.8,0635970,2017,Elementary
46,62341,48207,57.1,69.0,6.5,5.4,0637380,2017,Elementary
47,52545,41518,62.3,73.2,5.8,6.0,0638220,2017,Elementary
48,75985,63458,69.9,79.7,4.1,4.1,0638460,2017,Elementary
49,59747,44055,57.9,73.6,7.1,6.5,0638670,2017,Elementary
50,43944,35095,59.4,72.1,4.9,4.2,0639870,2017,Elementary
51,73642,55064,47.4,60.5,16.4,14.6,0641040,2017,Elementary
52,60018,46370,51.6,61.9,4.3,4.0,0642120,2017,Elementary
53,67476,49850,57.9,72.8,6.0,6.3,0642150,2017,Elementary
54,54807,41780,57.8,71.1,3.5,3.1,0642450,2017,Elementary
