,Total!!Estimate!!Population 16 years and over,Total!!Estimate!!Population 20 to 64 years,Employment/Population Ratio!!Estimate!!Population 16 years and over,Employment/Population Ratio!!Estimate!!Population 20 to 64 years,Unemployment rate!!Estimate!!Population 16 years and over,Unemployment rate!!Estimate!!Population 20 to 64 years,NCESDist,year,School District Type
86,204805,158794,60.6,73.2,7.4,7.1,0632550,2016,Unified
87,209298,159425,55.6,67.0,8.8,7.9,0633150,2016,Unified
88,90610,68953,58.0,71.1,4.8,4.9,0633750,2016,Unified
89,274142,209849,57.1,69.6,8.0,7.9,0633840,2016,Unified
90,185227,134615,64.8,80.7,3.6,3.2,0633860,2016,Unified
91,188168,149504,51.3,60.3,11.4,10.4,0634170,2016,Unified
92,913140,722804,60.8,71.7,5.8,5.4,0634320,2016,Unified
93,763084,609870,67.0,79.4,4.5,4.4,0634410,2016,Unified
94,220286,174843,64.5,75.4,5.0,4.9,0634590,2016,Unified
95,275367,202595,57.2,70.9,6.6,6.8,0634620,2016,Unified
96,60763,45826,61.1,73.9,3.7,3.9,0634680,2016,Unified
97,66364,51296,57.4,71.1,3.8,3.4,0634710,2016,Unified
98,86620,59503,52.7,67.4,5.0,3.4,0634800,2016,Unified
99,98683,75310,62.7,75.7,6.3,6.2,0634880,2016,Unified
100,114947,84259,62.9,77.6,3.1,3.2,0635130,2016,Unified
101,203467,165953,63.8,74.2,5.8,5.2,0635310,2016,Unified
102,136476,111351,66.3,76.1,4.6,4.4,0635430,2016,Unified
103,96195,71723,63.4,76.8,5.8,6.0,0635700,2016,Unified
104,104813,79196,67.0,81.9,3.8,3.5,0636840,2016,Unified
105,-999999999,-999999999,-999999999.0,-999999999.0,-999999999.0,-999999999.0,0637530,2016,Unified
106,160180,123391,51.5,62.6,12.1,11.5,0638010,2016,Unified
107,119717,91008,61.7,75.2,4.9,4.8,0639420,2016,Unified
108,108180,84467,66.5,78.5,4.9,3.9,0640150,2016,Unified
109,65562,48504,61.3,76.0,3.6,3.7,0640590,2016,Unified
110,101111,76769,57.3,69.2,10.6,10.4,0640740,2016,Unified
111,100434,75026,60.0,73.6,4.9,5.0,0640980,2016,Unified
112,105964,79810,54.8,65.8,5.1,4.4,0641160,2016,Unified
113,120959,93169,60.3,72.3,3.5,2.8,0641190,2016,Unified
114,50254,39693,58.8,69.8,6.3,5.6,0643080,2016,Unified
115,57114,42073,53.6,67.2,8.6,8.5,0643470,2016,Unified
116,190354,146391,59.4,70.5,5.8,5.4,0684500,2016,Unified
117,61066,46370,54.0,66.1,5.9,5.1,0691135,2016,Unified
