,Total!!Estimate!!Population 16 years and over,Total!!Estimate!!Population 20 to 64 years,Employment/Population Ratio!!Estimate!!Population 16 years and over,Employment/Population Ratio!!Estimate!!Population 20 to 64 years,Unemployment rate!!Estimate!!Population 16 years and over,Unemployment rate!!Estimate!!Population 20 to 64 years,NCESDist,year,School District Type
55,124880,95470,60.4,72.1,5.0,4.8,0600028,2017,Unified
56,86824,61835,55.3,71.6,8.1,7.7,0600029,2017,Unified
57,55809,45247,67.4,79.4,3.0,2.8,0600032,2017,Unified
58,62148,52288,67.0,75.8,6.5,5.9,0600036,2017,Unified
59,63296,49441,63.0,76.3,3.1,2.8,0600047,2017,Unified
60,104160,74765,56.1,73.3,4.2,4.0,0600153,2017,Unified
61,60091,44912,59.1,71.5,8.4,7.6,0600158,2017,Unified
62,134619,106655,55.4,66.1,7.8,7.9,0601332,2017,Unified
63,75781,55067,68.9,83.3,4.3,3.7,0601414,2017,Unified
64,90383,66148,58.7,73.9,6.3,5.8,0601620,2017,Unified
65,62878,47597,64.4,77.5,3.3,3.3,0601770,2017,Unified
66,90383,71042,61.4,74.4,7.2,6.0,0602430,2017,Unified
67,88802,68925,58.3,70.6,9.3,8.3,0602850,2017,Unified
68,58055,44380,60.8,73.2,5.4,5.2,0603600,2017,Unified
69,61282,47925,62.8,75.7,5.5,5.5,0603690,2017,Unified
70,66270,51232,63.0,77.3,5.8,4.6,0604440,2017,Unified
71,107304,77688,58.7,70.1,5.5,5.6,0604740,2017,Unified
72,86929,68227,66.3,79.2,6.3,6.5,0606450,2017,Unified
73,291376,213455,62.9,77.6,4.1,4.0,0607440,2017,Unified
74,63300,44438,58.2,75.6,4.3,3.1,0607500,2017,Unified
75,54456,41489,60.4,73.1,9.8,7.8,0607970,2017,Unified
76,95641,69700,59.8,73.3,6.1,5.8,0608370,2017,Unified
77,155436,122762,53.1,62.7,4.9,4.6,0608460,2017,Unified
78,164423,121113,58.7,73.1,4.5,3.5,0609030,2017,Unified
79,142411,92873,47.5,63.2,7.7,8.0,0629550,2017,Unified
80,69606,48707,58.8,74.1,4.1,4.0,0629610,2017,Unified
81,59748,48201,59.4,70.7,5.6,4.9,0629850,2017,Unified
82,178257,135407,62.5,76.4,4.2,4.2,0629940,2017,Unified
83,137438,105041,65.2,78.4,3.9,3.2,0630660,2017,Unified
84,135423,103628,58.3,71.2,5.9,5.0,0631320,2017,Unified
85,167116,126145,64.1,78.5,4.9,4.2,0631530,2017,Unified
86,103940,77803,56.1,69.7,4.8,4.6,0632070,2017,Unified
87,89999,72637,58.4,68.7,10.6,9.4,0632370,2017,Unified
88,210831,162690,61.5,74.8,5.4,4.9,0632550,2017,Unified
89,211177,162503,58.8,71.1,6.6,6.0,0633150,2017,Unified
90,91495,66919,56.4,73.1,5.7,5.0,0633750,2017,Unified
91,272637,211091,58.1,70.6,8.0,7.7,0633840,2017,Unified
92,177509,130357,63.2,76.8,4.5,4.2,0633860,2017,Unified
93,210805,167368,50.2,60.2,11.6,10.8,0634170,2017,Unified
94,918353,728186,61.7,73.2,6.0,5.5,0634320,2017,Unified
95,777887,615581,68.7,81.2,3.8,3.5,0634410,2017,Unified
96,222431,173964,65.1,76.7,5.0,5.0,0634590,2017,Unified
97,275336,199270,57.6,72.6,4.9,4.1,0634620,2017,Unified
98,61057,44783,55.7,70.4,6.9,7.0,0634680,2017,Unified
99,67956,52018,61.7,74.8,5.7,5.5,0634710,2017,Unified
100,82604,54848,49.9,64.9,3.9,3.2,0634800,2017,Unified
101,101844,76358,63.2,76.7,3.1,2.6,0634880,2017,Unified
102,117364,83977,62.0,77.1,2.9,2.9,0635130,2017,Unified
103,202369,167187,67.2,76.5,4.3,3.9,0635310,2017,Unified
104,142806,113366,66.3,78.0,3.0,3.0,0635430,2017,Unified
105,94060,66652,60.6,75.1,6.1,5.5,0635700,2017,Unified
106,105106,77927,61.7,76.9,5.2,4.6,0636840,2017,Unified
107,-999999999,-999999999,-999999999.0,-999999999.0,-999999999.0,-999999999.0,0637530,2017,Unified
108,156327,119729,52.8,64.8,7.1,6.4,0638010,2017,Unified
109,120535,88316,59.0,74.9,5.0,5.2,0639420,2017,Unified
110,111766,85832,65.6,78.7,2.6,2.1,0640150,2017,Unified
111,68475,50726,58.5,71.6,4.1,3.8,0640590,2017,Unified
112,100578,75673,57.7,70.4,9.5,8.7,0640740,2017,Unified
113,98358,72716,60.3,74.7,6.3,6.3,0640980,2017,Unified
114,113444,88294,60.7,71.6,5.8,5.5,0641160,2017,Unified
115,124276,95392,63.3,75.5,4.8,4.3,0641190,2017,Unified
116,49504,38569,62.5,75.9,3.6,3.1,0643080,2017,Unified
117,59048,43620,49.7,62.3,7.6,6.6,0643470,2017,Unified
118,193438,155000,60.3,70.2,4.3,4.1,0684500,2017,Unified
119,72651,57404,55.7,67.8,10.8,10.5,0691135,2017,Unified
