,Total!!Estimate!!Population 16 years and over,Total!!Estimate!!Population 20 to 64 years,Employment/Population Ratio!!Estimate!!Population 16 years and over,Employment/Population Ratio!!Estimate!!Population 20 to 64 years,Unemployment rate!!Estimate!!Population 16 years and over,Unemployment rate!!Estimate!!Population 20 to 64 years,NCESDist,year,School District Type
1,67426,52971,52.9,64.6,16.7,15.7,0609070,2017,Unified
2,89037,71964,57.7,67.8,5.5,5.4,0609390,2017,Unified
3,114688,92881,53.9,63.2,8.1,7.6,0609620,2017,Unified
4,111769,77249,61.8,78.5,3.1,2.3,0609640,2017,Unified
5,221791,173109,61.9,74.2,5.0,4.6,0609850,2017,Unified
6,66030,49623,59.9,74.2,7.3,6.5,0610050,2017,Unified
7,70765,50296,50.8,62.3,9.1,9.6,0610620,2017,Unified
8,162618,102451,48.9,66.8,7.2,7.2,0611110,2017,Unified
9,97028,75937,61.1,73.5,6.4,6.0,0611460,2017,Unified
10,265529,201790,57.5,70.2,6.7,6.4,0612330,2017,Unified
11,109247,83333,60.0,72.2,5.7,4.1,0613360,2017,Unified
12,103934,81256,60.3,71.9,5.6,5.3,0613890,2017,Unified
13,138080,112668,60.4,70.3,8.3,6.8,0613920,2017,Unified
14,184698,147085,63.9,76.0,4.2,4.2,0614400,2017,Unified
15,299841,231004,52.7,63.6,10.5,9.4,0614550,2017,Unified
16,228393,173822,60.6,74.9,4.0,3.8,0614880,2017,Unified
17,51275,38284,63.7,77.1,4.7,4.5,0615180,2017,Unified
18,191511,142162,56.5,69.9,5.2,5.3,0615240,2017,Unified
19,100908,76812,60.6,73.7,6.5,6.0,0616325,2017,Unified
20,147486,117373,67.0,80.2,3.4,3.2,0616740,2017,Unified
21,117234,79339,45.8,61.1,11.2,11.2,0616920,2017,Unified
22,90464,67518,58.6,71.9,7.5,7.0,0618390,2017,Unified
23,78248,61139,59.1,69.9,7.1,5.6,0619260,2017,Unified
24,55670,39949,62.0,72.8,4.6,5.1,0621000,2017,Unified
25,78126,60636,67.8,80.5,2.2,2.2,0622110,2017,Unified
26,129047,96755,56.9,69.4,7.4,6.4,0622230,2017,Unified
27,415722,328709,61.5,72.7,6.2,5.6,0622500,2017,Unified
28,3872722,3045809,62.1,73.7,6.4,6.1,0622710,2017,Unified
29,-999999999,-999999999,-999999999.0,-999999999.0,-999999999.0,-999999999.0,0623080,2017,Unified
30,50480,41624,54.3,63.5,9.2,8.9,0623160,2017,Unified
31,67627,52309,52.9,65.4,9.5,8.6,0623340,2017,Unified
32,107162,81186,53.0,65.3,6.7,6.2,0623610,2017,Unified
33,-999999999,-999999999,-999999999.0,-999999999.0,-999999999.0,-999999999.0,0624090,2017,Unified
34,60373,48533,67.8,79.0,2.6,2.6,0624500,2017,Unified
35,127892,95991,58.6,73.1,5.7,5.3,0625470,2017,Unified
36,78949,59221,59.0,70.9,5.8,5.2,0625530,2017,Unified
37,136119,108539,58.6,68.5,9.0,8.1,0625800,2017,Unified
38,51030,40336,66.5,76.7,4.0,3.8,0625830,2017,Unified
39,57258,42469,39.9,49.5,14.3,13.7,0625860,2017,Unified
40,214482,163197,62.6,76.1,4.4,4.2,0626370,2017,Unified
41,99594,72191,63.6,79.1,4.3,4.4,0626640,2017,Unified
42,67366,53173,65.9,79.4,3.0,2.6,0626910,2017,Unified
43,164935,124231,65.8,79.4,3.1,2.7,0627240,2017,Unified
44,101954,75937,60.6,75.4,5.8,5.6,0627690,2017,Unified
45,-999999999,-999999999,-999999999.0,-999999999.0,-999999999.0,-999999999.0,0627720,2017,Unified
46,349738,277854,64.3,75.5,6.8,6.7,0628050,2017,Unified
47,115947,86172,56.7,67.4,6.7,7.1,0628250,2017,Unified
48,181879,140268,63.4,75.4,2.8,2.7,0628650,2017,Unified
49,86879,64422,60.6,73.7,6.9,7.3,0629490,2017,Unified
50,80751,60671,49.3,62.7,11.8,8.9,0600014,2017,Unified
51,61561,45840,59.1,73.0,8.6,8.0,0600016,2017,Unified
52,62197,44084,46.8,63.2,10.8,9.3,0600017,2017,Unified
53,68050,52046,68.0,81.0,2.4,2.5,0600020,2017,Unified
54,103567,82855,58.7,68.6,8.1,7.9,0600027,2017,Unified
