,Estimate!!Total!!Population 16 years and over,Estimate!!Total!!Population 20 to 64 years,Estimate!!Employment/Population Ratio!!Population 16 years and over,Estimate!!Employment/Population Ratio!!Population 20 to 64 years,Estimate!!Unemployment rate!!Population 16 years and over,Estimate!!Unemployment rate!!Population 20 to 64 years,NCESDist,year,School District Type
85,-999999999,-999999999,-999999999.0,-999999999.0,-999999999.0,-999999999.0,0623080,2019,Unified
86,50077,39942,57.4,68.5,8.9,8.1,0623160,2019,Unified
87,65057,49502,57.9,70.5,7.8,6.4,0623340,2019,Unified
88,111689,85009,52.7,64.6,4.3,3.8,0623610,2019,Unified
89,97286,71304,59.9,75.1,4.1,3.9,0600153,2019,Unified
90,85646,62074,59.7,74.8,4.2,4.2,0601620,2019,Unified
91,63509,47218,64.5,80.0,2.9,3.2,0601770,2019,Unified
92,53090,39571,59.2,73.1,4.8,5.1,0643080,2019,Unified
93,59902,43599,56.1,70.7,5.3,3.8,0643470,2019,Unified
94,209759,163907,62.4,73.4,3.9,3.7,0684500,2019,Unified
95,67443,55166,56.2,66.4,7.3,6.7,0691135,2019,Unified
96,109524,77229,57.9,72.7,6.0,5.3,0604740,2019,Unified
97,282604,215290,53.4,64.8,8.6,8.5,0614550,2019,Unified
98,217318,159306,59.3,74.1,4.1,4.1,0614880,2019,Unified
99,95444,74961,62.8,76.0,3.5,3.2,0602430,2019,Unified
100,94744,71272,57.3,70.5,9.3,8.5,0602850,2019,Unified
101,55367,43669,62.4,73.2,4.6,4.1,0603600,2019,Unified
102,59672,46598,67.6,80.4,4.4,4.7,0634680,2019,Unified
103,216256,165428,65.7,78.9,2.6,2.3,0634590,2019,Unified
104,283660,202712,58.7,73.6,5.8,5.9,0634620,2019,Unified
105,66278,51621,63.8,75.7,6.1,6.1,0634710,2019,Unified
106,86220,57749,52.4,66.6,5.4,4.1,0634800,2019,Unified
107,-999999999,-999999999,-999999999.0,-999999999.0,-999999999.0,-999999999.0,0601414,2019,Unified
108,96402,74922,58.8,70.3,8.8,8.3,0632370,2019,Unified
109,101057,74122,63.2,77.1,2.4,1.9,0634880,2019,Unified
110,124160,89764,63.0,76.6,3.1,2.8,0635130,2019,Unified
111,206347,163823,64.8,76.8,4.6,4.2,0635310,2019,Unified
112,145555,120329,71.7,81.7,3.0,3.1,0635430,2019,Unified
113,91219,64081,61.9,78.1,3.8,3.4,0635700,2019,Unified
114,159703,121002,67.0,80.8,4.3,4.0,0627240,2019,Unified
115,101467,74688,59.4,73.8,6.3,5.9,0627690,2019,Unified
116,53039,32806,58.9,76.6,3.8,3.3,0627720,2019,Unified
117,353106,277604,65.3,78.2,4.3,3.9,0628050,2019,Unified
118,107834,82799,58.7,69.2,5.7,5.3,0628250,2019,Unified
119,138033,108420,60.2,70.4,5.8,5.9,0601332,2019,Unified
120,-999999999,-999999999,-999999999.0,-999999999.0,-999999999.0,-999999999.0,0600158,2019,Unified
